year,A,B,C,매수
2022,33.9266350589737,33.38704534399737,34.01724679072379,260
2023,57.918038036569676,57.16566436689456,57.07392766221211,260
2024,68.54568182060294,68.47178085915847,67.97005438654207,265
2025,230.30089755785204,228.62591221165988,228.28016741758015,171
