buy_date,code,name,Market,buy_price,alloc,sell_date,sell_close,ret_180d,peak_180d,rank,combo,set,YYYYMM
2020-04-06,237690,에스티팜,KOSDAQ,39200.0,1000000.0,2020-12-28,93500.0,138.5204081632653,202.55102040816325,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-07,196170,알테오젠,KOSDAQ,25366.0,1000000.0,2020-12-29,98537.0,288.4609319561618,399.8265394622723,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-08,032500,케이엠더블유,KOSDAQ,60300.0,1000000.0,2020-12-30,80700.0,33.83084577114428,48.424543946932005,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-10,253450,스튜디오드래곤,KOSDAQ,77500.0,1000000.0,2021-01-05,100400.0,29.548387096774185,30.838709677419352,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-13,174900,앱클론,KOSDAQ,27250.0,1000000.0,2021-01-06,37950.0,39.26605504587155,79.08256880733946,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-14,032500,케이엠더블유,KOSDAQ,61100.0,1000000.0,2021-01-07,80600.0,31.914893617021267,46.48117839607202,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-16,101490,에스앤에스텍,KOSDAQ,18300.0,1000000.0,2021-01-08,42550.0,132.51366120218577,191.8032786885246,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-17,102940,코오롱생명과학,KOSDAQ,48950.0,1000000.0,2021-01-11,28250.0,-42.288049029622066,5.005107252298258,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-20,007390,네이처셀,KOSDAQ,12700.0,1000000.0,2021-01-12,9550.0,-24.803149606299215,4.330708661417315,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-04-21,052020,에스티큐브,KOSDAQ,9433.0,1000000.0,2021-01-13,7504.0,-20.44948584755645,20.778119368175552,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-04
2020-12-28,036830,솔브레인홀딩스,KOSDAQ,45700.0,1000000.0,2021-09-16,36000.0,-21.225382932166305,9.84682713347922,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-12
2020-12-30,067310,하나마이크론,KOSDAQ,7773.0,1000000.0,2021-09-23,12602.0,62.12530554483469,88.9746558600283,1,F10_KOSDAQ만__S10_랜덤,FULL_daily_1,2020-12
