순위,Date,grade,Name,Code,Market,Close,ChangeRatio,avg_score,n_presets,ret_180d,ret_120d,ret_240d,ret_365d
73,2024-12-26,B,하이젠알앤엠,160190,KOSDAQ,12760,18.0,52.7,3,262.9,201.3,360.8,
74,2020-12-10,,013360,013360,?,1160,9.4,66.6,2,259.9,138.8,400.0,259.1
75,2023-02-07,B,에코프로,086520,KOSDAQ,32550,13.5,61.0,2,259.9,628.2,214.0,182.1
76,2023-09-25,B,알테오젠,196170,KOSDAQ,81000,15.1,50.0,1,257.4,171.0,332.1,358.6
77,2024-10-21,B,비에이치아이,083650,KOSDAQ,10530,8.0,49.4,2,256.1,93.7,387.2,828.8
78,2023-07-04,B,네오셈,253590,KOSDAQ,3875,8.8,64.2,1,255.1,102.6,201.2,132.8
79,2024-09-24,B,젬백스,082270,KOSDAQ,17830,11.5,50.3,1,252.8,109.5,184.4,134.2
80,2023-01-04,B,레인보우로보틱스,277810,KOSDAQ,46900,12.9,55.6,4,251.4,95.5,263.3,230.5
81,2020-05-18,B,티에스이,131290,KOSDAQ,17800,12.7,53.3,1,248.9,135.7,255.1,216.9
82,2025-02-18,B,에이비엘바이오,298380,KOSDAQ,46900,21.2,54.3,3,248.6,74.0,296.2,
83,2023-06-23,S,테크윙,089030,KOSDAQ,8240,10.3,65.7,4,248.3,25.0,503.2,343.0
84,2022-07-13,B,포스코엠텍,009520,KOSDAQ,5950,13.1,40.4,1,246.2,26.7,309.2,406.7
85,2022-08-02,,레인보우로보틱스,277810,KOSDAQ,29300,5.2,47.5,1,245.1,175.1,236.9,472.0
86,2025-01-03,B,디앤디파마텍,347850,KOSDAQ,14889,21.2,48.3,2,244.6,92.3,516.6,
87,2020-12-15,,디아이씨,092200,KOSPI,1610,15.8,63.6,3,244.1,329.8,163.0,202.5
88,2022-06-29,B,강원에너지,114190,KOSDAQ,6890,11.8,46.2,1,243.3,36.4,306.4,175.6
89,2020-04-16,,YG PLUS,037270,KOSPI,1540,10.0,47.9,1,241.6,307.8,279.2,357.8
90,2023-02-15,B,에코프로,086520,KOSDAQ,41889,8.3,47.4,1,241.5,427.9,138.4,111.9
91,2023-06-13,B,피에스케이홀딩스,031980,KOSDAQ,11980,10.4,57.8,1,240.2,104.5,439.2,132.9
92,2025-02-19,B,코세스,089890,KOSDAQ,9320,19.5,55.9,3,236.9,47.2,142.5,
93,2023-06-16,B,테크윙,089030,KOSDAQ,8000,7.4,58.7,1,235.6,13.9,446.9,308.1
94,2020-06-11,,HS효성첨단소재,298050,KOSPI,96100,12.7,56.9,3,235.1,62.3,284.5,547.2
95,2023-02-09,B,에코프로,086520,KOSDAQ,37494,10.6,57.0,1,233.3,531.6,162.7,112.2
96,2024-10-04,B,아이티센글로벌,124500,KOSDAQ,7290,15.2,47.0,1,232.6,-17.7,130.0,500.1
97,2022-08-12,B,레인보우로보틱스,277810,KOSDAQ,31100,10.5,56.0,4,230.9,145.0,270.7,386.2
98,2023-02-24,,이수페타시스,007660,KOSPI,9161,15.9,57.9,3,230.7,280.0,222.2,368.2
99,2020-05-26,B,상아프론테크,089980,KOSDAQ,17450,11.2,55.0,4,228.9,137.0,150.4,285.1
100,2025-06-19,B,보성파워텍,006910,KOSDAQ,3850,14.2,54.7,1,228.8,46.8,,
