Date,Code,Name,buy_A_d0종가,buy_B_d1시가,buy_C_d1종가,매도가180일,매도일,ret_A,ret_B,ret_C,peak_180d,Year
2025-08-25,097230,HJ중공업,14150.0,14560.0,13800.0,22550.0,2026-05-22,59.36395759717315,54.876373626373635,63.40579710144927,142.75618374558303,2025
2025-08-22,010170,대한광통신,1056.0,1076.0,1127.0,23100.0,2026-05-21,2087.5,2046.8401486988848,1949.6894409937888,2882.9545454545455,2025
2025-08-22,097230,HJ중공업,13990.0,14290.0,14150.0,22050.0,2026-05-21,57.612580414581835,54.3037088873338,55.830388692579504,145.5325232308792,2025
2025-08-21,097230,HJ중공업,14080.0,14130.0,13990.0,21000.0,2026-05-20,49.14772727272727,48.61995753715498,50.107219442458906,143.96306818181816,2025
2025-08-20,097230,HJ중공업,13470.0,13470.0,14080.0,21700.0,2026-05-19,61.098737936154414,61.098737936154414,54.11931818181819,155.01113585746103,2025
2025-08-18,077970,STX엔진,38600.0,38650.0,37900.0,45850.0,2026-05-15,18.78238341968912,18.62871927554981,20.976253298153026,75.38860103626943,2025
2025-08-14,034220,LG디스플레이,11880.0,11930.0,11940.0,15340.0,2026-05-14,29.12457912457913,28.58340318524728,28.475711892797317,35.1010101010101,2025
2025-08-13,034220,LG디스플레이,13290.0,12980.0,11880.0,14170.0,2026-05-13,6.6215199398043545,9.167950693374415,19.27609427609427,20.767494356659142,2025
2025-08-13,097230,HJ중공업,15630.0,15620.0,15030.0,24550.0,2026-05-13,57.06973768394115,57.17029449423816,63.33998669328012,119.76967370441459,2025
2025-08-12,097230,HJ중공업,14440.0,15080.0,15630.0,25400.0,2026-05-12,75.90027700831025,68.43501326259947,62.50799744081894,137.8808864265928,2025
2025-08-11,097230,HJ중공업,14890.0,15450.0,14440.0,27100.0,2026-05-11,82.00134318334453,75.40453074433657,87.67313019390582,130.69173942243117,2025
2025-08-08,097230,HJ중공업,14010.0,14200.0,14890.0,26650.0,2026-05-08,90.2212705210564,87.67605633802818,78.97918065815983,145.18201284796572,2025
2025-08-07,097230,HJ중공업,13700.0,13700.0,14010.0,27400.0,2026-05-07,100.0,100.0,95.57458957887224,150.72992700729927,2025
2025-08-06,097230,HJ중공업,11430.0,11500.0,13700.0,27850.0,2026-05-06,143.65704286964132,142.17391304347825,103.28467153284673,200.52493438320212,2025
2025-08-04,097230,HJ중공업,10200.0,10230.0,10440.0,29000.0,2026-04-30,184.31372549019608,183.47996089931576,177.77777777777777,236.76470588235296,2025
2025-08-04,347700,스피어,14170.0,14920.0,13610.0,42200.0,2026-04-30,197.8122794636556,182.84182305630026,210.0661278471712,304.3754410726888,2025
2025-08-01,097230,HJ중공업,8720.0,9110.0,10200.0,30450.0,2026-04-29,249.19724770642202,234.24807903402854,198.52941176470588,293.92201834862385,2025
2025-07-31,097230,HJ중공업,8910.0,9470.0,8720.0,30300.0,2026-04-28,240.06734006734004,219.95776135163675,247.47706422018348,285.5218855218855,2025
2025-07-30,353200,대덕전자,23800.0,23450.0,23900.0,108800.0,2026-04-27,357.1428571428571,363.96588486140723,355.2301255230126,387.39495798319325,2025
2025-07-28,097230,HJ중공업,8860.0,9110.0,8870.0,32650.0,2026-04-23,268.510158013544,258.39736553238197,268.0947012401353,287.6975169300226,2025
2025-07-28,323280,태성,36050.0,34300.0,33400.0,74300.0,2026-04-23,106.10263522884881,116.61807580174926,122.45508982035926,139.3897364771151,2025
2025-07-24,030530,원익홀딩스,5860.0,5810.0,5760.0,30850.0,2026-04-21,426.45051194539246,430.98106712564544,435.59027777777777,763.4812286689419,2025
2025-07-24,290650,엘앤씨바이오,34750.0,35000.0,34500.0,68700.0,2026-04-21,97.6978417266187,96.28571428571429,99.1304347826087,259.71223021582733,2025
2025-07-23,290650,엘앤씨바이오,34900.0,35600.0,34750.0,70700.0,2026-04-20,102.5787965616046,98.59550561797752,103.45323741007194,258.1661891117478,2025
2025-07-23,030530,원익홀딩스,5980.0,6010.0,5860.0,31100.0,2026-04-20,420.066889632107,417.4708818635607,430.71672354948805,746.1538461538462,2025
2025-07-22,030530,원익홀딩스,6040.0,6070.0,5980.0,31700.0,2026-04-17,424.83443708609275,422.2405271828666,430.10033444816054,737.7483443708609,2025
2025-07-17,030530,원익홀딩스,5990.0,5960.0,5850.0,31050.0,2026-04-14,418.3639398998331,420.97315436241615,430.7692307692308,744.7412353923205,2025
2025-07-17,032500,케이엠더블유,14860.0,14940.0,15090.0,28450.0,2026-04-14,91.4535666218035,90.42838018741632,88.53545394300862,127.45625841184389,2025
2025-07-16,030530,원익홀딩스,6180.0,6240.0,5990.0,27400.0,2026-04-13,343.3656957928803,339.10256410256414,357.4290484140234,718.7702265372169,2025
2025-07-15,030530,원익홀딩스,6110.0,6200.0,6180.0,28000.0,2026-04-10,358.26513911620293,351.6129032258065,353.074433656958,728.1505728314238,2025
