Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,Score,StrongScore,peak_pred,p_sw,p_100plus,p_50plus,p_loss,ret_180d,peak_180d,sell_close,sell_date,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,Year,YYYYMM,p_sw%,p_100plus%,p_50plus%,p_loss%
2026-05-21,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+95% (대상승),034730,SK,KOSPI,576000.0,163161216000.0,42.11,2.45,95.2,0.5559055274946667,0.7118784297231647,0.7397119385686522,0.5119244227309565,11.5,12.0,642000.0,2026-05-22,46.75159235668789,130.8617234468938,268.7580025608195,-4.0000000000000036,0.8267456789027494,-4.0000000000000036,2026,2026-05,55.6,71.2,74.0,51.2
2026-05-21,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+96% (대상승),031980,피에스케이홀딩스,KOSDAQ,129600.0,24450465600.0,43.49,2.44,95.9,0.5933129577630729,0.6672446338301637,0.7086077838610944,0.5230559352204834,5.8,7.6,137100.0,2026-05-22,56.90072639225181,194.8805460750853,309.47867298578194,-6.829618979151686,0.5365697154437845,-6.829618979151686,2026,2026-05,59.3,66.7,70.9,52.3
2026-05-21,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+98% (대상승),183300,코미코,KOSDAQ,161200.0,24796751200.0,45.73,2.44,98.2,0.5946807212594354,0.6641367630666615,0.7111837489596862,0.5252795950975805,9.9,11.7,177100.0,2026-05-22,41.65202108963093,98.76695437731196,179.86111111111111,-15.866388308977031,0.8234234959405421,-15.866388308977031,2026,2026-05,59.5,66.4,71.1,52.5
2026-05-19,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+92% (대상승),001800,오리온홀딩스,KOSPI,25000.0,9051325000.0,45.94,2.5,91.7,0.6481492436932754,0.627817156959226,0.6210243302557833,0.5016288775880463,1.2,2.0,25300.0,2026-05-22,0.2004008016031955,25.944584382871525,35.06212857914641,-16.52754590984975,0.06787147106813206,-16.52754590984975,2026,2026-05,64.8,62.8,62.1,50.2
2026-05-18,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+97% (대상승),007340,DN오토모티브,KOSPI,48700.0,22253659800.0,40.13,2.47,97.2,0.5667269043949251,0.6870720823800373,0.7363816015714735,0.49877848947789233,-5.3,-1.0,46100.0,2026-05-22,56.08974358974359,111.27982646420827,127.57009345794393,-10.147601476014756,0.994777360407416,-10.147601476014756,2026,2026-05,56.7,68.7,73.6,49.9
2026-05-18,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+104% (대박),403870,HPSP,KOSDAQ,52200.0,169485778800.0,42.9,2.47,104.2,0.6359442770419914,0.6494456113839472,0.6514491685356064,0.5332480221071881,4.8,6.1,54700.0,2026-05-22,12.864864864864867,79.69018932874354,145.07042253521126,-11.97301854974705,0.3750717060142921,-11.97301854974705,2026,2026-05,63.6,64.9,65.1,53.3
2026-05-15,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+100% (대박),007340,DN오토모티브,KOSPI,50900.0,45979293400.0,44.82,2.54,100.2,0.5871687027911778,0.7130056295206879,0.7385939707555577,0.515001182073085,-9.4,-0.6,46100.0,2026-05-22,55.18292682926828,125.2212389380531,144.12470023980813,-6.088560885608851,0.9728405916440608,-6.088560885608851,2026,2026-05,58.7,71.3,73.9,51.5
2026-05-15,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+100% (대상승),003490,대한항공,KOSPI,26050.0,61703593000.0,40.13,2.45,99.7,0.6036748356963215,0.5867758408917264,0.6265887385775573,0.4331633932336421,2.9,4.6,26800.0,2026-05-22,5.040322580645151,22.58823529411764,16.03563474387528,-12.436974789915967,-0.01097863228132156,-12.436974789915967,2026,2026-05,60.4,58.7,62.7,43.3
2026-05-15,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+107% (대박),064400,LG씨엔에스,KOSPI,86600.0,635095648800.0,48.14,2.54,107.1,0.643953919434086,0.6874218194953422,0.6794493761300305,0.5496930064272588,-3.9,2.4,83200.0,2026-05-22,21.800281293952175,56.03603603603604,65.2671755725191,-14.087301587301592,0.08071764192722759,-12.87726358148893,2026,2026-05,64.4,68.7,67.9,55.0
2026-05-14,○ 추천,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,+103% (대박),403870,HPSP,KOSDAQ,54700.0,81964175700.0,42.15,2.43,102.8,0.6127127238793774,0.651097289633777,0.6669299749146166,0.5282106273960337,0.0,3.0,54700.0,2026-05-22,28.70588235294118,73.1012658227848,145.8426966292135,-7.757166947723437,0.3799648747596702,-7.757166947723437,2026,2026-05,61.3,65.1,66.7,52.8
