Date,YYYYMM,Year,Code,Name,Market,Close,peak_180d,ret_180d,sell_date,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num
2025-01-09,2025-01,2025,108490,로보티즈,KOSDAQ,29896.0,559.9545089644099,539.8849344393899,2025-10-10,67.65,239203636032.0,persistent_uptrend,38.8603327253634,6.833354594548635,-22.87100141216921,-34565.0,33405.0,34315.0,191780.0,807.69,14.03,4463100000000.0
2025-01-09,2025-01,2025,108490,로보티즈,KOSDAQ,29896.0,559.9545089644099,539.8849344393899,2025-10-10,58.62,239203636032.0,persistent_uptrend,38.8603327253634,6.833354594548635,-22.87100141216921,-34565.0,33405.0,34315.0,191780.0,807.69,14.03,4463100000000.0
2023-11-23,2023-11,2023,080220,제주반도체,KOSDAQ,5900.0,553.3898305084746,138.3050847457627,2024-08-19,56.89,150702337100.0,mixed,28.60576923076923,-2.1937842778793404,-12.006578947368418,,,,,36.1,13.1,4088400000000.0
2023-11-23,2023-11,2023,080220,제주반도체,KOSDAQ,5900.0,553.3898305084746,138.3050847457627,2024-08-19,53.26,150702337100.0,mixed,28.60576923076923,-2.1937842778793404,-12.006578947368418,,,,,36.1,13.1,4088400000000.0
2023-11-23,2023-11,2023,080220,제주반도체,KOSDAQ,5900.0,553.3898305084746,138.3050847457627,2024-08-19,58.68,150702337100.0,mixed,28.60576923076923,-2.1937842778793404,-12.006578947368418,,,,,36.1,13.1,4088400000000.0
2025-08-13,2025-08,2025,009150,삼성전기,KOSPI,162900.0,550.7059545733579,531.6758747697974,2026-05-13,56.34,92707856100.0,mixed,28.71125611745513,7.055630936227941,-1.4366021236727033,300971.0,300911.0,1476627.0,519040.0,147.27,10.61,100089600000000.0
2022-11-30,2022-11,2022,022100,포스코DX,KOSPI,7020.0,546.7236467236467,390.02849002849,2023-08-22,60.12,115911565380.0,pullback_recovery,-3.765060240963858,4.92610837438423,-5.052005943536408,-569965.0,-483865.0,751008.0,-362002.0,144.49,8.93,4986700000000.0
2022-11-30,2022-11,2022,022100,포스코DX,KOSPI,7020.0,546.7236467236467,390.02849002849,2023-08-22,62.79,115911565380.0,pullback_recovery,-3.765060240963858,4.92610837438423,-5.052005943536408,-569965.0,-483865.0,751008.0,-362002.0,144.49,8.93,4986700000000.0
2022-11-30,2022-11,2022,022100,포스코DX,KOSPI,7020.0,546.7236467236467,390.02849002849,2023-08-22,55.02,115911565380.0,pullback_recovery,-3.765060240963858,4.92610837438423,-5.052005943536408,-569965.0,-483865.0,751008.0,-362002.0,144.49,8.93,4986700000000.0
2022-11-30,2022-11,2022,022100,포스코DX,KOSPI,7020.0,546.7236467236467,390.02849002849,2023-08-22,62.61,115911565380.0,pullback_recovery,-3.765060240963858,4.92610837438423,-5.052005943536408,-569965.0,-483865.0,751008.0,-362002.0,144.49,8.93,4986700000000.0
2021-08-17,2021-08,2021,112040,위메이드,KOSDAQ,38140.0,544.2055584687992,62.55899318300997,2022-05-12,65.7,182070291040.0,box_breakout,19.768929700436555,56.91253328074155,-1.7170562984466176,192174.0,291728.0,-23136.0,116664.0,,1.7,697600000000.0
2021-08-17,2021-08,2021,112040,위메이드,KOSDAQ,38140.0,544.2055584687992,62.55899318300997,2022-05-12,65.03,182070291040.0,box_breakout,19.768929700436555,56.91253328074155,-1.7170562984466176,192174.0,291728.0,-23136.0,116664.0,,1.7,697600000000.0
2021-08-17,2021-08,2021,112040,위메이드,KOSDAQ,38140.0,544.2055584687992,62.55899318300997,2022-05-12,74.31,182070291040.0,box_breakout,19.768929700436555,56.91253328074155,-1.7170562984466176,192174.0,291728.0,-23136.0,116664.0,,1.7,697600000000.0
