Date,등급,가능성태그,예상수익률,Code,Name,Market,Close,Amount,Score,StrongScore,peak_pred,p_sw,p_100plus,p_50plus,p_loss,ret_180d,peak_180d,sell_close,sell_date,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,Year,YYYYMM,p_sw%,p_100plus%,p_50plus%,p_loss%
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+101% (대박),204320,HL만도,KOSPI,60400.0,40355595600.0,40.12,2.43,100.7,0.6397573828913111,0.6507486212216484,0.632968868758037,0.5508314217016568,4.3,6.0,63000.0,2026-05-22,0.4991680532445919,45.893719806763286,77.38619676945669,-20.316622691292874,0.12725953554746008,-11.176470588235299,2026,2026-05,64.0,65.1,63.3,55.1
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+101% (대박),066570,LG전자,KOSPI,235000.0,1249976280000.0,46.7,2.25,100.9,0.5412728451442872,0.7042431156764977,0.7213394801184744,0.5757927615929527,0.9,5.3,237000.0,2026-05-22,74.72118959107807,179.76190476190476,230.05617977528087,-11.819887429643527,0.9194886754395764,-11.819887429643527,2026,2026-05,54.1,70.4,72.1,57.6
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+61% (대상승),005930,삼성전자,KOSPI,299500.0,10832522355500.0,43.71,2.11,61.2,0.5138712701684699,0.6595541778619999,0.6978843915881846,0.5618452695871049,-2.3,0.3,292500.0,2026-05-22,49.75000000000001,209.72078593588418,435.778175313059,0.0,0.7597721602197008,0.0,2026,2026-05,51.4,66.0,69.8,56.2
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+97% (대상승),005385,현대차우,KOSPI,269500.0,39812696000.0,43.53,2.43,97.4,0.6600883292922042,0.6508108552796413,0.6193446411702015,0.5706278660774154,-0.7,4.8,267500.0,2026-05-22,-5.1056338028169,41.69295478443744,82.46445497630333,-18.085106382978722,-0.10819934987417576,-18.085106382978722,2026,2026-05,66.0,65.1,61.9,57.1
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+96% (대상승),000270,기아,KOSPI,167900.0,274341212400.0,40.83,2.35,96.2,0.6504335837201919,0.6502189429514313,0.621204161588425,0.597509373119391,-1.8,1.1,164800.0,2026-05-22,-3.5057471264367868,51.12511251125114,88.65168539325843,-20.98823529411765,-0.15371896589068687,-20.98823529411765,2026,2026-05,65.0,65.0,62.1,59.8
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+49% (상승),009150,삼성전기,KOSPI,1204000.0,1642842348000.0,42.56,1.07,48.9,0.3217148629143653,0.5456359079885964,0.6416192168430838,0.6778975471290583,11.3,13.2,1340000.0,2026-05-22,169.95515695067263,432.7433628318584,876.4801297648013,-1.2305168170631653,1.9790726731472117,-1.2305168170631653,2026,2026-05,32.2,54.6,64.2,67.8
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+82% (대상승),007660,이수페타시스,KOSPI,127800.0,130846240800.0,40.07,2.06,81.8,0.579476592226069,0.5887229151425357,0.5842144604831184,0.5739279646731793,-1.3,0.3,126100.0,2026-05-22,14.20911528150135,2.158273381294973,215.16646115906292,-22.26277372262774,0.45762104177199686,-22.26277372262774,2026,2026-05,57.9,58.9,58.4,57.4
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+49% (상승),353200,대덕전자,KOSPI,146400.0,174072528000.0,42.82,1.3,49.0,0.3561431453610017,0.556520530431362,0.611903056331166,0.6053882482503221,3.3,6.1,151300.0,2026-05-22,125.23076923076921,202.79214064115823,868.8947716743879,-3.68421052631579,1.5303055031277757,-3.68421052631579,2026,2026-05,35.6,55.7,61.2,60.5
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+49% (상승),222800,심텍,KOSDAQ,125500.0,192901281000.0,45.36,1.46,49.2,0.3616485793914596,0.5933195604975483,0.652489108239072,0.5843994048679294,5.0,7.6,131800.0,2026-05-22,135.0187265917603,150.49900199600796,553.9864512767066,-3.0888030888030937,1.5633328499383776,-3.0888030888030937,2026,2026-05,36.2,59.3,65.2,58.4
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+98% (대상승),016360,삼성증권,KOSPI,122400.0,68283165600.0,40.82,2.3,98.0,0.6061739538906165,0.654890659479724,0.6074238287333141,0.5528677137720027,6.1,7.6,129900.0,2026-05-22,13.438368860055604,54.35056746532156,114.36077057793344,-24.9079754601227,0.5358589013939992,-24.9079754601227,2026,2026-05,60.6,65.5,60.7,55.3
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+104% (대박),012330,현대모비스,KOSPI,670000.0,894023880000.0,49.09,2.55,104.0,0.6295258103343655,0.7090085695170439,0.7366728789763758,0.5692105362204188,-3.6,-1.0,646000.0,2026-05-22,47.90286975717439,128.2793867120954,163.77952755905514,-2.4745269286754024,0.46411480488017426,-2.4745269286754024,2026,2026-05,63.0,70.9,73.7,56.9
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+61% (대상승),080220,제주반도체,KOSDAQ,117800.0,1012690671000.0,47.23,1.0,61.4,0.34207835549940085,0.5284726842895844,0.6273309910600156,0.7235244282507,0.8,16.4,118700.0,2026-05-22,162.94642857142856,560.6842400448681,805.457340507302,-4.383116883116878,1.1964873732213306,-4.383116883116878,2026,2026-05,34.2,52.8,62.7,72.4
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+99% (대상승),005387,현대차2우B,KOSPI,266000.0,69028064000.0,43.34,2.29,99.1,0.6299775632153846,0.6516397988021873,0.6003988676961179,0.5877235001025967,-1.1,1.5,263000.0,2026-05-22,-7.4782608695652115,38.325533021320844,78.40375586854461,-19.87951807228916,-0.12044725953829526,-19.393939393939398,2026,2026-05,63.0,65.2,60.0,58.8
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+100% (대박),003550,LG,KOSPI,123000.0,264744954000.0,49.73,2.53,100.3,0.6515570505406436,0.6882593437647632,0.6822099280730705,0.5707010810722298,-3.7,-2.1,118500.0,2026-05-22,23.0,58.301158301158296,76.72413793103448,-19.132149901380668,0.2958488100897792,-19.132149901380668,2026,2026-05,65.2,68.8,68.2,57.1
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능,+56% (대상승),000500,가온전선,KOSPI,409000.0,89063431000.0,40.89,0.73,56.2,0.3713447560773697,0.4406394104440194,0.4579599134914023,0.7500216609057261,1.2,8.4,414000.0,2026-05-22,317.7732379979571,518.7594553706506,454.9525101763908,-35.590551181102356,3.128476357550854,-35.590551181102356,2026,2026-05,37.1,44.1,45.8,75.0
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+98% (대상승),079550,LIG디펜스앤에어로스페이스,KOSPI,862000.0,171029420000.0,40.19,2.06,97.7,0.5396932333900988,0.6614344706296583,0.6966523378522124,0.6215373998339128,7.3,8.9,925000.0,2026-05-22,65.4510556621881,118.78172588832486,101.16686114352392,-22.898032200357775,0.7026610924133708,-22.898032200357775,2026,2026-05,54.0,66.1,69.7,62.2
2026-05-21,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+104% (대박),064400,LG씨엔에스,KOSPI,80200.0,303280470400.0,46.31,2.4,103.7,0.6296734045275452,0.6711598207274722,0.636302866131296,0.5643507293588892,3.7,7.7,83200.0,2026-05-22,14.4079885877318,42.70462633451957,57.563850687622796,-20.43650793650794,0.23546945617079137,-19.315895372233406,2026,2026-05,63.0,67.1,63.6,56.4
2026-05-20,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+49% (상승),009150,삼성전기,KOSPI,1061000.0,2025299399000.0,42.01,1.18,49.0,0.3219866584455865,0.5723039426930693,0.6331617617223222,0.6399981729627294,26.3,28.5,1340000.0,2026-05-22,148.7690504103165,387.816091954023,793.0976430976431,-6.354810238305387,1.9149483014627902,-6.354810238305387,2026,2026-05,32.2,57.2,63.3,64.0
2026-05-20,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+81% (대상승),131290,티에스이,KOSDAQ,237000.0,52597173000.0,44.76,1.54,81.1,0.359158979282233,0.5922162763272109,0.6942476115670961,0.5583811356237306,3.0,5.5,244000.0,2026-05-22,166.89189189189187,414.0997830802603,509.2544987146529,-4.2424242424242475,1.4618039458553558,-4.2424242424242475,2026,2026-05,35.9,59.2,69.4,55.8
2026-05-20,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+97% (대상승),064400,LG씨엔에스,KOSPI,71200.0,110019592800.0,41.64,2.07,97.2,0.5876420649365846,0.6136848378177912,0.5633373773269894,0.5908029543573249,16.9,21.3,83200.0,2026-05-22,-0.41958041958042314,24.693520140105086,38.521400778210115,-29.36507936507936,0.18915213172713038,-28.370221327967805,2026,2026-05,58.8,61.4,56.3,59.1
2026-05-20,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능,+92% (대상승),003230,삼양식품,KOSPI,1357000.0,66475359000.0,42.87,1.64,92.4,0.4908796049398559,0.5263158906165767,0.497614369962686,0.558083713296531,-3.1,2.8,1315000.0,2026-05-22,8.733974358974361,-1.6666666666666718,20.194862710363147,-18.498498498498495,0.4042127569082064,-8.557951482479787,2026,2026-05,49.1,52.6,49.8,55.8
2026-05-20,⚠️ 손절위험,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,+71% (대상승),440110,파두,KOSDAQ,112200.0,185603371800.0,40.06,1.36,70.6,0.3699110327089966,0.5922982853523839,0.6474680834630052,0.6409051407290545,14.3,15.3,128300.0,2026-05-22,122.61904761904762,403.1390134529148,955.5032925682032,-2.2648083623693416,1.0431672191662222,-2.2648083623693416,2026,2026-05,37.0,59.2,64.7,64.1
