n,skip,SW_n,SW_rate,w100_n,w100_rate,w50_n,w50_rate,avg_peak,avg_ret,winrate,filter,sort,mode,combo,set,invest_10m,profit_10m,final_10m,ret_pct_overall
153,882,11,7.18954248366013,33,21.568627450980394,69,45.09803921568628,70.1601926424092,28.57206722926938,64.05228758169935,F08_안정추세60,S01_거래대금낮,daily_1,F08_안정추세60__S01_거래대금낮,FULL_daily_1,15300000,4371526.286078215,19671526.286078215,28.572067229269376
137,898,6,4.37956204379562,28,20.437956204379564,59,43.06569343065693,64.91692198822128,20.22015938309272,54.01459854014598,F08_안정추세60,S02_거래대금높,daily_1,F08_안정추세60__S02_거래대금높,FULL_daily_1,13700000,2770161.835483703,16470161.835483704,20.22015938309272
173,862,17,9.826589595375722,41,23.699421965317917,80,46.24277456647399,78.7012516528801,35.23326354911451,58.95953757225434,F08_안정추세60,S03_점수낮,daily_1,F08_안정추세60__S03_점수낮,FULL_daily_1,17300000,6095354.593996811,23395354.59399681,35.23326354911451
133,902,5,3.7593984962406015,29,21.804511278195488,57,42.857142857142854,64.30605545207958,19.73935629176225,56.390977443609025,F08_안정추세60,S04_점수높,daily_1,F08_안정추세60__S04_점수높,FULL_daily_1,13300000,2625334.386804379,15925334.38680438,19.73935629176225
133,902,5,3.7593984962406015,27,20.30075187969925,56,42.10526315789473,62.679286853764225,21.28105865762812,58.64661654135338,F08_안정추세60,S05_변동성낮,daily_1,F08_안정추세60__S05_변동성낮,FULL_daily_1,13300000,2830380.80146454,16130380.801464539,21.281058657628122
179,856,19,10.614525139664805,48,26.81564245810056,90,50.27932960893855,82.53184038171312,34.42777795980229,59.217877094972074,F08_안정추세60,S06_변동성높,daily_1,F08_안정추세60__S06_변동성높,FULL_daily_1,17900000,6162572.25480461,24062572.25480461,34.42777795980229
170,865,17,10.0,43,25.294117647058822,74,43.52941176470589,78.34099490774382,28.67045243820715,53.52941176470589,F08_안정추세60,S07_slope강한,daily_1,F08_안정추세60__S07_slope강한,FULL_daily_1,17000000,4873976.914495216,21873976.914495215,28.67045243820715
175,860,18,10.285714285714285,50,28.57142857142857,87,49.714285714285715,91.05636899027324,41.39300004731928,60.57142857142858,F08_안정추세60,S08_외인매수강,daily_1,F08_안정추세60__S08_외인매수강,FULL_daily_1,17500000,7243775.008280874,24743775.008280873,41.39300004731928
153,882,11,7.18954248366013,35,22.875816993464053,70,45.751633986928105,75.41850528616585,26.980998841472992,58.16993464052288,F08_안정추세60,S09_52주고점근접,daily_1,F08_안정추세60__S09_52주고점근접,FULL_daily_1,15300000,4128092.822745368,19428092.822745368,26.980998841472992
149,886,6,4.026845637583892,33,22.14765100671141,67,44.966442953020135,67.33392865528778,23.42623399621245,59.73154362416108,F08_안정추세60,S10_랜덤,daily_1,F08_안정추세60__S10_랜덤,FULL_daily_1,14900000,3490508.865435655,18390508.865435656,23.42623399621245
98,662,7,7.142857142857142,15,15.306122448979592,38,38.775510204081634,63.87193910463456,18.648341799353325,52.04081632653062,F09_slope05_과열X,S01_거래대금낮,daily_1,F09_slope05_과열X__S01_거래대금낮,FULL_daily_1,9800000,1827537.4963366257,11627537.496336626,18.648341799353325
95,665,3,3.1578947368421053,13,13.684210526315791,36,37.89473684210527,57.46599879693712,14.377288437388582,49.473684210526315,F09_slope05_과열X,S02_거래대금높,daily_1,F09_slope05_과열X__S02_거래대금높,FULL_daily_1,9500000,1365842.4015519153,10865842.401551915,14.377288437388582
122,638,13,10.655737704918032,28,22.950819672131143,52,42.62295081967213,87.62845492831315,31.056134952668053,54.91803278688525,F09_slope05_과열X,S03_점수낮,daily_1,F09_slope05_과열X__S03_점수낮,FULL_daily_1,12200000,3788848.464225502,15988848.464225503,31.056134952668053
113,647,12,10.619469026548671,26,23.00884955752212,55,48.67256637168141,81.52518773719734,31.70984391938789,56.63716814159292,F09_slope05_과열X,S04_점수높,daily_1,F09_slope05_과열X__S04_점수높,FULL_daily_1,11300000,3583212.3628908317,14883212.362890832,31.709843919387893
106,654,6,5.660377358490567,17,16.037735849056602,42,39.62264150943396,65.43879187193264,20.02050535634691,55.66037735849056,F09_slope05_과열X,S05_변동성낮,daily_1,F09_slope05_과열X__S05_변동성낮,FULL_daily_1,10600000,2122173.5677727726,12722173.567772772,20.020505356346913
