Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,StrongScore_v1,StrongScore_v2,SafeScore,SuperScore,ret_180d,peak_180d,sell_close,_score_pct,등급,가능성태그,week
2026-05-21,2026,018880,한온시스템,KOSPI,4835.0,100922042875.0,0.7205311074901215,0.6303712537125428,0.6271137535529738,0.6428126891293848,0.5022732679719145,2.7297174206483232,3.983691994512923,-0.5986272080478292,4.693944735041642,4.446742502585321,6.101344364012418,5050.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-20
2026-05-19,2026,088350,한화생명,KOSPI,5800.0,144208798800.0,0.719485723651709,0.722671014124511,0.6324528343120427,0.6999055847604364,0.5393925661742014,2.796131394105534,4.0570457822970045,-0.6646988270380914,4.4978944056460834,-3.4482758620689613,0.5172413793103514,5600.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-20
2026-05-18,2026,001740,SK네트웍스,KOSPI,8250.0,369495060000.0,0.8459486577181351,0.7837342822007588,0.6915845251869704,0.6346552101150983,0.5076535098436007,3.3897249019553124,4.965835848648361,-0.5773726038008364,5.921219027963348,1.8181818181818077,6.545454545454543,8400.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-20
2026-05-15,2026,031330,에스에이엠티,KOSDAQ,14300.0,93563412800.0,0.8235194771155653,0.8163135340540073,0.7935369663387051,0.8220143950115676,0.4982221524250158,3.4921213939163795,5.049094962749499,-0.0535450057632389,5.7440840090305745,9.020979020979023,30.000000000000004,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-19
2026-05-14,2026,031330,에스에이엠티,KOSDAQ,11000.0,37436080000.0,0.853767888888775,0.8458154560125573,0.8266885676824566,0.8433393400797816,0.4392321505665827,3.778251117234451,5.469462472451698,0.3172064950091062,6.341518136054837,41.72727272727273,69.0,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-19
2026-05-11,2026,031330,에스에이엠티,KOSDAQ,9090.0,16845033510.0,0.7780941049728226,0.8237813433734651,0.8034470901438884,0.8333728753376426,0.349312205457324,3.674777009207906,5.29354368538296,0.7236318135325535,6.034380022441606,71.5071507150715,104.51045104510452,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,2026-19
2026-05-08,2026,003530,한화투자증권,KOSPI,8550.0,61615746000.0,0.827703682176357,0.7769189144240843,0.7210010909541427,0.7333678465020813,0.3951108166602994,3.5792688757987423,5.228024880703199,0.2121827006568084,6.301482738462073,-19.1812865497076,3.5087719298245723,6910.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,2026-18
2026-05-07,2026,003530,한화투자증권,KOSPI,8490.0,80769020700.0,0.8074950101657615,0.7819945173879171,0.720542789629697,0.7522640490895149,0.4065666550319957,3.5028862861448657,5.102306910138351,0.1922376126487481,6.042116826497637,-18.61012956419317,4.240282685512375,6910.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-18
2026-05-06,2026,031330,에스에이엠티,KOSDAQ,7900.0,16565028100.0,0.8262307557803564,0.8134565878721397,0.8036279700362523,0.8042550934039256,0.3602205947484336,3.7820639296886647,5.481033140437013,0.6110351831019356,6.461204584061397,97.34177215189874,135.31645569620255,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,2026-18
2026-04-30,2026,032500,케이엠더블유,KOSDAQ,29750.0,11138905750.0,0.6407226790576144,0.6448959767571897,0.7457206043431067,0.799789685352127,0.4309214281849403,2.773389750281854,3.946361668590737,0.1906928341226592,4.252619649651442,22.3529411764706,29.41176470588236,36400.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-17
2026-04-29,2026,417200,LS머트리얼즈,KOSDAQ,31250.0,613002718750.0,0.7365509665465113,0.7398412521082794,0.7804526772777362,0.7960010300927011,0.5096152906245834,3.0806368738305223,4.414044142353101,-0.1756217156597785,4.817433212342197,-24.319999999999997,3.360000000000007,23650.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-17
2026-04-27,2026,036540,SFA반도체,KOSDAQ,9960.0,232809492120.0,0.8239794668420913,0.808095562478073,0.7667500308835801,0.765454899375214,0.4990230858417513,3.452785603443461,5.005769232524928,-0.1974555995747486,5.744679239212156,2.9116465863453733,10.040160642570273,10250.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-17
2026-04-24,2026,031330,에스에이엠티,KOSDAQ,7400.0,5366420800.0,0.8462118501578416,0.8243007349188606,0.8040659514893919,0.8043317660154213,0.3787014658474685,3.8217496726462703,5.547622274573915,0.5192221542828919,6.568611172341074,110.67567567567566,151.21621621621622,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,2026-16
2026-04-23,2026,031330,에스에이엠티,KOSDAQ,7070.0,5013754130.0,0.8294690916106882,0.823436819782809,0.7928433711390006,0.7905216616920299,0.3689499879960557,3.778505899653167,5.480212504769893,0.5291367545427814,6.449940976126603,120.50919377652048,162.94200848656294,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능,2026-16
2026-04-22,2026,031330,에스에이엠티,KOSDAQ,6930.0,3964008510.0,0.8425790483157342,0.8112619976061636,0.7875378393143403,0.7923246086461162,0.4005713422493002,3.731025296172188,5.421243049357437,0.3693303453600713,6.42293377191084,124.96392496392494,168.25396825396822,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-16
2026-04-15,2026,031330,에스에이엠티,KOSDAQ,6600.0,5034473400.0,0.8297812923380271,0.8022501157062321,0.7968087250498664,0.789237773342438,0.4083398064388175,3.672848162745661,5.325195998836014,0.3335852395406546,6.256113891186183,136.21212121212122,181.66666666666669,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-15
2026-04-14,2026,027360,아주IB투자,KOSDAQ,11330.0,362778770970.0,0.8166561529270747,0.7953551909169574,0.7775886484203597,0.8201080398142693,0.5404840881947888,3.3396217171874425,4.830127530305282,-0.2846157129250453,5.464141088296804,39.276257722859675,76.08120035304502,15780.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-15
2026-04-13,2026,001440,대한전선,KOSPI,32000.0,132124352000.0,0.7278620558927749,0.7069813879009308,0.6817737379849114,0.7018234973142105,0.4987319720136426,2.928368043487347,4.238850877209719,-0.4082391274548809,4.7849606988595355,71.24999999999999,137.18750000000003,54800.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-15
2026-04-10,2026,031330,에스에이엠티,KOSDAQ,6370.0,13299069420.0,0.835019973523965,0.8121746039336716,0.769646132065645,0.7713640526733178,0.4487322667130711,3.595503425111905,5.2228984074136,0.0687129038469249,6.1065384016742925,144.74097331240188,191.83673469387753,15590.0,1.0,★ 강력매수,🏆 슈퍼위너 강력후보 / 💯 100%+ 가능 / 📈 50%+ 가능 / 🔻 손절 주의,2026-14
