Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,외인소진율_num,loser_prob,RF_위험,모드,결과,결과(peak),수익률(180일),고점도달(peak),RF손절확률
2025-08-22,195940,HK이노엔,KOSDAQ,47600.0,2026-05-21,44550.0,-6.4075630252100835,23.109243697479,48.89,40678912400.0,mixed,7.296650717703357,22.20708446866484,9.926470588235304,-11.188118811881187,0.9023041987531314,-10.756123535676254,-22068.0,218476.0,15.83,1.0,14.02,0.45415732748621246,0,시그널전체풀,중립,일반,-6.4,23.1,45.4
2025-08-22,213420,덕산네오룩스,KOSDAQ,41250.0,2026-05-21,44450.0,7.757575757575763,38.909090909090914,51.17,12336843750.0,mixed,11.126961483594865,22.291993720565138,25.848142164781905,-16.41630901287554,2.9495660509835173,-16.41630901287554,-354722.0,476250.0,21.45,2.5,12.22,0.4072627383767312,0,시그널전체풀,익절,일반,7.8,38.9,40.7
2025-08-21,457190,이수스페셜티케미컬,KOSPI,48100.0,2026-05-20,91300.0,89.81288981288982,174.012474012474,53.66,20547261800.0,mixed,18.62871927554981,-16.332116788321173,-6.141248720573178,-28.359374999999996,3.1002709444776637,-11.170784103114928,-19819.0,51778.0,4100.0,23.31,5.75,0.48140500544097903,0,시그널전체풀,익절,100%+,89.8,174.0,48.1
2025-08-19,137400,피엔티,KOSDAQ,39800.0,2026-05-18,47100.0,18.341708542713576,55.77889447236182,51.56,27907959000.0,mixed,10.534124629080122,-21.825813221406086,-32.27272727272727,-39.72491909385113,2.6095773494029224,-8.497723823975722,131915.0,-54727.0,14.38,1.67,6.91,0.6061135216384119,1,시그널전체풀,익절,50%+,18.3,55.8,60.6
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,331.9973261287358,469.59028493440655,75.26,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18,12.38,0.34669515074407586,0,시그널전체풀,익절,슈퍼위너,332.0,469.6,34.7
2025-08-18,077970,STX엔진,KOSPI,38600.0,2026-05-15,45850.0,18.78238341968912,75.38860103626943,57.99,246197632200.0,new_high_240,42.63261296660117,25.38860103626943,68.44547563805104,0.0,1.220166751593231,-22.28682170542635,2576483.0,389204.0,26.95,5.83,4.71,0.4168362608540905,0,시그널전체풀,익절,50%+,18.8,75.4,41.7
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,331.9973261287358,469.59028493440655,65.83,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18,12.38,0.3317133277901154,0,시그널전체풀,익절,슈퍼위너,332.0,469.6,33.2
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,331.9973261287358,469.59028493440655,65.63,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18,12.38,0.3317133277901154,0,시그널전체풀,익절,슈퍼위너,332.0,469.6,33.2
2025-08-14,077970,STX엔진,KOSPI,36300.0,2026-05-14,47750.0,31.54269972451791,86.50137741046832,63.88,173447716200.0,V_recovery,21.32196162046909,-5.166666666666664,71.28236002408188,-5.166666666666664,0.3237376081962245,-22.28682170542635,313855.0,1023973.0,26.95,5.83,4.71,0.47844748171681084,0,시그널전체풀,익절,50%+,31.5,86.5,47.8
2025-08-13,090460,비에이치,KOSPI,18030.0,2026-05-13,30150.0,67.22129783693845,105.21353300055463,56.0,144063107670.0,mixed,18.85496183206108,-6.091676718938476,-24.782608695652176,-34.716981132075475,4.179374818396391,-14.457831325301207,807651.0,1951761.0,16.46,1.64,18.35,0.3755166024870105,0,시그널전체풀,익절,100%+,67.2,105.2,37.6
2025-08-13,090460,비에이치,KOSPI,18030.0,2026-05-13,30150.0,67.22129783693845,105.21353300055463,59.33,144063107670.0,mixed,18.85496183206108,-6.091676718938476,-24.782608695652176,-34.716981132075475,4.179374818396391,-14.457831325301207,807651.0,1951761.0,16.46,1.64,18.35,0.374544345860803,0,시그널전체풀,익절,100%+,67.2,105.2,37.5
2025-08-13,090460,비에이치,KOSPI,18030.0,2026-05-13,30150.0,67.22129783693845,105.21353300055463,53.48,144063107670.0,mixed,18.85496183206108,-6.091676718938476,-24.782608695652176,-34.716981132075475,4.179374818396391,-14.457831325301207,807651.0,1951761.0,16.46,1.64,18.35,0.3755166024870105,0,시그널전체풀,익절,100%+,67.2,105.2,37.6
2025-08-13,064760,티씨케이,KOSDAQ,115200.0,2026-05-13,335000.0,190.79861111111111,194.27083333333334,58.62,12334464000.0,mixed,16.538882803943046,22.158438576349027,1.623686723973261,-6.50263620386643,2.5245258210004056,-14.338919925512105,-48422.0,164355.0,50.78,6.56,64.87,0.27433545170438545,0,시그널전체풀,익절,100%+,190.8,194.3,27.4
2025-08-13,009150,삼성전기,KOSPI,162900.0,2026-05-13,1029000.0,531.6758747697974,550.7059545733579,56.34,92707856100.0,mixed,28.71125611745513,7.055630936227941,11.519434628975267,-1.4366021236727033,4.0678238512925775,-5.661619486504277,1476627.0,519040.0,147.27,10.61,38.26,0.3033316355817917,0,시그널전체풀,익절,슈퍼위너,531.7,550.7,30.3
2025-08-12,036570,NC,KOSPI,223000.0,2026-05-12,250000.0,12.107623318385642,31.390134529147986,51.3,104849917000.0,persistent_uptrend,30.2250803858521,17.119722382880287,10.294117647058831,-17.177914110429448,5.0139973506873705,-10.725995316159253,92824.0,-34856.0,12.99,1.52,36.1,0.32264216347007535,0,시그널전체풀,익절,일반,12.1,31.4,32.3
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,52.5,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,20.76,0.47922909168021854,0,시그널전체풀,익절,100%+,49.4,105.2,47.9
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,58.94,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,20.76,0.47902937908280185,0,시그널전체풀,익절,100%+,49.4,105.2,47.9
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,54.97,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,20.76,0.47846575278828846,0,시그널전체풀,익절,100%+,49.4,105.2,47.8
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,61.64,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,20.76,0.48250489292235266,0,시그널전체풀,익절,100%+,49.4,105.2,48.3
2025-08-11,348370,엔켐,KOSDAQ,87000.0,2026-05-11,41150.0,-52.70114942528736,20.68965517241379,53.37,156220767000.0,box_breakout,6.696428571428581,-34.81818181818181,-55.68603213844252,-66.57342657342657,0.3596709556093282,-21.802325581395355,-42028.0,84531.0,,1.79,3.68,0.6076502801844722,1,시그널전체풀,손절,일반,-52.7,20.7,60.8
2025-08-11,005070,코스모신소재,KOSPI,47300.0,2026-05-11,60500.0,27.906976744186053,40.380549682875255,51.72,94362979700.0,mixed,13.079019073569476,-17.000000000000004,-63.306808134394345,-68.65558912386706,4.055571937663579,-15.864022662889521,-304409.0,155507.0,,3.37,6.01,0.4396105549623601,0,시그널전체풀,익절,일반,27.9,40.4,44.0
2025-08-11,003670,포스코퓨처엠,KOSPI,162900.0,2026-05-11,280000.0,71.88459177409455,83.85512584407613,57.3,156219796800.0,persistent_uptrend,34.57167910380987,15.965272102024763,-24.495717742502286,-39.97637367900131,6.770257502770941,-12.956733141355148,121951.0,297279.0,,5.22,9.5,0.4357007250554623,0,시그널전체풀,익절,50%+,71.9,83.9,43.6
2025-08-11,348370,엔켐,KOSDAQ,87000.0,2026-05-11,41150.0,-52.70114942528736,20.68965517241379,59.11,156220767000.0,box_breakout,6.696428571428581,-34.81818181818181,-55.68603213844252,-66.57342657342657,0.3596709556093282,-21.802325581395355,-42028.0,84531.0,,1.79,3.68,0.6076502801844722,1,시그널전체풀,손절,일반,-52.7,20.7,60.8
2025-08-11,348370,엔켐,KOSDAQ,87000.0,2026-05-11,41150.0,-52.70114942528736,20.68965517241379,50.19,156220767000.0,box_breakout,6.696428571428581,-34.81818181818181,-55.68603213844252,-66.57342657342657,0.3596709556093282,-21.802325581395355,-42028.0,84531.0,,1.79,3.68,0.6118048904789539,1,시그널전체풀,손절,일반,-52.7,20.7,61.2
2025-08-11,005070,코스모신소재,KOSPI,47300.0,2026-05-11,60500.0,27.906976744186053,40.380549682875255,45.83,94362979700.0,mixed,13.079019073569476,-17.000000000000004,-63.306808134394345,-68.65558912386706,4.055571937663579,-15.864022662889521,-304409.0,155507.0,,3.37,6.01,0.444604817026047,0,시그널전체풀,익절,일반,27.9,40.4,44.5
