Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,외인소진율_num,loser_prob,RF_위험,모드,결과,결과(peak),수익률(180일),고점도달(peak),RF손절확률
2025-08-22,213420,덕산네오룩스,KOSDAQ,41250.0,2026-05-21,44450.0,7.757575757575763,38.909090909090914,51.17,12336843750.0,mixed,11.126961483594865,22.291993720565138,25.848142164781905,-16.41630901287554,2.9495660509835173,-16.41630901287554,-354722.0,476250.0,21.45,2.5,12.22,0.4072627383767312,0,매일1건(RF안전),익절,일반,7.8,38.9,40.7
2025-08-21,457190,이수스페셜티케미컬,KOSPI,48100.0,2026-05-20,91300.0,89.81288981288982,174.012474012474,53.66,20547261800.0,mixed,18.62871927554981,-16.332116788321173,-6.141248720573178,-28.359374999999996,3.1002709444776637,-11.170784103114928,-19819.0,51778.0,4100.0,23.31,5.75,0.48140500544097903,0,매일1건(RF안전),익절,100%+,89.8,174.0,48.1
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,331.9973261287358,469.59028493440655,75.26,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18,12.38,0.34669515074407586,0,매일1건(RF안전),익절,슈퍼위너,332.0,469.6,34.7
2025-08-14,077970,STX엔진,KOSPI,36300.0,2026-05-14,47750.0,31.54269972451791,86.50137741046832,63.88,173447716200.0,V_recovery,21.32196162046909,-5.166666666666664,71.28236002408188,-5.166666666666664,0.3237376081962245,-22.28682170542635,313855.0,1023973.0,26.95,5.83,4.71,0.47844748171681084,0,매일1건(RF안전),익절,50%+,31.5,86.5,47.8
2025-08-13,064760,티씨케이,KOSDAQ,115200.0,2026-05-13,335000.0,190.79861111111111,194.27083333333334,58.62,12334464000.0,mixed,16.538882803943046,22.158438576349027,1.623686723973261,-6.50263620386643,2.5245258210004056,-14.338919925512105,-48422.0,164355.0,50.78,6.56,64.87,0.27433545170438545,0,매일1건(RF안전),익절,100%+,190.8,194.3,27.4
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,58.94,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,20.76,0.47902937908280185,0,매일1건(RF안전),익절,100%+,49.4,105.2,47.9
2025-08-11,005070,코스모신소재,KOSPI,47300.0,2026-05-11,60500.0,27.906976744186053,40.380549682875255,51.72,94362979700.0,mixed,13.079019073569476,-17.000000000000004,-63.306808134394345,-68.65558912386706,4.055571937663579,-15.864022662889521,-304409.0,155507.0,,3.37,6.01,0.4396105549623601,0,매일1건(RF안전),익절,일반,27.9,40.4,44.0
2025-08-08,240810,원익IPS,KOSDAQ,35850.0,2026-05-08,132900.0,270.7112970711297,298.88423988842396,52.57,87176946900.0,persistent_uptrend,38.730853391684896,23.58674463937622,-7.714701601164487,-16.248348745046236,6.5787087448816335,-10.085836909871249,251804.0,479485.0,71.09,6.1,17.34,0.37458522012433754,0,매일1건(RF안전),익절,슈퍼위너,270.7,298.9,37.5
2025-08-06,457190,이수스페셜티케미컬,KOSPI,51100.0,2026-05-06,121800.0,138.35616438356166,157.9256360078278,65.76,100732561300.0,box_breakout,11.057692307692314,10.79136690647482,51.22749590834697,-27.812499999999996,1.9407659095894447,-11.170784103114928,316836.0,71782.0,4100.0,23.31,5.75,0.40452600512921566,0,매일1건(RF안전),익절,100%+,138.4,157.9,40.5
2025-08-05,457190,이수스페셜티케미컬,KOSPI,46200.0,2026-05-04,123600.0,167.5324675324675,185.28138528138527,63.94,29448804000.0,mixed,-0.7058823529411784,25.782414307004476,51.79856115107915,-34.06249999999999,1.7937279923938183,-11.170784103114928,82686.0,-31224.0,4100.0,23.31,5.75,0.4765328254277865,0,매일1건(RF안전),익절,100%+,167.5,185.3,47.7
