label,n,loser_n,loser_rate,SW_n,SW_rate,100+_n,100+_rate,50+_n,50+_rate,avg_ret,avg_peak
iter 0 (초기),5009,1084,21.64104611698942,393,7.845877420642842,1119,22.339788380914356,2179,43.501696945498104,28.30991013919441,74.06842848839062
iter 1: PER_num ≤ 5.31 (q=5%),4794,1016,21.193158114309554,393,8.197747183979976,1097,22.88277012932833,2108,43.97163120567376,29.386374819111722,75.44463002277293
iter 2: PBR_num ≤ 0.43 (q=5%),4541,944,20.78837260515305,389,8.566395067165823,1064,23.430962343096233,2024,44.57168024664171,30.221142489516083,76.81882032813239
iter 3: past_20 ≤ -4.19 (q=5%),4311,869,20.157736024124333,379,8.791463697517978,1027,23.822778937601484,1938,44.954766875434935,30.90070591675545,77.5852770901806
iter 4: vol20 ≤ 1.33 (q=5%),4094,829,20.24914509037616,377,9.208597948216903,996,24.32828529555447,1871,45.70102589154861,31.93744139503725,79.3322004311817
iter 5: range60_pct ≤ 13.58 (q=5%),3886,783,20.149253731343283,375,9.650025733401955,968,24.909933093154915,1812,46.62892434379825,33.091728263970545,81.28830529254161
iter 6: vol20 ≤ 1.58 (q=5%),3688,742,20.119305856832973,371,10.059652928416487,949,25.732104121475054,1759,47.695227765726685,34.168508565296655,83.22608342069984
iter 7: candle_pct ≤ 4.19 (q=10%),3318,642,19.349005424954793,345,10.397830018083184,849,25.587703435804706,1581,47.64918625678119,34.43005224632154,83.73188266810585
iter 8: slope60 ≤ -1.27 (q=10%),2986,560,18.754186202277296,324,10.850636302746148,777,26.021433355659745,1441,48.25853985264568,35.38543591099701,84.91810378524774
