rule,feat,direction,cut,n,winner_rate,loser_rate,winner_lift,loser_lift,mean_ret,median_ret
s1 >= 0,s1,ge,0.0,14068,0.17052885982371338,0.17770827409724196,1.0,1.0,13.969511083713718,-4.581128533747593
s1 <= 0,s1,le,0.0,992,0.15826612903225806,0.18649193548387097,0.9280899971762429,1.0494274193548387,11.155939409932737,-8.3392755323402
s1 >= 30,s1,ge,30.0,13076,0.17145916182318752,0.17704190884062404,1.0054553933007928,0.9962502294279596,14.18296038781212,-4.186046511627907
s1 <= 30,s1,le,30.0,7164,0.2003070910106086,0.2116136236739252,1.1746228246507886,1.1907921831379118,18.773069951407034,-3.7658885064323213
s1 >= 50,s1,ge,50.0,6606,0.14047835301241296,0.14411141386618226,0.8237805211248961,0.8109437481077808,8.861988791278304,-5.026737967914439
s1 <= 50,s1,le,50.0,7462,0.1971321361565264,0.207451085499866,1.1560045399958372,1.1673687483248458,18.491126235660694,-3.7724168032221996
s1 >= 55.3,s1,ge,55.3,6337,0.1437588764399558,0.1462837304718321,0.8430178715120044,0.8231678081110936,9.201382526602789,-5.026737967914439
s1 <= 55.3,s1,le,55.3,7739,0.19227290347590129,0.20325623465564027,1.127509464818249,1.143763483654219,17.867540449431065,-3.9337474120082816
s1 >= 63.8,s1,ge,63.8,5636,0.1499290276792051,0.14709013484740951,0.879200317378515,0.8277056068133428,9.950528979282515,-4.533386024999269
s1 <= 63.8,s1,le,63.8,8442,0.1841980573323857,0.1980573323856906,1.0801576784293465,1.1145082208007582,16.653950897130258,-4.583687040181098
s1 >= 70,s1,ge,70.0,4953,0.14819301433474663,0.14617403593781547,0.8690201440855422,0.8225505350292752,9.32555281560462,-4.408352668213457
s1 <= 70,s1,le,70.0,9119,0.1829147932887378,0.19475819717074241,1.0726324768595097,1.0959433271192018,16.51533256903381,-4.611650485436893
s1 >= 70.2,s1,ge,70.2,4926,0.14636622005684125,0.14697523345513602,0.8583076214087715,0.8270590336987415,9.10471801648955,-4.673758865248227
s1 <= 70.2,s1,le,70.2,9153,0.1837648858297826,0.19403474270730908,1.0776175130693546,1.0918723041625698,16.61674652232617,-4.576271186440678
s1 >= 76.4,s1,ge,76.4,4228,0.1487701040681173,0.14924314096499527,0.8724042617883595,0.8398210028382215,8.851303971304604,-4.444444444444445
s1 <= 76.4,s1,le,76.4,9859,0.17973425296683235,0.19028299016127395,1.053981438406585,1.0707604422355208,16.131551917722934,-4.6255506607929515
s1 >= 80,s1,ge,80.0,3837,0.1566327860307532,0.144904873599166,0.9185118940727954,0.815408704717227,9.996156888248672,-4.028197381671702
s1 <= 80,s1,le,80.0,10234,0.17568888020324408,0.18995505178815714,1.0302589273444094,1.0689150674223178,15.458742438658758,-4.733787079162875
s1 >= 82.8,s1,ge,82.8,3534,0.16185625353706848,0.144878324844369,0.9491428823507626,0.8152593095642332,10.525082981650009,-3.9748953974895396
s1 <= 82.8,s1,le,82.8,10555,0.1733775461866414,0.18910468972051162,1.016705010318329,1.064129909995263,15.103258390607609,-4.75
s1 >= 87.8,s1,ge,87.8,2833,0.16413695728909283,0.15460642428521001,0.962517180134622,0.8700012707377338,10.150922041455305,-4.244031830238726
s1 <= 87.8,s1,le,87.8,11255,0.17183474011550423,0.18356286095068858,1.0076578257377715,1.0329449311417147,14.88838112975113,-4.707112970711297
s1 >= 90,s1,ge,90.0,2560,0.1671875,0.1578125,0.9804058982909546,0.8880425,10.155664642478623,-4.444444444444445
s1 <= 90,s1,le,90.0,11518,0.17112345893384268,0.1822364993922556,1.0034867946149642,1.0254812293801008,14.789916907961661,-4.626940828292689
s1 >= 94.1,s1,ge,94.1,2114,0.1717123935666982,0.16698202459791864,1.0069403721118426,0.9396412488174077,10.13037847055345,-4.779411764705882
s1 <= 94.1,s1,le,94.1,11964,0.17084587094617185,0.17945503176195252,1.0018589881078557,1.0098293547308592,14.689047227637477,-4.490500863557859
s1 >= 95,s1,ge,95.0,2018,0.16997026759167494,0.166005946481665,0.9967243536805682,0.9341486620416253,10.032774503097363,-4.512786489096019
s1 <= 95,s1,le,95.0,12053,0.17082883929312204,0.1796233302912138,1.0017591126201089,1.0107764042147183,14.641816606923088,-4.583333333333333
s1 >= 100,s1,ge,100.0,1576,0.15038071065989847,0.18591370558375633,0.8818490360831396,1.0461736040609138,6.176213922346322,-7.997649387603612
s1 <= 100,s1,le,100.0,14068,0.17052885982371338,0.17770827409724196,1.0,1.0,13.969511083713718,-4.581128533747593
s2 >= 37.5,s2,ge,37.5,13366,0.16803830614993268,0.17768966033218614,0.9853951191818479,0.9998952566212779,13.520458999563552,-4.769475357710652
s2 <= 37.5,s2,le,37.5,706,0.21671388101983002,0.17988668555240794,1.2708340467640555,1.01225835694051,22.374438632010484,0.5488408955815336
s2 >= 50,s2,ge,50.0,12917,0.16768599520012387,0.17705349539366727,0.9833291290018102,0.9963154292792444,13.339551327260901,-4.819217434373453
s2 <= 50,s2,le,50.0,1155,0.20173160173160173,0.18441558441558442,1.182976312280189,1.0377433766233766,21.039646045202165,-2.1621621621621623
s2 >= 53.9,s2,ge,53.9,12663,0.16804864566058597,0.17626154939587776,0.9854557512101391,0.9918589907604833,13.474444177184315,-4.794520547945205
s2 <= 53.9,s2,le,53.9,1408,0.19318181818181818,0.19105113636363635,1.1328394406760394,1.0750829545454545,18.453727825914452,-3.242629431803844
s2 >= 62.7,s2,ge,62.7,11962,0.1660257482026417,0.17497074067881624,0.9735932579052787,0.9845953519478348,13.265178732835706,-4.774443561208267
s2 <= 62.7,s2,le,62.7,2118,0.19688385269121814,0.19216241737488196,1.154548578432704,1.0813363550519357,18.121645778455314,-3.38917531466338
s2 >= 70,s2,ge,70.0,11269,0.16611944271896353,0.17366225929541218,0.9741426928596828,0.9772322655071435,13.258530609669208,-5.043478260869565
s2 <= 70,s2,le,70.0,2811,0.18818925649235146,0.19352543578797582,1.1035625095182995,1.0890063322660974,16.84350158092053,-2.1046643913538112
s2 >= 70.1,s2,ge,70.1,11257,0.166118859376388,0.17375855023540906,0.9741392720746256,0.9777741138846939,13.25184320704601,-5.043478260869565
s2 <= 70.1,s2,le,70.1,2816,0.1885653409090909,0.19318181818181818,1.1057679099245898,1.0870727272727272,16.93051669740272,-2.0727403589422115
s2 >= 77.9,s2,ge,77.9,10553,0.16687197953188668,0.17369468397612053,0.9785556515442192,0.9774147256704255,13.30313397726391,-5.026737967914439
s2 <= 77.9,s2,le,77.9,3524,0.18303064699205449,0.18927355278093075,1.0733118557249781,1.0650801362088536,16.42526546255275,-2.9568439500161587
s2 >= 80,s2,ge,80.0,10345,0.16674722087965202,0.17390043499275012,0.977824053078343,0.9785725277912035,13.013961543266765,-5.026737967914439
s2 <= 80,s2,le,80.0,3736,0.18228051391862954,0.1876338329764454,1.0689129928333807,1.0558531049250535,16.839419684784954,-2.9048817970768073
s2 >= 84.7,s2,ge,84.7,9851,0.165059384834027,0.17663181402903258,0.9679263967674414,0.9939425439041721,12.466850541464487,-5.043478260869565
s2 <= 84.7,s2,le,84.7,4235,0.18276269185360094,0.179456906729634,1.071740537305735,1.0098399055489964,17.450096602944384,-3.2648588474717783
s2 >= 90,s2,ge,90.0,9233,0.1651684176324055,0.17394129751976606,0.9685657770957402,0.9788024694032276,12.213562875459889,-5.473372781065089
s2 <= 90,s2,le,90.0,4852,0.18178070898598517,0.18446001648804616,1.0659820817068943,1.0379934047815333,17.34693855307996,-3.098927294398093
s2 >= 90.7,s2,ge,90.7,9150,0.16437158469945357,0.17475409836065572,0.9638930610887507,0.9833762622950819,12.195685622426874,-5.574066324929386
s2 <= 90.7,s2,le,90.7,4930,0.1815415821501014,0.18356997971602435,1.0645798156263555,1.0329849898580121,17.17580684907643,-3.14761557564428
s2 >= 95,s2,ge,95.0,8770,0.16499429874572405,0.17457240592930445,0.9675447247831789,0.9823538426453821,12.355468503174166,-5.603448275862069
s2 <= 95,s2,le,95.0,5303,0.17952102583443333,0.18291533094474827,1.0527310510374357,1.0293011502922875,16.62641086913469,-3.130148270181219
s2 >= 98.5,s2,ge,98.5,8445,0.1640023682652457,0.17643576080521017,0.9617279352878185,0.9928393132030787,12.190483986154886,-5.9105431309904155
s2 <= 98.5,s2,le,98.5,5629,0.18049387102504885,0.17960561378575235,1.0584359222927835,1.0106767098951857,16.669491324934068,-3.2648588474717783
s2 >= 100,s2,ge,100.0,8318,0.16470305361865833,0.1767251743207502,0.9658368313077472,0.9944679009377255,12.30770564039411,-5.59242181234964
s2 <= 100,s2,le,100.0,14068,0.17052885982371338,0.17770827409724196,1.0,1.0,13.969511083713718,-4.581128533747593
s3 >= 17.7,s3,ge,17.7,13365,0.16864945753834643,0.17822671156004488,0.9889789781781816,1.0029173512906846,13.89516659765645,-4.628330995792426
s3 <= 17.7,s3,le,17.7,705,0.20567375886524822,0.1673758865248227,1.2060935555299341,0.9418575886524823,15.291857156559631,-2.8764805414551606
s3 >= 31.3,s3,ge,31.3,12662,0.16940451745379878,0.18077712841573212,0.9934067326136062,1.017269057021008,13.934511200510245,-4.580640602751659
s3 <= 31.3,s3,le,31.3,1416,0.1807909604519774,0.14901129943502825,1.0601780873857516,0.838516384180791,14.283246603691444,-4.660020373514431
s3 >= 43.8,s3,ge,43.8,11958,0.17101521993644422,0.18314099347717008,1.0028520692229668,1.0305709984947315,14.062984300057527,-4.467472654001152
s3 <= 43.8,s3,le,43.8,2115,0.1673758865248227,0.14657210401891252,0.9815106176036705,0.8247905437352245,13.388609957119773,-4.794520547945205
s3 >= 50,s3,ge,50.0,11597,0.17228593601793568,0.18496162800724325,1.0103036881618672,1.0408160731223592,14.120185720623963,-4.490500863557859
s3 <= 50,s3,le,50.0,2475,0.162020202020202,0.14383838383838385,0.9501042942977083,0.8094073535353536,13.214671811396776,-4.794520547945205
s3 >= 53,s3,ge,53.0,11261,0.1729864132847882,0.18506349347304857,1.0144113639393082,1.041389290471539,14.204007416242948,-4.540162980209546
s3 <= 53,s3,le,53.0,2823,0.16153028692879914,0.14806942968473255,0.9472313782885979,0.833216294721927,13.19159050784128,-4.723885562208915
s3 >= 57.5,s3,ge,57.5,10568,0.1735427706283119,0.18783118849356548,1.0176739046265493,1.0569636638909916,14.290220068988503,-4.581128533747593
s3 <= 57.5,s3,le,57.5,3527,0.16075985256592004,0.1477176070314715,0.9427134664015687,0.8312365182874965,12.912379645598149,-4.580152671755725
s3 >= 60.7,s3,ge,60.7,9848,0.17678716490658003,0.18795694557270512,1.0366993897064476,1.0576713241267264,14.898522320621302,-4.4204883908443175
s3 <= 60.7,s3,le,60.7,4242,0.157001414427157,0.1537010843941537,0.9206735715553335,0.8649067421027817,11.879318268252467,-4.786966156325544
s3 >= 63.5,s3,ge,63.5,9152,0.1785402097902098,0.18826486013986013,1.0469794378193713,1.059404020979021,15.393468204635457,-4.205352266521026
s3 <= 63.5,s3,le,63.5,4958,0.15510286405808793,0.1581282775312626,0.9095402632635187,0.8898194433239209,11.309867234972334,-5.031446540880504
s3 >= 66.4,s3,ge,66.4,8456,0.18010879848628192,0.19169820245979186,1.0561778145498184,1.0787241248817407,15.4992231773602,-4.581128533747593
s3 <= 66.4,s3,le,66.4,5644,0.15786676116229625,0.15609496810772502,0.9257480600380091,0.8783776045357903,11.92192739192938,-4.582096709392294
s3 >= 69.6,s3,ge,69.6,7759,0.17760020621214073,0.19667482923057095,1.0414671533940791,1.1067285990462687,14.774781006411478,-5.119896305897602
s3 <= 69.6,s3,le,69.6,6334,0.16135143669087465,0.15472055573097568,0.9461825808116818,0.8706435112093464,12.907253765974122,-4.172019567743854
s3 >= 70,s3,ge,70.0,7633,0.1788287698152758,0.19730119219179876,1.048671585561192,1.11025326870169,14.9275748685449,-5.157962604771115
