Date,Code,Name,Market,Close,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,peak_180d,ret_180d,sell_date,sell_close,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num,Year,Month,YYYYMM
2020-04-06,006280,녹십자,KOSPI,154000.0,44.79,108845198000.0,V_recovery,14.693877551020407,,,-2.430555555555558,-0.5078937492764499,-22.302158273381288,195.12987012987014,129.87012987012986,2020-12-28,354000.0,11991.0,64449.0,-28518.0,206647.0,,1.3,1624400000000.0,2020,4,2020-04
2020-04-06,237690,에스티팜,KOSDAQ,39200.0,42.31,55111044800.0,mixed,24.542124542124544,,,-6.206896551724139,0.7096105768419465,-36.827586206896555,202.55102040816325,138.5204081632653,2020-12-28,93500.0,-14762.0,92324.0,-91764.0,172178.0,51.55,4.87,2909800000000.0,2020,4,2020-04
2020-04-06,006280,녹십자,KOSPI,154000.0,45.37,108845198000.0,V_recovery,14.693877551020407,,,-2.430555555555558,-0.5078937492764499,-22.302158273381288,195.12987012987014,129.87012987012986,2020-12-28,354000.0,11991.0,64449.0,-28518.0,206647.0,,1.3,1624400000000.0,2020,4,2020-04
2020-04-07,005250,녹십자홀딩스,KOSPI,24700.0,50.84,44805627100.0,new_high_240,6.746987951807237,,,0.0,-2.741540445039419,-31.177829099307164,100.40485829959516,45.34412955465588,2020-12-29,35900.0,-20550.0,67484.0,-91716.0,115024.0,,0.76,704000000000.0,2020,4,2020-04
2020-04-07,006280,녹십자,KOSPI,166000.0,50.18,247192426000.0,new_high_240,23.69477911646587,,,0.0,-0.06223608270627365,-22.302158273381288,173.79518072289156,133.73493975903617,2020-12-29,388000.0,7729.0,-11233.0,-14903.0,140726.0,,1.3,1624400000000.0,2020,4,2020-04
2020-04-07,006280,녹십자,KOSPI,166000.0,49.41,247192426000.0,new_high_240,23.69477911646587,,,0.0,-0.06223608270627365,-22.302158273381288,173.79518072289156,133.73493975903617,2020-12-29,388000.0,7729.0,-11233.0,-14903.0,140726.0,,1.3,1624400000000.0,2020,4,2020-04
2020-04-07,005250,녹십자홀딩스,KOSPI,24700.0,45.49,44805627100.0,new_high_240,6.746987951807237,,,0.0,-2.741540445039419,-31.177829099307164,100.40485829959516,45.34412955465588,2020-12-29,35900.0,-20550.0,67484.0,-91716.0,115024.0,,0.76,704000000000.0,2020,4,2020-04
2020-04-07,196170,알테오젠,KOSDAQ,25366.0,45.27,98402780388.0,mixed,29.952883105227723,,,-18.494283201407214,2.3421648592342095,-42.36763412489006,399.8265394622723,288.4609319561618,2020-12-29,98537.0,5977.0,12072.0,152801.0,231185.0,138.44,44.14,19532200000000.0,2020,4,2020-04
2020-04-07,006280,녹십자,KOSPI,166000.0,45.87,247192426000.0,new_high_240,23.69477911646587,,,0.0,-0.06223608270627365,-22.302158273381288,173.79518072289156,133.73493975903617,2020-12-29,388000.0,7729.0,-11233.0,-14903.0,140726.0,,1.3,1624400000000.0,2020,4,2020-04
2020-04-07,005250,녹십자홀딩스,KOSPI,24700.0,47.72,44805627100.0,new_high_240,6.746987951807237,,,0.0,-2.741540445039419,-31.177829099307164,100.40485829959516,45.34412955465588,2020-12-29,35900.0,-20550.0,67484.0,-91716.0,115024.0,,0.76,704000000000.0,2020,4,2020-04
