buy_date,code,name,buy_price,alloc,sell_date,sell_close,ret_180d,peak_180d,YYYYMM,return_pct
2020-04-10,322000,HD현대에너지솔루션,21300.0,1000000.0,2021-01-05,43000.0,101.87793427230045,119.01408450704226,2020-04,101.87793427230045
2020-04-16,016380,KG스틸,12050.0,1000000.0,2021-01-08,12650.0,4.9792531120331995,76.76348547717842,2020-04,4.9792531120331995
2020-04-24,071970,HD현대마린엔진,2600.0,1000000.0,2021-01-18,3825.0,47.11538461538463,153.46153846153845,2020-04,47.11538461538463
2020-04-27,225570,넥슨게임즈,8290.0,1000000.0,2021-01-19,13550.0,63.44993968636912,97.82870928829917,2020-04,63.44993968636912
2020-05-08,001440,대한전선,6849.0,1000000.0,2021-01-27,10801.0,57.70185428529713,115.63731931668855,2020-05,57.70185428529713
2020-05-15,131290,티에스이,15800.0,1000000.0,2021-02-03,62600.0,296.2025316455696,367.0886075949367,2020-05,296.2025316455696
2020-05-21,011930,신성이엔지,9600.0,1000000.0,2021-02-09,31100.0,223.95833333333334,358.3333333333333,2020-05,223.95833333333334
2020-05-27,082740,한화엔진,3322.0,1000000.0,2021-02-17,5680.0,70.98133654425045,143.19686935580975,2020-05,70.98133654425045
2020-06-05,226950,올릭스,23071.0,1000000.0,2021-02-26,44450.0,92.66611763686012,164.40119630705215,2020-06,92.66611763686012
2020-06-10,009155,삼성전기우,60500.0,1000000.0,2021-03-04,116500.0,92.56198347107438,162.8099173553719,2020-06,92.56198347107438
2021-01-13,009520,포스코엠텍,5110.0,1000000.0,2021-10-06,7100.0,38.94324853228963,142.66144814090018,2021-01,38.94324853228963
2021-01-20,001740,SK네트웍스,5950.0,1000000.0,2021-10-14,5200.0,-12.605042016806722,7.731092436974785,2021-01,-12.605042016806722
2021-01-25,086450,동국제약,31800.0,1000000.0,2021-10-19,23300.0,-26.72955974842768,5.817610062893075,2021-01,-26.72955974842768
2021-02-01,003240,태광산업,933000.0,1000000.0,2021-10-26,1059000.0,13.5048231511254,41.2647374062165,2021-02,13.5048231511254
2021-02-08,280360,롯데웰푸드,125500.0,1000000.0,2021-11-02,128500.0,2.39043824701195,31.474103585657364,2021-02,2.39043824701195
2021-02-17,033160,엠케이전자,13000.0,1000000.0,2021-11-09,18450.0,41.92307692307693,113.46153846153845,2021-02,41.92307692307693
2021-02-24,032350,롯데관광개발,20100.0,1000000.0,2021-11-16,18500.0,-7.960199004975122,17.66169154228856,2021-02,-7.960199004975122
2021-03-04,052690,한전기술,19100.0,1000000.0,2021-11-23,94700.0,395.8115183246074,509.94764397905755,2021-03,395.8115183246074
2021-03-08,083650,비에이치아이,3645.0,1000000.0,2021-11-25,4070.0,11.659807956104263,111.79698216735252,2021-03,11.659807956104263
2021-03-15,005440,현대지에프홀딩스,6981.0,1000000.0,2021-12-02,5401.0,-22.632860621687435,13.207276894427732,2021-03,-22.632860621687435
2021-03-23,003540,대신증권,15450.0,1000000.0,2021-12-10,21000.0,35.92233009708738,42.07119741100325,2021-03,35.92233009708738
2021-03-31,023160,태광,8800.0,1000000.0,2021-12-20,10600.0,20.45454545454546,53.40909090909092,2021-03,20.45454545454546
2021-04-06,001800,오리온홀딩스,15550.0,1000000.0,2021-12-24,16250.0,4.5016077170418,20.578778135048225,2021-04,4.5016077170418
2021-04-13,060250,NHN KCP,33627.0,1000000.0,2022-01-03,29850.0,-11.232045677580516,21.26862342760283,2021-04,-11.232045677580516
2021-04-19,003690,코리안리,5565.0,1000000.0,2022-01-07,5807.0,4.348607367475288,16.082659478885898,2021-04,4.348607367475288
2021-04-30,097230,HJ중공업,8700.0,1000000.0,2022-01-20,7630.0,-12.298850574712638,20.68965517241379,2021-04,-12.298850574712638
2021-05-07,003380,하림지주,11150.0,1000000.0,2022-01-26,8960.0,-19.64125560538117,14.798206278026903,2021-05,-19.64125560538117
2021-05-14,078350,한양디지텍,6650.0,1000000.0,2022-02-07,18450.0,177.44360902255642,195.4887218045113,2021-05,177.44360902255642
2021-05-21,001440,대한전선,11455.0,1000000.0,2022-02-11,13035.0,13.793103448275868,288.6599738105631,2021-05,13.793103448275868
2021-05-27,100840,SNT에너지,7349.0,1000000.0,2022-02-17,6133.0,-16.546468907334333,39.760511634235954,2021-05,-16.546468907334333
2021-10-07,017900,광전자,3250.0,1000000.0,2022-06-30,2280.0,-29.846153846153843,21.23076923076923,2021-10,-29.846153846153843
2021-10-22,053800,안랩,78200.0,1000000.0,2022-07-14,90500.0,15.728900255754485,179.41176470588235,2021-10,15.728900255754485
2021-10-27,082740,한화엔진,6817.0,1000000.0,2022-07-19,7223.0,5.955698987824554,28.869003960686523,2021-10,5.955698987824554
2021-11-04,000155,두산우,80400.0,1000000.0,2022-07-27,45600.0,-43.28358208955224,13.308457711442777,2021-11,-43.28358208955224
2021-11-11,060250,NHN KCP,39191.0,1000000.0,2022-08-03,13450.0,-65.68089612411012,4.051950702967511,2021-11,-65.68089612411012
2021-11-15,249420,일동제약,16400.0,1000000.0,2022-08-05,38150.0,132.6219512195122,384.7560975609756,2021-11,132.6219512195122
2021-11-23,178320,서진시스템,21928.0,1000000.0,2022-08-16,15200.0,-30.682232761765782,5.020977745348421,2021-11,-30.682232761765782
2021-12-03,033240,자화전자,20150.0,1000000.0,2022-08-26,27400.0,35.98014888337468,80.64516129032258,2021-12,35.98014888337468
2021-12-08,253590,네오셈,3010.0,1000000.0,2022-08-31,3300.0,9.63455149501662,68.1063122923588,2021-12,9.63455149501662
2021-12-13,033240,자화전자,21600.0,1000000.0,2022-09-05,27550.0,27.5462962962963,68.5185185185185,2021-12,27.5462962962963
2021-12-23,131970,두산테스나,49600.0,1000000.0,2022-09-19,25550.0,-48.48790322580645,6.653225806451624,2021-12,-48.48790322580645
2021-12-28,127120,제이에스링크,4115.0,1000000.0,2022-09-22,4425.0,7.53341433778858,30.74119076549211,2021-12,7.53341433778858
2022-01-03,127120,제이에스링크,5020.0,1000000.0,2022-09-27,4105.0,-18.22709163346613,7.17131474103585,2022-01,-18.22709163346613
2022-01-10,046890,서울반도체,15650.0,1000000.0,2022-10-05,10200.0,-34.82428115015974,11.82108626198084,2022-01,-34.82428115015974
2022-01-19,368770,파이버프로,2915.0,1000000.0,2022-10-17,2430.0,-16.638078902229847,143.2246998284734,2022-01,-16.638078902229847
2022-01-28,005300,롯데칠성,147000.0,1000000.0,2022-10-26,132500.0,-9.863945578231291,42.17687074829932,2022-01,-9.863945578231291
2022-02-03,003690,코리안리,6616.0,1000000.0,2022-10-27,4445.0,-32.81438935912938,3.71825876662637,2022-02,-32.81438935912938
2022-02-09,005300,롯데칠성,166000.0,1000000.0,2022-11-02,136000.0,-18.07228915662651,25.903614457831313,2022-02,-18.07228915662651
2022-02-17,214450,파마리서치,86400.0,1000000.0,2022-11-10,63800.0,-26.15740740740741,15.625,2022-02,-26.15740740740741
2022-02-23,083650,비에이치아이,4865.0,1000000.0,2022-11-16,8750.0,79.85611510791367,141.52106885919835,2022-02,79.85611510791367
2022-02-28,001060,JW중외제약,23957.0,1000000.0,2022-11-21,18766.0,-21.667988479358847,26.835580414910055,2022-02,-21.667988479358847
2022-03-11,103590,일진전기,5086.0,1000000.0,2022-11-30,5398.0,6.1344868265827746,46.65749115218245,2022-03,6.1344868265827746
2022-03-15,214370,케어젠,13000.0,1000000.0,2022-12-02,23960.0,84.3076923076923,150.61538461538458,2022-03,84.3076923076923
2022-03-23,014620,성광벤드,8840.0,1000000.0,2022-12-12,13250.0,49.886877828054295,99.6606334841629,2022-03,49.886877828054295
2022-03-29,348210,넥스틴,64000.0,1000000.0,2022-12-16,51700.0,-19.218749999999996,19.53125,2022-03,-19.218749999999996
2022-04-08,031330,에스에이엠티,4525.0,1000000.0,2022-12-28,2790.0,-38.34254143646408,4.8618784530386705,2022-04,-38.34254143646408
2022-07-08,033100,제룡전기,6980.0,1000000.0,2023-03-30,12250.0,75.50143266475644,89.54154727793697,2022-07,75.50143266475644
2022-07-19,102940,코오롱생명과학,38050.0,1000000.0,2023-04-10,34200.0,-10.11826544021025,32.98291721419184,2022-07,-10.11826544021025
2022-07-29,000370,한화손해보험,5010.0,1000000.0,2023-04-20,4550.0,-9.181636726546905,6.986027944111783,2022-07,-9.181636726546905
2022-08-04,039200,오스코텍,28673.0,1000000.0,2023-04-26,22600.0,-21.180204373452373,3.198130645555053,2022-08,-21.180204373452373
2022-08-08,082920,비츠로셀,6787.0,1000000.0,2023-04-28,8947.0,31.82554884337705,62.089288345366136,2022-08,31.82554884337705
2022-08-19,044490,태웅,13050.0,1000000.0,2023-05-12,14230.0,9.042145593869733,19.386973180076627,2022-08,9.042145593869733
2022-08-24,082920,비츠로셀,7216.0,1000000.0,2023-05-17,9250.0,28.187361419068747,52.452882483370274,2022-08,28.187361419068747
2022-09-02,127120,제이에스링크,5110.0,1000000.0,2023-05-26,3660.0,-28.375733855185914,5.283757338551864,2022-09,-28.375733855185914
2022-09-07,043260,성호전자,1600.0,1000000.0,2023-06-01,1745.0,9.062499999999996,31.25,2022-09,9.062499999999996
2022-09-13,161000,애경케미칼,11000.0,1000000.0,2023-06-05,18330.0,66.63636363636363,105.45454545454547,2022-09,66.63636363636363
2022-09-23,043260,성호전자,1670.0,1000000.0,2023-06-16,1667.0,-0.179640718562879,25.748502994011968,2022-09,-0.179640718562879
2022-09-27,280360,롯데웰푸드,133000.0,1000000.0,2023-06-20,107800.0,-18.947368421052634,4.511278195488733,2022-09,-18.947368421052634
2022-10-05,192080,더블유게임즈,38912.0,1000000.0,2023-06-27,36879.0,-5.224609375,11.42578125,2022-10,-5.224609375
2022-10-13,002020,코오롱,27900.0,1000000.0,2023-07-04,19820.0,-28.96057347670251,20.430107526881724,2022-10,-28.96057347670251
2022-10-17,102940,코오롱생명과학,47500.0,1000000.0,2023-07-06,29300.0,-38.31578947368421,6.526315789473691,2022-10,-38.31578947368421
