Date,Year,Code,Name,Market,Close,sell_close,수익률%,peak%,손익만,결과,p_sw,p_100plus,p_50plus,p_10plus,p_loss
2026-05-21,2026,018880,한온시스템,KOSPI,4835.0,5050.0,4.4,6.1,0.4,💤 보합,0.7205311074901215,0.6303712537125428,0.6271137535529738,0.6428126891293848,0.5022732679719145
2026-05-19,2026,032500,케이엠더블유,KOSDAQ,31950.0,36400.0,13.9,20.5,1.4,✅ 10%+,0.6623306293672667,0.6229822767020524,0.7075563923119402,0.7738828067679813,0.4751150481063469
2026-05-19,2026,088350,한화생명,KOSPI,5800.0,5600.0,-3.4,0.5,-0.3,💤 보합,0.719485723651709,0.722671014124511,0.6324528343120427,0.6999055847604364,0.5393925661742014
2026-05-18,2026,088350,한화생명,KOSPI,5670.0,5600.0,-1.2,8.6,-0.1,💤 보합,0.7145641478043195,0.7130258624650452,0.6344000948145524,0.6928795450031907,0.5340919940246387
2026-05-18,2026,001740,SK네트웍스,KOSPI,8250.0,8400.0,1.8,6.5,0.2,💤 보합,0.8459486577181351,0.7837342822007588,0.6915845251869704,0.6346552101150983,0.5076535098436007
2026-05-15,2026,031330,에스에이엠티,KOSDAQ,14300.0,15590.0,9.0,30.0,0.9,✅ 10%+,0.8235194771155653,0.8163135340540073,0.7935369663387051,0.8220143950115676,0.4982221524250158
2026-05-15,2026,001740,SK네트웍스,KOSPI,8720.0,8400.0,-3.7,18.8,-0.4,✅ 10%+,0.8065711844197818,0.7624579986538718,0.7399141831428862,0.6720561095192285,0.4657348760911498
2026-05-14,2026,001740,SK네트웍스,KOSPI,7900.0,8400.0,6.3,31.1,0.6,✅ 10%+,0.847786714681682,0.7904249965729695,0.7388611508436039,0.6692608910331971,0.5335618680208759
2026-05-14,2026,031330,에스에이엠티,KOSDAQ,11000.0,15590.0,41.7,69.0,4.2,📈 50%+,0.853767888888775,0.8458154560125573,0.8266885676824566,0.8433393400797816,0.4392321505665827
2026-05-11,2026,031330,에스에이엠티,KOSDAQ,9090.0,15590.0,71.5,104.5,7.2,💯 100%+,0.7780941049728226,0.8237813433734651,0.8034470901438884,0.8333728753376426,0.349312205457324
2026-05-08,2026,031330,에스에이엠티,KOSDAQ,8560.0,15590.0,82.1,117.2,8.2,💯 100%+,0.7879009347211724,0.8011788261215316,0.7811557621288413,0.8277724818052822,0.3734135108403075
2026-05-08,2026,003530,한화투자증권,KOSPI,8550.0,6910.0,-19.2,3.5,-1.9,💤 보합,0.827703682176357,0.7769189144240843,0.7210010909541427,0.7333678465020813,0.3951108166602994
2026-05-07,2026,003530,한화투자증권,KOSPI,8490.0,6910.0,-18.6,4.2,-1.9,💤 보합,0.8074950101657615,0.7819945173879171,0.720542789629697,0.7522640490895149,0.4065666550319957
2026-05-06,2026,031330,에스에이엠티,KOSDAQ,7900.0,15590.0,97.3,135.3,9.7,💯 100%+,0.8262307557803564,0.8134565878721397,0.8036279700362523,0.8042550934039256,0.3602205947484336
2026-05-06,2026,003530,한화투자증권,KOSPI,9370.0,6910.0,-26.3,-1.2,-2.6,❌ 손절,0.8315251259474227,0.7893970765057139,0.7681973880070577,0.7292136642711362,0.4351405359233888
2026-04-30,2026,032500,케이엠더블유,KOSDAQ,29750.0,36400.0,22.4,29.4,2.2,✅ 10%+,0.6407226790576144,0.6448959767571897,0.7457206043431067,0.799789685352127,0.4309214281849403
2026-04-29,2026,417200,LS머트리얼즈,KOSDAQ,31250.0,23650.0,-24.3,3.4,-2.4,❌ 손절,0.7365509665465113,0.7398412521082794,0.7804526772777362,0.7960010300927011,0.5096152906245834
2026-04-29,2026,060370,LS마린솔루션,KOSDAQ,37800.0,36850.0,-2.5,36.5,-0.3,✅ 10%+,0.6793218080713647,0.7188065475717532,0.7109543392885604,0.7166400046533802,0.4819913392493108
2026-04-27,2026,060370,LS마린솔루션,KOSDAQ,39150.0,36850.0,-5.9,31.8,-0.6,✅ 10%+,0.6827745904659763,0.7563080797792837,0.7649536834426861,0.7673007910957809,0.4542638772510407
2026-04-27,2026,036540,SFA반도체,KOSDAQ,9960.0,10250.0,2.9,10.0,0.3,✅ 10%+,0.8239794668420913,0.808095562478073,0.7667500308835801,0.765454899375214,0.4990230858417513
2026-04-24,2026,031330,에스에이엠티,KOSDAQ,7400.0,15590.0,110.7,151.2,11.1,💯 100%+,0.8462118501578416,0.8243007349188606,0.8040659514893919,0.8043317660154213,0.3787014658474685
2026-04-24,2026,036540,SFA반도체,KOSDAQ,9640.0,10250.0,6.3,13.7,0.6,✅ 10%+,0.8091492301415985,0.8004936535677428,0.7577326004307224,0.7743770711946781,0.5084129522836129
2026-04-24,2026,417200,LS머트리얼즈,KOSDAQ,27200.0,23650.0,-13.1,20.3,-1.3,✅ 10%+,0.7776810548653005,0.7476467688148994,0.7671404086954089,0.7853670005909557,0.4996900082132183
2026-04-23,2026,031330,에스에이엠티,KOSDAQ,7070.0,15590.0,120.5,162.9,12.1,💯 100%+,0.8294690916106882,0.823436819782809,0.7928433711390006,0.7905216616920299,0.3689499879960557
2026-04-22,2026,031330,에스에이엠티,KOSDAQ,6930.0,15590.0,125.0,168.3,12.5,💯 100%+,0.8425790483157342,0.8112619976061636,0.7875378393143403,0.7923246086461162,0.4005713422493002
2026-04-15,2026,027360,아주IB투자,KOSDAQ,12100.0,15780.0,30.4,64.9,3.0,📈 50%+,0.8146874090078535,0.7916275679469386,0.7748430938694817,0.8083283824238978,0.5510036957481422
2026-04-15,2026,031330,에스에이엠티,KOSDAQ,6600.0,15590.0,136.2,181.7,13.6,💯 100%+,0.8297812923380271,0.8022501157062321,0.7968087250498664,0.789237773342438,0.4083398064388175
2026-04-14,2026,001440,대한전선,KOSPI,32150.0,54800.0,70.5,136.1,7.0,💯 100%+,0.7255537652192375,0.7078854637926267,0.6907534765721235,0.7099521851416994,0.4973223987764512
2026-04-14,2026,027360,아주IB투자,KOSDAQ,11330.0,15780.0,39.3,76.1,3.9,📈 50%+,0.8166561529270747,0.7953551909169574,0.7775886484203597,0.8201080398142693,0.5404840881947888
2026-04-13,2026,001440,대한전선,KOSPI,32000.0,54800.0,71.2,137.2,7.1,💯 100%+,0.7278620558927749,0.7069813879009308,0.6817737379849114,0.7018234973142105,0.4987319720136426
2026-04-10,2026,005940,NH투자증권,KOSPI,34050.0,32850.0,-3.5,15.6,-0.4,✅ 10%+,0.7058556507915152,0.6904744952585664,0.6966540494482671,0.7423385037000625,0.4685060441253947
2026-04-10,2026,001440,대한전선,KOSPI,31700.0,54800.0,72.9,139.4,7.3,💯 100%+,0.7299440121043622,0.7033648356240307,0.6890015368588894,0.6996873541693689,0.5007192801196421
2026-04-10,2026,403870,HPSP,KOSDAQ,45550.0,54700.0,20.1,30.2,2.0,✅ 10%+,0.7146959178940018,0.6596634050955397,0.6643243277939959,0.690659896574174,0.5361454860844822
2026-04-10,2026,031330,에스에이엠티,KOSDAQ,6370.0,15590.0,144.7,191.8,14.5,💯 100%+,0.835019973523965,0.8121746039336716,0.769646132065645,0.7713640526733178,0.4487322667130711
2026-04-08,2026,031330,에스에이엠티,KOSDAQ,5830.0,15590.0,167.4,218.9,16.7,🏆 슈퍼위너,0.8322295902581616,0.8105325411402775,0.7651766527919917,0.7365924260088831,0.4702395066425457
2026-04-03,2026,010170,대한광통신,KOSDAQ,12740.0,24300.0,90.7,147.3,9.1,💯 100%+,0.8192050003954057,0.7279598871676737,0.6507879149474656,0.7029611606593513,0.6448105143531304
2026-04-02,2026,010170,대한광통신,KOSDAQ,10120.0,24300.0,140.1,211.3,14.0,🏆 슈퍼위너,0.801470682262616,0.7050942471725183,0.6600668229200395,0.7079624925841327,0.6066671606610617
2026-04-01,2026,027360,아주IB투자,KOSDAQ,9370.0,15780.0,68.4,112.9,6.8,💯 100%+,0.8694227204546449,0.8342800207986953,0.7791033695914759,0.8360376870010686,0.5099094991540007
2026-04-01,2026,088350,한화생명,KOSPI,4750.0,5600.0,17.9,29.7,1.8,✅ 10%+,0.7470672118540451,0.6145908645722041,0.601793661083181,0.7725313830031563,0.4482570925564212
2026-03-31,2026,006110,삼아알미늄,KOSPI,40200.0,96400.0,139.8,160.2,14.0,💯 100%+,0.7535333749926575,0.7013259550393969,0.7223204082879817,0.7647824723288593,0.493917577590621
2026-03-27,2026,030610,교보증권,KOSPI,13040.0,12800.0,-1.8,24.4,-0.2,✅ 10%+,0.7204081260968945,0.7643227728768983,0.6940598429460184,0.7719198305296413,0.4028556600614117
2026-03-27,2026,027360,아주IB투자,KOSDAQ,9240.0,15780.0,70.8,115.9,7.1,💯 100%+,0.8670966467687636,0.8498279325310074,0.7984708406683657,0.8112872027287825,0.5116274268625807
2026-03-26,2026,027360,아주IB투자,KOSDAQ,8920.0,15780.0,76.9,123.7,7.7,💯 100%+,0.872616776303354,0.8421536535723371,0.7657633794004116,0.790398763977288,0.5204602977085732
2026-03-25,2026,027360,아주IB투자,KOSDAQ,8520.0,15780.0,85.2,134.2,8.5,💯 100%+,0.8868185371648986,0.8471059247875317,0.8103879401100678,0.8367572512991308,0.5305279091846774
2026-03-25,2026,088350,한화생명,KOSPI,4970.0,5600.0,12.7,23.9,1.3,✅ 10%+,0.7804445958625128,0.7185184658333102,0.6505132825185655,0.7732650216395058,0.4781713040757894
2026-03-20,2026,088350,한화생명,KOSPI,5230.0,5600.0,7.1,17.8,0.7,✅ 10%+,0.8004820844994475,0.6999458214203439,0.6292087819807668,0.771127708775996,0.4735629170002735
2026-03-19,2026,030610,교보증권,KOSPI,12810.0,12800.0,-0.1,26.6,-0.0,✅ 10%+,0.7281735819047414,0.7384737988040976,0.710846475668845,0.7671707012475014,0.3455617906105564
2026-03-18,2026,030610,교보증권,KOSPI,13050.0,12800.0,-1.9,24.3,-0.2,✅ 10%+,0.781379350415967,0.7609684978368497,0.7055349606648126,0.7727010403380515,0.3559355625160429
2026-03-17,2026,030610,교보증권,KOSPI,12700.0,12800.0,0.8,27.7,0.1,✅ 10%+,0.7402479186567444,0.7472958019758941,0.7086848568348414,0.772378064725039,0.3460347072037905
2026-03-17,2026,027360,아주IB투자,KOSDAQ,7480.0,15780.0,111.0,166.7,11.1,💯 100%+,0.887650288821055,0.853259329040474,0.8211149795549489,0.8310847562100244,0.5171539099773171
2026-03-13,2026,047040,대우건설,KOSPI,12320.0,28550.0,131.7,227.5,13.2,🏆 슈퍼위너,0.8516832171925588,0.806050537214599,0.7419990421012823,0.7914960134122492,0.5421516522364215
2026-03-12,2026,030610,교보증권,KOSPI,12740.0,12800.0,0.5,27.3,0.0,✅ 10%+,0.7764373896887847,0.7480386133149953,0.7100127301907257,0.7590032899232904,0.3634789776694744
2026-03-11,2026,088350,한화생명,KOSPI,5100.0,5600.0,9.8,20.8,1.0,✅ 10%+,0.8009848585595397,0.6668956826024156,0.5859373947125347,0.753543825955828,0.5063228894488365
2026-03-11,2026,027360,아주IB투자,KOSDAQ,6130.0,15780.0,157.4,225.4,15.7,🏆 슈퍼위너,0.8824577730813162,0.8039677997352842,0.7931663971442253,0.8271150918498636,0.5050140582050727
2026-03-10,2026,010170,대한광통신,KOSDAQ,5510.0,24300.0,341.0,471.7,34.1,🏆 슈퍼위너,0.8326449215167037,0.7584214399975289,0.7218452240471049,0.8023419120140272,0.5640152768874559
2026-03-06,2026,028670,팬오션,KOSPI,5250.0,5980.0,13.9,21.1,1.4,✅ 10%+,0.7203419136620599,0.6663209265176816,0.6500840223301438,0.6695758092392218,0.5150028915976214
2026-03-06,2026,017960,한국카본,KOSPI,41800.0,36800.0,-12.0,29.4,-1.2,✅ 10%+,0.7293815080135746,0.6744341791312649,0.7212356287537249,0.7103708013290159,0.5085643645402245
2026-03-05,2026,028670,팬오션,KOSPI,5660.0,5980.0,5.7,12.4,0.6,✅ 10%+,0.8278992775593941,0.7599164348594301,0.7542395803529687,0.7073119722841937,0.5048245125275275
2026-03-05,2026,030610,교보증권,KOSPI,12740.0,12800.0,0.5,27.3,0.0,✅ 10%+,0.7341957601925319,0.7358748688984155,0.7119972212583475,0.7675037832986998,0.3760663022756277
2026-03-03,2026,028670,팬오션,KOSPI,6200.0,5980.0,-3.5,2.6,-0.4,💤 보합,0.8605964128252683,0.7911669547091619,0.7711903293224839,0.7068060410038565,0.5134017828144689
2026-02-27,2026,027360,아주IB투자,KOSDAQ,5810.0,15780.0,171.6,243.4,17.2,🏆 슈퍼위너,0.8725368101273595,0.8301696152626872,0.8194332929393439,0.8591952798770283,0.4801297581965285
2026-02-26,2026,047040,대우건설,KOSPI,10050.0,28550.0,184.1,301.5,18.4,🏆 슈퍼위너,0.8810026002625418,0.8449408409566552,0.800809102474518,0.8005856913816437,0.5140378265734885
2026-02-26,2026,036540,SFA반도체,KOSDAQ,8340.0,10250.0,22.9,31.4,2.3,✅ 10%+,0.8838185717504463,0.8426262600478955,0.8159341868632031,0.7941506814021345,0.5063179527956988
2026-02-25,2026,047040,대우건설,KOSPI,8750.0,28550.0,226.3,361.1,22.6,🏆 슈퍼위너,0.8735833605156449,0.8525130894612399,0.8233153549387048,0.7984006902620526,0.4724822826166187
2026-02-24,2026,047040,대우건설,KOSPI,8110.0,28550.0,252.0,397.5,25.2,🏆 슈퍼위너,0.8880236852315057,0.8486533134828095,0.8213363553311309,0.8063116849547414,0.4745984505297786
2026-02-20,2026,003530,한화투자증권,KOSPI,9300.0,6910.0,-25.7,6.2,-2.6,❌ 손절,0.8856721934087987,0.8472656778824154,0.8138753837347545,0.7706584411361319,0.4801499406648615
