rule,type,train_n,train_hit,train_lift,test_n,test_hit,test_lift,test_mean_peak,passes_oos,target,feat,direction,cut
s2>=90 AND new_high_252 AND KOSDAQ,combo3,199,0.8743718592964824,1.23473843246959,68,0.75,1.0388958594730238,71.4224509173019,False,hit_10,,,
s2>=90 AND KOSDAQ AND past_120>=50,combo3,201,0.900497512437811,1.2716316005925021,111,0.7477477477477478,1.035776052087219,99.93546122942325,False,hit_10,,,
new_high_60 AND KOSDAQ AND past_120>=50,combo3,226,0.8761061946902655,1.237187562714037,108,0.7407407407407407,1.0260699846647148,98.13177347365996,False,hit_10,,,
s1>=70 AND is_first_pullback AND marcap>3000bn,combo3,147,0.8843537414965986,1.248834281335065,86,0.7325581395348837,1.0147354906480697,68.7737728321355,False,hit_10,,,
s8>=70 AND chart=box_breakout AND marcap<=200bn,combo3,222,0.8603603603603603,1.2149521870077833,106,0.7264150943396226,1.0062261783575197,77.18512056346219,False,hit_10,,,
s8>=90 AND chart=box_breakout AND marcap<=200bn,combo3,206,0.8592233009708737,1.2133464961186355,105,0.7238095238095238,1.002616956443807,77.6424391720031,False,hit_10,,,
s1>=90 AND is_first_pullback AND marcap>3000bn,combo3,103,0.8737864077669902,1.2339116909681038,50,0.72,0.9973400250941028,45.24791096474676,False,hit_10,,,
is_first_pullback AND chart=sideways AND marcap200~500bn,combo3,153,0.8562091503267973,1.2090900832412945,107,0.719626168224299,0.996822195382216,32.164501802787065,False,hit_10,,,
KOSPI AND past_60>=30 AND marcap<=200bn,combo3,161,0.8819875776397516,1.2454929187094195,65,0.7076923076923077,0.9802914776565969,55.70757126321225,False,hit_10,,,
s3>=90 AND chart=persistent_uptrend AND marcap<=200bn,combo3,103,0.8640776699029126,1.2202015610684582,27,0.7037037037037037,0.9747664854314791,49.11117284745069,False,hit_10,,,
s1>=90 AND chart=box_breakout AND marcap<=200bn,combo3,124,0.9193548387096774,1.2982608490454728,65,0.6923076923076923,0.9589807933597142,48.131053401404124,False,hit_10,,,
is_first_pullback AND new_high_252 AND marcap200~500bn,combo3,202,0.8514851485148515,1.2024191153570367,39,0.6923076923076923,0.9589807933597142,40.78449228116604,False,hit_10,,,
s1>=70 AND chart=box_breakout AND marcap<=200bn,combo3,182,0.8516483516483516,1.2026495815815494,80,0.6875,0.9523212045169385,51.193353687629816,False,hit_10,,,
s1>=90 AND chart=box_breakout AND price_low<=5000won,combo3,94,0.851063829787234,1.2018241529051037,47,0.6808510638297872,0.9431111348407591,45.78093910218098,False,hit_10,,,
s3>=90 AND past_60>=30 AND marcap<=200bn,combo3,155,0.8580645161290322,1.2117101257757745,80,0.675,0.9350062735257214,54.287625989189756,False,hit_10,,,
