Date,Code,Name,Market,Close,sell_close,sell_date,return_pct,peak_180d,ret_180d,Score,Amount,chart_pattern
2020-04-06,237690,에스티팜,KOSDAQ,39200.0,93500.0,2020-12-28,138.5204081632653,202.55102040816325,138.5204081632653,42.31,55111044800.0,mixed
2020-04-07,005250,녹십자홀딩스,KOSPI,24700.0,35900.0,2020-12-29,45.34412955465588,100.40485829959516,45.34412955465588,50.84,44805627100.0,new_high_240
2020-04-08,006120,SK디스커버리,KOSPI,27100.0,65700.0,2020-12-30,142.43542435424354,238.00738007380073,142.43542435424354,44.49,61105134200.0,V_recovery
2020-04-09,336370,솔루스첨단소재,KOSPI,16456.0,24479.0,2021-01-04,48.75425376762274,62.809917355371894,48.75425376762274,55.64,234631721456.0,V_recovery
2020-04-10,322000,HD현대에너지솔루션,KOSPI,21300.0,43000.0,2021-01-05,101.87793427230045,119.01408450704226,101.87793427230045,47.03,9674928600.0,mixed
2020-04-13,174900,앱클론,KOSDAQ,27250.0,37950.0,2021-01-06,39.26605504587155,79.08256880733946,39.26605504587155,53.3,201675478750.0,V_recovery
2020-04-14,016380,KG스틸,KOSPI,11100.0,13000.0,2021-01-07,17.117117117117118,91.89189189189189,17.117117117117118,59.16,9593774400.0,new_high_240
2020-04-16,016380,KG스틸,KOSPI,12050.0,12650.0,2021-01-08,4.9792531120331995,76.76348547717842,4.9792531120331995,53.21,8127267100.0,new_high_240
2020-04-17,007390,네이처셀,KOSDAQ,10900.0,9680.0,2021-01-11,-11.192660550458712,29.8165137614679,-11.192660550458712,50.86,191250985800.0,persistent_uptrend
2020-04-20,064350,현대로템,KOSPI,16950.0,21100.0,2021-01-12,24.48377581120944,43.06784660766962,24.48377581120944,59.84,241973233650.0,V_recovery
2020-04-21,052020,에스티큐브,KOSDAQ,9433.0,7504.0,2021-01-13,-20.44948584755645,20.778119368175552,-20.44948584755645,50.34,31633801325.0,V_recovery
2020-04-22,007660,이수페타시스,KOSPI,2910.0,3368.0,2021-01-14,15.738831615120287,77.14776632302404,15.738831615120287,50.08,10046489820.0,V_recovery
2020-04-23,006650,대한유화,KOSPI,136000.0,281000.0,2021-01-15,106.61764705882355,119.48529411764706,106.61764705882355,47.02,24981976000.0,new_high_240
2020-04-24,071970,HD현대마린엔진,KOSPI,2600.0,3825.0,2021-01-18,47.11538461538463,153.46153846153845,47.11538461538463,48.03,24285843400.0,V_recovery
2020-04-27,225570,넥슨게임즈,KOSDAQ,8290.0,13550.0,2021-01-19,63.44993968636912,97.82870928829917,63.44993968636912,57.35,21659390770.0,V_recovery
2020-04-29,001510,SK증권,KOSPI,1295.0,1829.0,2021-01-21,41.23552123552123,103.24324324324326,41.23552123552123,51.04,26242947080.0,V_recovery
2020-05-04,196170,알테오젠,KOSDAQ,33097.0,81744.0,2021-01-22,146.98311025168445,283.073994621869,146.98311025168445,57.54,277506628662.0,V_recovery
2020-05-06,085660,차바이오텍,KOSDAQ,18232.0,18186.0,2021-01-25,-0.2523036419482261,34.9330846862659,-0.2523036419482261,51.29,118702225496.0,V_recovery
2020-05-07,035720,카카오,KOSPI,41347.0,92530.0,2021-01-26,123.78890850605848,132.52714828161655,123.78890850605848,47.88,108730578023.0,new_high_240
2020-05-08,001440,대한전선,KOSPI,6849.0,10801.0,2021-01-27,57.70185428529713,115.63731931668855,57.70185428529713,62.84,21521907207.0,new_high_240
2020-05-11,181710,NHN,KOSPI,46008.0,37088.0,2021-01-28,-19.38793253347244,9.411406711876191,-19.38793253347244,48.48,31359420864.0,new_high_240
