buy_date,code,name,Market,buy_price,alloc,sell_date,sell_close,ret_180d,peak_180d,rank,combo,set,YYYYMM
2020-04-06,237690,에스티팜,KOSDAQ,39200.0,1000000.0,2020-12-28,93500.0,138.5204081632653,202.55102040816325,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-04
2020-04-07,196170,알테오젠,KOSDAQ,25366.0,1000000.0,2020-12-29,98537.0,288.4609319561618,399.8265394622723,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-04
2020-04-17,102940,코오롱생명과학,KOSDAQ,48950.0,1000000.0,2021-01-11,28250.0,-42.288049029622066,5.005107252298258,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-04
2020-04-16,101490,에스앤에스텍,KOSDAQ,18300.0,1000000.0,2021-01-08,42550.0,132.51366120218577,191.8032786885246,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-04
2020-04-21,052020,에스티큐브,KOSDAQ,9433.0,1000000.0,2021-01-13,7504.0,-20.44948584755645,20.778119368175552,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-04
2020-04-20,007390,네이처셀,KOSDAQ,12700.0,1000000.0,2021-01-12,9550.0,-24.803149606299215,4.330708661417315,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-04
2020-04-27,225570,넥슨게임즈,KOSDAQ,8290.0,1000000.0,2021-01-19,13550.0,63.44993968636912,97.82870928829917,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-04
2020-04-27,225570,넥슨게임즈,KOSDAQ,8290.0,1000000.0,2021-01-19,13550.0,63.44993968636912,97.82870928829917,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-04
2020-05-07,196170,알테오젠,KOSDAQ,38382.0,1000000.0,2021-01-26,83579.0,117.75571882653328,230.32671564796,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-05
2020-05-08,032190,다우데이타,KOSDAQ,11700.0,1000000.0,2021-01-27,14700.0,25.64102564102564,51.7094017094017,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-05
2020-12-28,036830,솔브레인홀딩스,KOSDAQ,45700.0,1000000.0,2021-09-16,36000.0,-21.225382932166305,9.84682713347922,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-12
2020-12-28,036830,솔브레인홀딩스,KOSDAQ,45700.0,1000000.0,2021-09-16,36000.0,-21.225382932166305,9.84682713347922,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2020-12
2021-01-07,053800,안랩,KOSDAQ,98800.0,1000000.0,2021-09-29,68400.0,-30.76923076923077,6.578947368421062,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-01
2021-01-04,058610,에스피지,KOSDAQ,9400.0,1000000.0,2021-09-24,11200.0,19.14893617021276,48.93617021276595,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-01
2021-01-13,009520,포스코엠텍,KOSDAQ,5110.0,1000000.0,2021-10-06,7100.0,38.94324853228963,142.66144814090018,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-01
2021-01-12,037460,삼지전자,KOSDAQ,13400.0,1000000.0,2021-10-05,11700.0,-12.686567164179108,28.73134328358209,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-01
2021-01-18,189300,인텔리안테크,KOSDAQ,59324.0,1000000.0,2021-10-12,68056.0,14.719169307531521,52.26215359719506,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-01
2021-01-22,015750,성우하이텍,KOSDAQ,8530.0,1000000.0,2021-10-18,6190.0,-27.432590855803053,4.689331770222749,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-01
2021-01-29,053610,프로텍,KOSDAQ,36800.0,1000000.0,2021-10-25,25700.0,-30.163043478260864,4.891304347826098,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-01
2021-01-29,053610,프로텍,KOSDAQ,36800.0,1000000.0,2021-10-25,25700.0,-30.163043478260864,4.891304347826098,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-01
2021-02-02,052400,코나아이,KOSDAQ,28400.0,1000000.0,2021-10-27,33450.0,17.781690140845075,75.0,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-02
2021-02-02,052400,코나아이,KOSDAQ,28400.0,1000000.0,2021-10-27,33450.0,17.781690140845075,75.0,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-02
2021-02-08,052400,코나아이,KOSDAQ,33400.0,1000000.0,2021-11-02,34250.0,2.5449101796407136,48.80239520958083,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-02
2021-02-17,009520,포스코엠텍,KOSDAQ,5450.0,1000000.0,2021-11-09,9060.0,66.23853211009174,127.52293577981652,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-02
2021-02-17,009520,포스코엠텍,KOSDAQ,5450.0,1000000.0,2021-11-09,9060.0,66.23853211009174,127.52293577981652,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-02
2021-03-03,095610,테스,KOSDAQ,32450.0,1000000.0,2021-11-22,29200.0,-10.01540832049307,16.17873651771957,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-03
2021-03-08,083650,비에이치아이,KOSDAQ,3645.0,1000000.0,2021-11-25,4070.0,11.659807956104263,111.79698216735252,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-03
2021-09-27,225570,넥슨게임즈,KOSDAQ,14100.0,1000000.0,2022-06-21,15550.0,10.283687943262422,121.63120567375887,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-09
2021-09-27,225570,넥슨게임즈,KOSDAQ,14100.0,1000000.0,2022-06-21,15550.0,10.283687943262422,121.63120567375887,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-09
2021-10-05,225570,넥슨게임즈,KOSDAQ,14950.0,1000000.0,2022-06-28,16550.0,10.702341137123739,109.03010033444818,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-10
2021-10-06,101490,에스앤에스텍,KOSDAQ,37000.0,1000000.0,2022-06-29,20000.0,-45.945945945945944,5.405405405405395,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-10
2021-10-13,121600,나노신소재,KOSDAQ,47250.0,1000000.0,2022-07-05,71200.0,50.68783068783069,110.15873015873017,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-10
2021-10-15,036830,솔브레인홀딩스,KOSDAQ,42900.0,1000000.0,2022-07-07,19400.0,-54.77855477855478,9.906759906759909,1,F10_KOSDAQ만__S03_점수낮,FULL_weekly_2,2021-10
