buy_date,code,name,Market,buy_price,alloc,sell_date,sell_close,ret_180d,peak_180d
2024-01-05,010060,OCI홀딩스,KOSPI,105400.0,1000000.0,2024-10-02,69200.0,-34.34535104364327,10.436432637571148
2024-01-03,099320,쎄트렉아이,KOSDAQ,36100.0,1000000.0,2024-09-27,36200.0,0.27700831024930483,62.04986149584488
2024-01-03,099320,쎄트렉아이,KOSDAQ,36100.0,1000000.0,2024-09-27,36200.0,0.27700831024930483,62.04986149584488
2024-01-11,950160,코오롱티슈진,KOSDAQ,11690.0,1000000.0,2024-10-10,15190.0,29.940119760479035,86.4841745081266
2024-01-08,019210,와이지-원,KOSDAQ,6010.0,1000000.0,2024-10-04,5330.0,-11.314475873544094,12.312811980033267
2024-01-08,019210,와이지-원,KOSDAQ,6010.0,1000000.0,2024-10-04,5330.0,-11.314475873544094,12.312811980033267
2024-01-15,020560,아시아나항공,KOSPI,12090.0,1000000.0,2024-10-14,9560.0,-20.926385442514473,20.84367245657568
2024-01-16,006040,동원산업,KOSPI,35963.0,1000000.0,2024-10-15,30053.0,-16.433556711064146,9.10102049328476
2024-01-18,012510,더존비즈온,KOSPI,40800.0,1000000.0,2024-10-17,47350.0,16.05392156862746,91.91176470588236
2024-01-25,073240,금호타이어,KOSPI,5900.0,1000000.0,2024-10-24,4200.0,-28.8135593220339,41.694915254237294
2024-10-04,124500,아이티센글로벌,KOSDAQ,7290.0,1000000.0,2025-07-03,24250.0,232.6474622770919,352.6748971193416
2024-10-08,003850,보령,KOSPI,11080.0,1000000.0,2025-07-07,8390.0,-24.27797833935018,16.15523465703972
2024-10-08,226950,올릭스,KOSDAQ,21600.0,1000000.0,2025-07-07,38850.0,79.86111111111111,196.29629629629628
2024-10-11,226950,올릭스,KOSDAQ,26900.0,1000000.0,2025-07-09,38050.0,41.44981412639406,137.9182156133829
2024-10-15,140860,파크시스템스,KOSDAQ,202500.0,1000000.0,2025-07-11,300500.0,48.39506172839507,52.8395061728395
2024-10-15,140860,파크시스템스,KOSDAQ,202500.0,1000000.0,2025-07-11,300500.0,48.39506172839507,52.8395061728395
2024-10-15,140860,파크시스템스,KOSDAQ,202500.0,1000000.0,2025-07-11,300500.0,48.39506172839507,52.8395061728395
2024-10-21,115180,큐리언트,KOSDAQ,5730.0,1000000.0,2025-07-17,11450.0,99.82547993019197,128.2722513089005
2024-10-31,214430,아이쓰리시스템,KOSDAQ,38500.0,1000000.0,2025-07-29,117100.0,204.15584415584416,223.63636363636363
2025-07-08,010170,대한광통신,KOSDAQ,1009.0,1000000.0,2026-04-03,12740.0,1162.6362735381565,1198.3151635282456
2025-07-08,010170,대한광통신,KOSDAQ,1009.0,1000000.0,2026-04-03,12740.0,1162.6362735381565,1198.3151635282456
2025-07-08,010170,대한광통신,KOSDAQ,1009.0,1000000.0,2026-04-03,12740.0,1162.6362735381565,1198.3151635282456
2025-07-18,004000,롯데정밀화학,KOSPI,43000.0,1000000.0,2026-04-15,53400.0,24.1860465116279,32.32558139534885
2025-07-18,178920,PI첨단소재,KOSPI,21400.0,1000000.0,2026-04-15,23900.0,11.682242990654213,30.373831775700943
2025-07-18,178920,PI첨단소재,KOSPI,21400.0,1000000.0,2026-04-15,23900.0,11.682242990654213,30.373831775700943
2025-07-22,069260,TKG휴켐스,KOSPI,18170.0,1000000.0,2026-04-17,18070.0,-0.5503577325261411,18.6020913593836
2025-07-21,020150,롯데에너지머티리얼즈,KOSPI,26450.0,1000000.0,2026-04-16,48850.0,84.68809073724009,93.95085066162572
2025-07-21,020150,롯데에너지머티리얼즈,KOSPI,26450.0,1000000.0,2026-04-16,48850.0,84.68809073724009,93.95085066162572
2025-07-30,009155,삼성전기우,KOSPI,68300.0,1000000.0,2026-04-27,311500.0,356.0761346998536,376.93997071742314
2025-07-30,009155,삼성전기우,KOSPI,68300.0,1000000.0,2026-04-27,311500.0,356.0761346998536,376.93997071742314
2025-07-30,009155,삼성전기우,KOSPI,68300.0,1000000.0,2026-04-27,311500.0,356.0761346998536,376.93997071742314
2025-08-04,089890,코세스,KOSDAQ,11140.0,1000000.0,2026-04-30,47400.0,325.4937163375224,346.14003590664277
2025-08-05,457190,이수스페셜티케미컬,KOSPI,46200.0,1000000.0,2026-05-04,123600.0,167.5324675324675,185.28138528138527
2025-08-05,229640,LS에코에너지,KOSPI,41350.0,1000000.0,2026-05-04,90400.0,118.62152357920195,128.05320435308346
2025-08-13,064760,티씨케이,KOSDAQ,115200.0,1000000.0,2026-05-13,335000.0,190.79861111111111,194.27083333333334
2025-08-12,023160,태광,KOSDAQ,25000.0,1000000.0,2026-05-12,37350.0,49.4,105.2
