Date,Code,Name,Market,Close,Amount,ret_180d,peak_180d,sell_date,sell_close
2020-04-06,006280,녹십자,KOSPI,154000.0,108845198000.0,129.87012987012986,195.12987012987014,2020-12-28,354000.0
2020-04-07,006280,녹십자,KOSPI,166000.0,247192426000.0,133.73493975903617,173.79518072289156,2020-12-29,388000.0
2020-04-13,174900,앱클론,KOSDAQ,27250.0,201675478750.0,39.26605504587155,79.08256880733946,2021-01-06,37950.0
2020-04-16,032500,케이엠더블유,KOSDAQ,64300.0,198596722800.0,27.68273716951788,39.19129082426127,2021-01-08,82100.0
2020-04-17,007390,네이처셀,KOSDAQ,10900.0,191250985800.0,-11.192660550458712,29.8165137614679,2021-01-11,9680.0
2020-04-20,007390,네이처셀,KOSDAQ,12700.0,274972919700.0,-24.803149606299215,4.330708661417315,2021-01-12,9550.0
2020-04-21,052020,에스티큐브,KOSDAQ,9433.0,31633801325.0,-20.44948584755645,20.778119368175552,2021-01-13,7504.0
2020-04-22,097230,HJ중공업,KOSPI,7190.0,80666759810.0,-0.8344923504867818,42.55910987482614,2021-01-14,7130.0
2020-04-23,006650,대한유화,KOSPI,136000.0,24981976000.0,106.61764705882355,119.48529411764706,2021-01-15,281000.0
2020-04-29,001510,SK증권,KOSPI,1295.0,26242947080.0,41.23552123552123,103.24324324324326,2021-01-21,1829.0
2020-05-04,196170,알테오젠,KOSDAQ,33097.0,277506628662.0,146.98311025168445,283.073994621869,2021-01-22,81744.0
2020-05-06,085660,차바이오텍,KOSDAQ,18232.0,118702225496.0,-0.2523036419482261,34.9330846862659,2021-01-25,18186.0
2020-05-07,196170,알테오젠,KOSDAQ,38382.0,195425484144.0,117.75571882653328,230.32671564796,2021-01-26,83579.0
2020-05-08,001440,대한전선,KOSPI,6849.0,21521907207.0,57.70185428529713,115.63731931668855,2021-01-27,10801.0
2020-05-11,181710,NHN,KOSPI,46008.0,31359420864.0,-19.38793253347244,9.411406711876191,2021-01-28,37088.0
2020-05-14,007070,GS리테일,KOSPI,36606.0,74254758516.0,-18.690924984975144,3.737092279954113,2021-02-02,29764.0
2020-05-15,131290,티에스이,KOSDAQ,15800.0,11279146000.0,296.2025316455696,367.0886075949367,2021-02-03,62600.0
2020-05-18,131290,티에스이,KOSDAQ,17800.0,28075548400.0,248.87640449438203,314.6067415730337,2021-02-04,62100.0
2020-05-19,035900,JYP Ent.,KOSDAQ,24050.0,98184798400.0,38.66943866943866,81.2889812889813,2021-02-05,33350.0
