Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num
2025-08-22,195940,HK이노엔,KOSDAQ,47600.0,2026-05-21,44550.0,-6.4,23.1,중립,일반,45.4,0,48.89,40678912400.0,mixed,7.296650717703357,22.20708446866484,9.926470588235304,-11.188118811881187,0.9023041987531314,-10.756123535676254,-22068.0,218476.0,15.83,1.0
2025-08-22,213420,덕산네오룩스,KOSDAQ,41250.0,2026-05-21,44450.0,7.8,38.9,익절,일반,40.7,0,51.17,12336843750.0,mixed,11.126961483594865,22.291993720565138,25.848142164781905,-16.41630901287554,2.9495660509835173,-16.41630901287554,-354722.0,476250.0,21.45,2.5
2025-08-21,457190,이수스페셜티케미컬,KOSPI,48100.0,2026-05-20,91300.0,89.8,174.0,익절,100%+,48.1,0,53.66,20547261800.0,mixed,18.62871927554981,-16.332116788321173,-6.141248720573178,-28.359374999999996,3.1002709444776637,-11.170784103114928,-19819.0,51778.0,4100.0,23.31
2025-08-19,137400,피엔티,KOSDAQ,39800.0,2026-05-18,47100.0,18.3,55.8,익절,50%+,60.6,1,51.56,27907959000.0,mixed,10.534124629080122,-21.825813221406086,-32.27272727272727,-39.72491909385113,2.6095773494029224,-8.497723823975722,131915.0,-54727.0,14.38,1.67
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,332.0,469.6,익절,슈퍼위너,34.7,0,75.26,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18
2025-08-18,077970,STX엔진,KOSPI,38600.0,2026-05-15,45850.0,18.8,75.4,익절,50%+,41.7,0,57.99,246197632200.0,new_high_240,42.63261296660117,25.38860103626943,68.44547563805104,0.0,1.220166751593231,-22.28682170542635,2576483.0,389204.0,26.95,5.83
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,332.0,469.6,익절,슈퍼위너,33.2,0,65.83,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,332.0,469.6,익절,슈퍼위너,33.2,0,65.63,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18
2025-08-14,077970,STX엔진,KOSPI,36300.0,2026-05-14,47750.0,31.5,86.5,익절,50%+,47.8,0,63.88,173447716200.0,V_recovery,21.32196162046909,-5.166666666666664,71.28236002408188,-5.166666666666664,0.3237376081962245,-22.28682170542635,313855.0,1023973.0,26.95,5.83
2025-08-13,090460,비에이치,KOSPI,18030.0,2026-05-13,30150.0,67.2,105.2,익절,100%+,37.6,0,53.48,144063107670.0,mixed,18.85496183206108,-6.091676718938476,-24.782608695652176,-34.716981132075475,4.179374818396391,-14.457831325301207,807651.0,1951761.0,16.46,1.64
2025-08-13,009150,삼성전기,KOSPI,162900.0,2026-05-13,1029000.0,531.7,550.7,익절,슈퍼위너,30.3,0,56.34,92707856100.0,mixed,28.71125611745513,7.055630936227941,11.519434628975267,-1.4366021236727033,4.0678238512925775,-5.661619486504277,1476627.0,519040.0,147.27,10.61
2025-08-13,064760,티씨케이,KOSDAQ,115200.0,2026-05-13,335000.0,190.8,194.3,익절,100%+,27.4,0,58.62,12334464000.0,mixed,16.538882803943046,22.158438576349027,1.623686723973261,-6.50263620386643,2.5245258210004056,-14.338919925512105,-48422.0,164355.0,50.78,6.56
2025-08-13,090460,비에이치,KOSPI,18030.0,2026-05-13,30150.0,67.2,105.2,익절,100%+,37.5,0,59.33,144063107670.0,mixed,18.85496183206108,-6.091676718938476,-24.782608695652176,-34.716981132075475,4.179374818396391,-14.457831325301207,807651.0,1951761.0,16.46,1.64
2025-08-13,090460,비에이치,KOSPI,18030.0,2026-05-13,30150.0,67.2,105.2,익절,100%+,37.6,0,56.0,144063107670.0,mixed,18.85496183206108,-6.091676718938476,-24.782608695652176,-34.716981132075475,4.179374818396391,-14.457831325301207,807651.0,1951761.0,16.46,1.64
2025-08-12,036570,NC,KOSPI,223000.0,2026-05-12,250000.0,12.1,31.4,익절,일반,32.3,0,51.3,104849917000.0,persistent_uptrend,30.2250803858521,17.119722382880287,10.294117647058831,-17.177914110429448,5.0139973506873705,-10.725995316159253,92824.0,-34856.0,12.99,1.52
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,익절,100%+,47.9,0,52.5,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6
