col,SW평균,일반평균,차이%,SW중앙,일반중앙
slope120,-0.24214958194229436,0.08101404041438093,-398.8982905971815,-0.2946103375629333,-0.06797190350808952
PER_num,425.69520599250933,137.73449986591578,209.0694099204794,62.15,25.62
PBR_num,13.49178117048346,5.883667677642982,129.30902813818193,8.38,2.4
slope60,2.130143156646376,1.0910013697665704,95.24660698658332,1.0957668345353206,0.735703370111352
past_60,21.179469704498995,11.32558230542815,87.00556963281308,13.688212927756659,7.326478149100257
runup60,48.2797804196381,28.869109902460053,67.23681673165818,39.59627329192548,22.013959000921822
range60_pct,50.15140892229049,30.48300550691497,64.52252029713345,41.00449775112443,23.157894736842106
past_20,16.61868300615346,10.143806626316758,63.83083410756763,12.201963534361848,7.34648410304014
For_20d,236866.44528301887,155319.99012345678,52.50222788112755,102365.0,59341.0
past_120,16.054706870771522,11.302996047347099,42.039392064900234,8.200175134162402,5.253283302063783
vol60,3.6399572626769285,2.752343716214883,32.249371371491414,3.327491486751561,2.5165655242080383
cum_5d_gain,20.67496183206107,15.66608102253033,31.972774826883427,18.33,13.274999999999999
past_5d,20.67496183206107,15.66608102253033,31.972774826883427,18.33,13.274999999999999
drawdown60,-20.5422818976071,-15.836730504772346,-29.712896809204096,-18.138424821002385,-14.479043056593273
외인소진율_num,10.193307888040712,14.2906780762565,-28.671628920278007,7.36,11.14
vol20,3.687733912336805,2.875206396989539,28.25979784261805,3.406585227401946,2.5262333911386543
past_240,5.109322402183383,7.063293426132937,-27.663738514956865,0.0,0.6089119539429699
Inst_5d,97457.3283018868,129486.79122085049,-24.7356989983131,41584.0,64812.0
candle_pct,11.548447837150126,9.428682842287696,22.482090344106947,10.21,8.75
pos_120_high,-12.59053324794252,-10.31944812208922,-22.007815718283865,-8.636061210911505,-7.961920349719531
Inst_20d,173365.14339622643,208758.5769547325,-16.9542416291623,56793.0,87503.0
시총_num,4985534096692.112,4320240836221.837,15.399448449547357,1911700000000.0,1597800000000.0
days_since_52w_low,107.6437659033079,125.59098786828423,-14.290214823215502,88.0,117.0
vol_ratio,16.03730279898219,14.093277729636048,13.793988216510828,8.83,7.46
Amount,80895259351.24173,71897341084.48982,12.514952752116445,50520914500.0,45447011280.0
pos_252_high,-21.514489762536346,-19.68821003740364,-9.276006918166471,-18.485377564382365,-18.537590113285273
pos_240_high,-20.684304145206486,-19.035438851285477,-8.662081850609187,-15.445095948827293,-17.332328560663147
pos_60_high,-4.7239302295622325,-4.3544038842767785,-8.486267124181305,-3.803803803803807,-3.308823529411764
rs_ratio,1.0892213740458014,1.0063108752166376,8.239054239706482,1.054,0.972
days_since_52w_high,133.21882951653944,141.42309358752166,-5.801219491712572,121.0,158.0
Score,57.24715012722647,59.237928942807635,-3.360648913811961,55.91,57.715
For_5d,137621.7471698113,139069.6647462277,-1.0411455144143293,71319.0,49849.0
