Date,YYYYMM,Year,Code,Name,Market,Close,peak_180d,ret_180d,sell_date,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num
2024-12-12,2024-12,2024,005690,파미셀,KOSPI,7130.0,99.15848527349229,68.72370266479663,2025-09-10,52.23,56663443310.0,mixed,26.15384615384615,17.14285714285715,-22.73262661955241,388331.0,862011.0,168585.0,835539.0,22.91,7.51,996700000000.0
2020-11-13,2020-11,2020,204320,HL만도,KOSPI,44700.0,99.10514541387026,42.95302013422819,2021-08-04,49.86,180794290500.0,new_high_240,28.188976377952745,53.00751879699248,0.0,645706.0,328800.0,1242180.0,873137.0,29.58,1.09,2958300000000.0
2023-06-28,2023-06,2023,307950,현대오토에버,KOSPI,132100.0,99.09159727479182,11.506434519303554,2024-03-22,58.79,40779930500.0,mixed,6.508355321020232,26.806282722513085,-11.282051282051286,39484.0,72608.0,97956.0,-3012.0,94.83,9.37,17304500000000.0
2023-06-28,2023-06,2023,307950,현대오토에버,KOSPI,132100.0,99.09159727479182,11.506434519303554,2024-03-22,56.18,40779930500.0,mixed,6.508355321020232,26.806282722513085,-11.282051282051286,39484.0,72608.0,97956.0,-3012.0,94.83,9.37,17304500000000.0
2023-06-28,2023-06,2023,307950,현대오토에버,KOSPI,132100.0,99.09159727479182,11.506434519303554,2024-03-22,59.17,40779930500.0,mixed,6.508355321020232,26.806282722513085,-11.282051282051286,39484.0,72608.0,97956.0,-3012.0,94.83,9.37,17304500000000.0
2025-05-23,2025-05,2025,241710,코스메카코리아,KOSDAQ,53500.0,98.87850467289721,86.72897196261682,2026-02-19,59.32,21585110000.0,box_breakout,4.756871035940802,-8.070500927643787,-48.331595411887385,147699.0,107859.0,353620.0,-457347.0,14.6,3.16,804200000000.0
2021-12-16,2021-12,2021,108490,로보티즈,KOSDAQ,18843.0,98.71039643368891,4.394204744467434,2022-09-08,55.6,279386423481.0,mixed,11.266994503905114,-1.2515242924074244,-20.201234375810383,-1615.0,-34017.0,-11173.0,-24324.0,807.69,14.03,4463100000000.0
2021-12-16,2021-12,2021,108490,로보티즈,KOSDAQ,18843.0,98.71039643368891,4.394204744467434,2022-09-08,59.74,279386423481.0,mixed,11.266994503905114,-1.2515242924074244,-20.201234375810383,-1615.0,-34017.0,-11173.0,-24324.0,807.69,14.03,4463100000000.0
2021-12-16,2021-12,2021,108490,로보티즈,KOSDAQ,18843.0,98.71039643368891,4.394204744467434,2022-09-08,64.81,279386423481.0,mixed,11.266994503905114,-1.2515242924074244,-20.201234375810383,-1615.0,-34017.0,-11173.0,-24324.0,807.69,14.03,4463100000000.0
2021-11-16,2021-11,2021,036930,주성엔지니어링,KOSDAQ,14300.0,98.6013986013986,11.188811188811187,2022-08-08,68.66,96348852600.0,pullback_recovery,-2.6819923371647514,-11.49825783972126,-19.108280254777064,,,,,1555.56,17.44,10411800000000.0
2021-11-16,2021-11,2021,036930,주성엔지니어링,KOSDAQ,14300.0,98.6013986013986,11.188811188811187,2022-08-08,56.22,96348852600.0,pullback_recovery,-2.6819923371647514,-11.49825783972126,-19.108280254777064,,,,,1555.56,17.44,10411800000000.0
2021-11-16,2021-11,2021,036930,주성엔지니어링,KOSDAQ,14300.0,98.6013986013986,11.188811188811187,2022-08-08,68.1,96348852600.0,pullback_recovery,-2.6819923371647514,-11.49825783972126,-19.108280254777064,,,,,1555.56,17.44,10411800000000.0
2021-11-16,2021-11,2021,036930,주성엔지니어링,KOSDAQ,14300.0,98.6013986013986,11.188811188811187,2022-08-08,76.22,96348852600.0,pullback_recovery,-2.6819923371647514,-11.49825783972126,-19.108280254777064,,,,,1555.56,17.44,10411800000000.0
2025-07-14,2025-07,2025,005387,현대차2우B,KOSPI,167200.0,98.56459330143541,44.736842105263165,2026-04-09,49.66,46532261600.0,mixed,19.806403574087874,-2.188449848024321,-15.002641310089803,,,,,8.11,0.58,9195500000000.0
2022-10-06,2022-10,2022,108490,로보티즈,KOSDAQ,22787.0,98.50792118313075,21.797516127616625,2023-06-28,48.3,9921573735.0,mixed,19.505727021384644,-16.18519984170954,-37.14014364575296,45702.0,26238.0,-100141.0,286207.0,807.69,14.03,4463100000000.0
2025-01-21,2025-01,2025,353200,대덕전자,KOSPI,18980.0,98.10326659641728,65.4373024236038,2025-10-22,47.1,61755814380.0,V_recovery,4.9199762892709,-17.865429234338748,-37.455830388692576,,,,,78.88,8.48,7476800000000.0
2025-01-21,2025-01,2025,353200,대덕전자,KOSPI,18980.0,98.10326659641728,65.4373024236038,2025-10-22,52.38,61755814380.0,V_recovery,4.9199762892709,-17.865429234338748,-37.455830388692576,,,,,78.88,8.48,7476800000000.0
2025-06-24,2025-06,2025,454910,두산로보틱스,KOSPI,66000.0,97.87878787878788,35.303030303030305,2026-03-20,53.63,158558862000.0,box_breakout,6.871609403254975,11.931818181818187,-44.08703878902555,199656.0,219311.0,392050.0,187481.0,,19.82,6909800000000.0
2020-04-27,2020-04,2020,225570,넥슨게임즈,KOSDAQ,8290.0,97.82870928829917,63.44993968636912,2021-01-19,59.04,21659390770.0,V_recovery,-1.5130674002751032,,-8.789808917197451,-62887.0,14173.0,20854.0,15117.0,,3.04,751500000000.0
2020-04-27,2020-04,2020,225570,넥슨게임즈,KOSDAQ,8290.0,97.82870928829917,63.44993968636912,2021-01-19,57.35,21659390770.0,V_recovery,-1.5130674002751032,,-8.789808917197451,-62887.0,14173.0,20854.0,15117.0,,3.04,751500000000.0
2020-04-27,2020-04,2020,225570,넥슨게임즈,KOSDAQ,8290.0,97.82870928829917,63.44993968636912,2021-01-19,52.7,21659390770.0,V_recovery,-1.5130674002751032,,-8.789808917197451,-62887.0,14173.0,20854.0,15117.0,,3.04,751500000000.0
2025-07-28,2025-07,2025,281820,케이씨텍,KOSPI,29600.0,97.2972972972973,93.24324324324324,2026-04-23,53.83,8866946400.0,mixed,5.950095969289837,-19.298245614035093,-51.1504424778761,-19245.0,127112.0,-121160.0,277195.0,18.93,2.52,1397800000000.0
2020-06-26,2020-06,2020,178320,서진시스템,KOSDAQ,14619.0,96.90813325124839,47.93761543197208,2021-03-22,63.52,285376461051.0,mixed,-0.40351868291501614,,-23.32401366884126,,,,,,5.89,4914600000000.0
2020-06-26,2020-06,2020,178320,서진시스템,KOSDAQ,14619.0,96.90813325124839,47.93761543197208,2021-03-22,63.28,285376461051.0,mixed,-0.40351868291501614,,-23.32401366884126,,,,,,5.89,4914600000000.0
2020-06-26,2020-06,2020,178320,서진시스템,KOSDAQ,14619.0,96.90813325124839,47.93761543197208,2021-03-22,61.8,285376461051.0,mixed,-0.40351868291501614,,-23.32401366884126,,,,,,5.89,4914600000000.0
2020-10-12,2020-10,2020,161000,애경케미칼,KOSPI,8000.0,96.875,48.12499999999999,2021-07-01,61.4,9254528000.0,mixed,13.975155279503104,19.543973941368087,-14.452214452214452,132133.0,106471.0,66137.0,157328.0,,1.03,740900000000.0
2020-10-12,2020-10,2020,161000,애경케미칼,KOSPI,8000.0,96.875,48.12499999999999,2021-07-01,56.93,9254528000.0,mixed,13.975155279503104,19.543973941368087,-14.452214452214452,132133.0,106471.0,66137.0,157328.0,,1.03,740900000000.0
2020-10-12,2020-10,2020,161000,애경케미칼,KOSPI,8000.0,96.875,48.12499999999999,2021-07-01,60.89,9254528000.0,mixed,13.975155279503104,19.543973941368087,-14.452214452214452,132133.0,106471.0,66137.0,157328.0,,1.03,740900000000.0
2020-10-12,2020-10,2020,161000,애경케미칼,KOSPI,8000.0,96.875,48.12499999999999,2021-07-01,61.23,9254528000.0,mixed,13.975155279503104,19.543973941368087,-14.452214452214452,132133.0,106471.0,66137.0,157328.0,,1.03,740900000000.0
2023-10-18,2023-10,2023,180640,한진칼,KOSPI,44450.0,96.6254218222722,57.48031496062993,2024-07-11,50.33,8401716750.0,downtrend,-11.897106109324762,-4.861111111111116,-21.71428571428572,23290.0,-21957.0,-164959.0,-51677.0,51.11,2.37,7857900000000.0
2023-11-02,2023-11,2023,036810,에프에스티,KOSDAQ,20939.0,96.48025216103922,33.80295143034529,2024-07-26,49.32,26317328723.0,downtrend,-36.31532974232057,-17.208422048734327,-37.871041045306065,-25820.0,27704.0,-33097.0,105597.0,,2.91,782600000000.0
2025-05-14,2025-05,2025,060370,LS마린솔루션,KOSDAQ,18694.0,96.05220926500482,54.59505723761635,2026-02-05,54.43,22836964280.0,new_high_120,13.567330408369905,37.81946264744429,-21.594668903490376,258511.0,284120.0,370524.0,654527.0,142.83,3.0,1925000000000.0
2023-01-03,2023-01,2023,122870,와이지엔터테인먼트,KOSDAQ,49500.0,95.95959595959596,34.14141414141414,2023-09-22,54.41,58252342500.0,box_breakout,4.00432900432901,-3.2225579053373643,-32.419127988748244,25232.0,71493.0,247172.0,75582.0,24.42,1.74,900900000000.0
2023-11-09,2023-11,2023,003530,한화투자증권,KOSPI,2725.0,95.59633027522936,29.17431192660551,2024-08-02,69.28,15393159850.0,mixed,-3.898635477582846,-9.872029250457038,-34.09090909090909,,,,,14.86,0.73,1482500000000.0
2023-11-09,2023-11,2023,003530,한화투자증권,KOSPI,2725.0,95.59633027522936,29.17431192660551,2024-08-02,69.45,15393159850.0,mixed,-3.898635477582846,-9.872029250457038,-34.09090909090909,,,,,14.86,0.73,1482500000000.0
2023-11-09,2023-11,2023,003530,한화투자증권,KOSPI,2725.0,95.59633027522936,29.17431192660551,2024-08-02,60.38,15393159850.0,mixed,-3.898635477582846,-9.872029250457038,-34.09090909090909,,,,,14.86,0.73,1482500000000.0
2023-11-09,2023-11,2023,003530,한화투자증권,KOSPI,2725.0,95.59633027522936,29.17431192660551,2024-08-02,71.76,15393159850.0,mixed,-3.898635477582846,-9.872029250457038,-34.09090909090909,,,,,14.86,0.73,1482500000000.0
2025-04-14,2025-04,2025,006260,LS,KOSPI,120300.0,95.34497090606817,68.7448046550291,2026-01-09,46.34,45869066700.0,mixed,12.992125984251967,-8.671439936356407,-38.77333333333334,-191142.0,177215.0,-451416.0,224137.0,51.0,2.94,16972800000000.0
