set,label,n,SW(200%+),SW%,100%+,100%+_%,50%+,50%+_%,평균peak,평균ret180,승률
Train,회피6,3323,211,6.349684020463436,641,19.289798374962384,1352,40.68612699368041,66.85968314808542,19.91632720635124,53.32530845621426
Train,회피6+v2,3048,203,6.66010498687664,619,20.308398950131235,1264,41.46981627296588,68.51261530956819,20.57945563967147,53.74015748031496
Train,회피6+v3_P9,1186,60,5.059021922428331,233,19.645868465430016,447,37.68971332209106,61.27379562398106,17.752780211565867,52.698145025295105
Train,회피6+v4_slope,1704,134,7.863849765258216,384,22.535211267605636,761,44.659624413145536,71.36754518311787,24.22613717058102,55.28169014084507
Test_OOS,회피6,1686,182,10.794780545670225,478,28.35112692763938,827,49.05100830367734,88.27641233526732,44.85313438939481,61.86239620403321
Test_OOS,회피6+v2,1546,178,11.51358344113842,456,29.49547218628719,764,49.417852522639066,90.81441220957511,46.710992463571316,60.93143596377749
Test_OOS,회피6+v3_P9,746,69,9.249329758713138,203,27.211796246648795,361,48.39142091152815,81.5360056941684,40.42334665153588,62.73458445040214
Test_OOS,회피6+v4_slope,929,110,11.840688912809473,280,30.139935414424112,468,50.3767491926803,95.07218324548309,51.02460478524758,61.14101184068891
