Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,외인소진율_num,loser_prob,RF_위험,모드,결과,결과(peak),수익률(180일),고점도달(peak),RF손절확률
2025-08-22,213420,덕산네오룩스,KOSDAQ,41250.0,2026-05-21,44450.0,7.757575757575763,38.909090909090914,51.17,12336843750.0,mixed,11.126961483594865,22.291993720565138,25.848142164781905,-16.41630901287554,2.9495660509835173,-16.41630901287554,-354722.0,476250.0,21.45,2.5,12.22,0.4072627383767312,0,주3건(전체),익절,일반,7.8,38.9,40.7
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,331.9973261287358,469.59028493440655,75.26,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18,12.38,0.34669515074407586,0,주3건(전체),익절,슈퍼위너,332.0,469.6,34.7
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,331.9973261287358,469.59028493440655,65.83,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18,12.38,0.3317133277901154,0,주3건(전체),익절,슈퍼위너,332.0,469.6,33.2
2025-08-13,064760,티씨케이,KOSDAQ,115200.0,2026-05-13,335000.0,190.79861111111111,194.27083333333334,58.62,12334464000.0,mixed,16.538882803943046,22.158438576349027,1.623686723973261,-6.50263620386643,2.5245258210004056,-14.338919925512105,-48422.0,164355.0,50.78,6.56,64.87,0.27433545170438545,0,주3건(전체),익절,100%+,190.8,194.3,27.4
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,54.97,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,20.76,0.47846575278828846,0,주3건(전체),익절,100%+,49.4,105.2,47.8
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,58.94,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,20.76,0.47902937908280185,0,주3건(전체),익절,100%+,49.4,105.2,47.9
2025-08-08,222800,심텍,KOSDAQ,27850.0,2026-05-08,115800.0,315.7989228007182,330.1615798922801,50.8,150352820250.0,persistent_uptrend,33.4841628959276,66.08022519352568,9.512761020881676,-23.62459546925566,4.982190365775353,-15.922330097087379,1030235.0,-9205.0,,8.25,15.17,0.3072148656430274,0,주3건(전체),익절,슈퍼위너,315.8,330.2,30.7
2025-08-08,240810,원익IPS,KOSDAQ,35850.0,2026-05-08,132900.0,270.7112970711297,298.88423988842396,52.57,87176946900.0,persistent_uptrend,38.730853391684896,23.58674463937622,-7.714701601164487,-16.248348745046236,6.5787087448816335,-10.085836909871249,251804.0,479485.0,71.09,6.1,17.34,0.37458522012433754,0,주3건(전체),익절,슈퍼위너,270.7,298.9,37.5
2025-08-04,089890,코세스,KOSDAQ,11140.0,2026-04-30,47400.0,325.4937163375224,346.14003590664277,48.72,6178945820.0,persistent_uptrend,42.46575342465753,45.45454545454546,-2.5304592314901564,-25.179856115107913,5.277342156777903,-17.002518891687657,71947.0,-175726.0,51.26,8.8,2.72,0.3995560336830858,0,주3건(전체),익절,슈퍼위너,325.5,346.1,40.0
2025-07-28,074600,원익QnC,KOSDAQ,19500.0,2026-04-23,36650.0,87.94871794871794,94.61538461538461,56.25,19132191000.0,mixed,0.16910935738443378,-11.592039800995025,-39.966216216216225,-51.04683195592287,1.50638192341333,-11.433260393873091,303003.0,-160091.0,42.74,1.96,10.85,0.49047795600995964,0,주3건(전체),익절,50%+,87.9,94.6,49.0
