Date,Code,Name,Market,Close,Amount,ret_180d,peak_180d,sell_date,sell_close
2020-04-17,007390,네이처셀,KOSDAQ,10900.0,191250985800.0,-11.192660550458712,29.8165137614679,2021-01-11,9680.0
2020-04-17,007390,네이처셀,KOSDAQ,10900.0,191250985800.0,-11.192660550458712,29.8165137614679,2021-01-11,9680.0
2020-04-17,007390,네이처셀,KOSDAQ,10900.0,191250985800.0,-11.192660550458712,29.8165137614679,2021-01-11,9680.0
2020-04-20,007390,네이처셀,KOSDAQ,12700.0,274972919700.0,-24.803149606299215,4.330708661417315,2021-01-12,9550.0
2020-04-21,052020,에스티큐브,KOSDAQ,9433.0,31633801325.0,-20.44948584755645,20.778119368175552,2021-01-13,7504.0
2020-05-04,196170,알테오젠,KOSDAQ,33097.0,277506628662.0,146.98311025168445,283.073994621869,2021-01-22,81744.0
2020-05-06,085660,차바이오텍,KOSDAQ,18232.0,118702225496.0,-0.2523036419482261,34.9330846862659,2021-01-25,18186.0
2020-05-07,196170,알테오젠,KOSDAQ,38382.0,195425484144.0,117.75571882653328,230.32671564796,2021-01-26,83579.0
2020-05-15,131290,티에스이,KOSDAQ,15800.0,11279146000.0,296.2025316455696,367.0886075949367,2021-02-03,62600.0
2020-05-15,131290,티에스이,KOSDAQ,15800.0,11279146000.0,296.2025316455696,367.0886075949367,2021-02-03,62600.0
2020-05-15,131290,티에스이,KOSDAQ,15800.0,11279146000.0,296.2025316455696,367.0886075949367,2021-02-03,62600.0
2020-05-18,131290,티에스이,KOSDAQ,17800.0,28075548400.0,248.87640449438203,314.6067415730337,2021-02-04,62100.0
2020-05-20,036810,에프에스티,KOSDAQ,11305.0,50520914500.0,178.26625386996903,243.05174701459532,2021-02-08,31458.0
2020-05-21,095340,ISC,KOSDAQ,15800.0,38003629400.0,44.93670886075949,83.54430379746836,2021-02-09,22900.0
2020-05-25,009520,포스코엠텍,KOSDAQ,4440.0,21738151200.0,11.711711711711704,43.46846846846846,2021-02-15,4960.0
2020-05-25,009520,포스코엠텍,KOSDAQ,4440.0,21738151200.0,11.711711711711704,43.46846846846846,2021-02-15,4960.0
2020-05-27,044490,태웅,KOSDAQ,6978.0,23358729396.0,73.40212095156204,143.39352249928345,2021-02-17,12100.0
2020-06-04,019210,와이지-원,KOSDAQ,5630.0,50118490830.0,9.058614564831258,29.662522202486684,2021-02-25,6140.0
2020-06-04,019210,와이지-원,KOSDAQ,5630.0,50118490830.0,9.058614564831258,29.662522202486684,2021-02-25,6140.0
2020-06-05,226950,올릭스,KOSDAQ,23071.0,7636754781.0,92.66611763686012,164.40119630705215,2021-02-26,44450.0
2020-06-16,121600,나노신소재,KOSDAQ,18450.0,27720387000.0,34.417344173441734,182.92682926829266,2021-03-10,24800.0
2020-06-16,121600,나노신소재,KOSDAQ,18450.0,27720387000.0,34.417344173441734,182.92682926829266,2021-03-10,24800.0
2020-06-16,121600,나노신소재,KOSDAQ,18450.0,27720387000.0,34.417344173441734,182.92682926829266,2021-03-10,24800.0
2020-06-23,065350,신성델타테크,KOSDAQ,4000.0,43306988000.0,119.24999999999999,245.00000000000003,2021-03-17,8770.0
2020-06-26,089970,브이엠,KOSDAQ,13100.0,41709365100.0,79.7709923664122,79.7709923664122,2021-03-22,23550.0
2020-06-26,089970,브이엠,KOSDAQ,13100.0,41709365100.0,79.7709923664122,79.7709923664122,2021-03-22,23550.0
2020-07-02,137400,피엔티,KOSDAQ,14000.0,109207294000.0,66.07142857142858,108.92857142857144,2021-03-26,23250.0
2020-07-02,137400,피엔티,KOSDAQ,14000.0,109207294000.0,66.07142857142858,108.92857142857144,2021-03-26,23250.0
2020-07-02,253450,스튜디오드래곤,KOSDAQ,89900.0,91539416400.0,3.8932146829810943,25.6952169076752,2021-03-26,93400.0
2020-07-06,241710,코스메카코리아,KOSDAQ,13000.0,12931685000.0,28.076923076923066,31.92307692307692,2021-03-30,16650.0
2020-07-10,037460,삼지전자,KOSDAQ,11350.0,21104496450.0,20.70484581497798,51.98237885462555,2021-04-05,13700.0
2020-07-10,037460,삼지전자,KOSDAQ,11350.0,21104496450.0,20.70484581497798,51.98237885462555,2021-04-05,13700.0
2020-07-16,241710,코스메카코리아,KOSDAQ,13750.0,10558308750.0,21.45454545454546,29.81818181818181,2021-04-09,16700.0
2020-07-17,232140,와이씨,KOSDAQ,4875.0,21129751500.0,40.92307692307693,64.1025641025641,2021-04-12,6870.0
2020-07-17,232140,와이씨,KOSDAQ,4875.0,21129751500.0,40.92307692307693,64.1025641025641,2021-04-12,6870.0
2020-07-22,044490,태웅,KOSDAQ,11396.0,124635351148.0,-3.474903474903479,49.03474903474903,2021-04-15,11000.0
2020-07-23,095610,테스,KOSDAQ,26050.0,155378429150.0,33.397312859884835,37.428023032629554,2021-04-16,34750.0
2020-07-23,095610,테스,KOSDAQ,26050.0,155378429150.0,33.397312859884835,37.428023032629554,2021-04-16,34750.0
2020-07-28,100790,미래에셋벤처투자,KOSDAQ,3632.0,12859194064.0,144.0803964757709,208.37004405286342,2021-04-21,8865.0
2020-07-29,084370,유진테크,KOSDAQ,32300.0,25998689900.0,59.13312693498452,67.18266253869969,2021-04-22,51400.0
2020-07-30,127120,제이에스링크,KOSDAQ,8135.0,39658344645.0,-33.98893669330055,300.5777504609712,2021-04-23,5370.0
2020-08-05,213420,덕산네오룩스,KOSDAQ,38950.0,31466147000.0,11.424903722721446,27.08600770218228,2021-04-29,43400.0
2020-08-05,213420,덕산네오룩스,KOSDAQ,38950.0,31466147000.0,11.424903722721446,27.08600770218228,2021-04-29,43400.0
2020-08-05,039030,이오테크닉스,KOSDAQ,120000.0,33024360000.0,-2.2499999999999964,13.583333333333325,2021-04-29,117300.0
2020-08-11,161580,필옵틱스,KOSDAQ,15850.0,83114911550.0,-23.02839116719243,11.041009463722396,2021-05-06,12200.0
2020-08-19,064760,티씨케이,KOSDAQ,109000.0,34104901000.0,53.30275229357797,127.33944954128442,2021-05-13,167100.0
2020-08-19,064760,티씨케이,KOSDAQ,109000.0,34104901000.0,53.30275229357797,127.33944954128442,2021-05-13,167100.0
2020-08-19,064760,티씨케이,KOSDAQ,109000.0,34104901000.0,53.30275229357797,127.33944954128442,2021-05-13,167100.0
2020-08-25,007390,네이처셀,KOSDAQ,11250.0,50786145000.0,26.222222222222214,63.99999999999999,2021-05-20,14200.0
2020-08-25,007390,네이처셀,KOSDAQ,11250.0,50786145000.0,26.222222222222214,63.99999999999999,2021-05-20,14200.0
2020-09-03,039200,오스코텍,KOSDAQ,32583.0,45548525109.0,15.11217506061444,111.84973759322348,2021-05-31,37507.0
2020-09-10,056190,에스에프에이,KOSDAQ,36250.0,59433252500.0,18.20689655172414,30.482758620689655,2021-06-07,42850.0
2020-09-11,140860,파크시스템스,KOSDAQ,67100.0,32063869200.0,111.3263785394933,139.49329359165424,2021-06-08,141800.0
2020-09-11,140860,파크시스템스,KOSDAQ,67100.0,32063869200.0,111.3263785394933,139.49329359165424,2021-06-08,141800.0
2020-09-14,080220,제주반도체,KOSDAQ,3300.0,7934190000.0,84.24242424242425,142.42424242424244,2021-06-09,6080.0
2020-09-18,043260,성호전자,KOSDAQ,940.0,10525509000.0,63.829787234042556,144.14893617021275,2021-06-15,1540.0
2020-09-18,043260,성호전자,KOSDAQ,940.0,10525509000.0,63.829787234042556,144.14893617021275,2021-06-15,1540.0
2020-09-23,078350,한양디지텍,KOSDAQ,5720.0,19247502560.0,25.874125874125873,30.069930069930063,2021-06-18,7200.0
2020-09-25,094170,동운아나텍,KOSDAQ,6169.0,28852314296.0,7.748419516939542,84.76252228886368,2021-06-22,6647.0
2020-09-25,094170,동운아나텍,KOSDAQ,6169.0,28852314296.0,7.748419516939542,84.76252228886368,2021-06-22,6647.0
2020-09-29,027360,아주IB투자,KOSDAQ,2375.0,273110911500.0,188.8421052631579,293.6842105263158,2021-06-24,6860.0
2020-09-29,027360,아주IB투자,KOSDAQ,2375.0,273110911500.0,188.8421052631579,293.6842105263158,2021-06-24,6860.0
2020-09-29,027360,아주IB투자,KOSDAQ,2375.0,273110911500.0,188.8421052631579,293.6842105263158,2021-06-24,6860.0
2020-10-08,058610,에스피지,KOSDAQ,7320.0,15749031240.0,59.836065573770504,91.25683060109289,2021-06-30,11700.0
2020-10-08,058610,에스피지,KOSDAQ,7320.0,15749031240.0,59.836065573770504,91.25683060109289,2021-06-30,11700.0
2020-10-08,058610,에스피지,KOSDAQ,7320.0,15749031240.0,59.836065573770504,91.25683060109289,2021-06-30,11700.0
2020-10-13,089010,켐트로닉스,KOSDAQ,18800.0,144629095600.0,31.382978723404253,81.38297872340425,2021-07-02,24700.0
2020-10-13,089010,켐트로닉스,KOSDAQ,18800.0,144629095600.0,31.382978723404253,81.38297872340425,2021-07-02,24700.0
2020-10-13,089010,켐트로닉스,KOSDAQ,18800.0,144629095600.0,31.382978723404253,81.38297872340425,2021-07-02,24700.0
2020-10-20,058610,에스피지,KOSDAQ,7780.0,10553943440.0,41.38817480719794,79.94858611825192,2021-07-09,11000.0
2020-10-20,058610,에스피지,KOSDAQ,7780.0,10553943440.0,41.38817480719794,79.94858611825192,2021-07-09,11000.0
2020-10-20,058610,에스피지,KOSDAQ,7780.0,10553943440.0,41.38817480719794,79.94858611825192,2021-07-09,11000.0
2020-10-28,112040,위메이드,KOSDAQ,20914.0,24130677770.0,47.580568040547,57.72688151477479,2021-07-19,30865.0
2020-10-28,052400,코나아이,KOSDAQ,28000.0,6452404000.0,54.28571428571429,77.49999999999999,2021-07-19,43200.0
2020-10-28,112040,위메이드,KOSDAQ,20914.0,24130677770.0,47.580568040547,57.72688151477479,2021-07-19,30865.0
2020-11-02,060370,LS마린솔루션,KOSDAQ,5160.0,14789488800.0,19.224806201550383,54.418604651162795,2021-07-22,6152.0
2020-11-04,094170,동운아나텍,KOSDAQ,8454.0,13764811254.0,-23.846699787083036,34.82375207002602,2021-07-26,6438.0
2020-11-04,094170,동운아나텍,KOSDAQ,8454.0,13764811254.0,-23.846699787083036,34.82375207002602,2021-07-26,6438.0
2020-11-09,033500,동성화인텍,KOSDAQ,10900.0,34888436600.0,14.220183486238525,33.02752293577982,2021-07-29,12450.0
2020-11-13,095610,테스,KOSDAQ,28500.0,35130496500.0,6.315789473684208,32.28070175438595,2021-08-04,30300.0
2020-11-20,030530,원익홀딩스,KOSDAQ,5370.0,42943261710.0,11.17318435754191,43.01675977653632,2021-08-11,5970.0
2020-11-20,030530,원익홀딩스,KOSDAQ,5370.0,42943261710.0,11.17318435754191,43.01675977653632,2021-08-11,5970.0
2020-11-20,030530,원익홀딩스,KOSDAQ,5370.0,42943261710.0,11.17318435754191,43.01675977653632,2021-08-11,5970.0
2020-11-23,100790,미래에셋벤처투자,KOSDAQ,4271.0,102672115102.0,89.72137672676187,162.23366892999297,2021-08-12,8103.0
2020-11-23,100790,미래에셋벤처투자,KOSDAQ,4271.0,102672115102.0,89.72137672676187,162.23366892999297,2021-08-12,8103.0
2020-11-23,100790,미래에셋벤처투자,KOSDAQ,4271.0,102672115102.0,89.72137672676187,162.23366892999297,2021-08-12,8103.0
2020-12-02,281740,레이크머티리얼즈,KOSDAQ,2500.0,23337072500.0,112.80000000000001,127.59999999999998,2021-08-24,5320.0
2020-12-03,189300,인텔리안테크,KOSDAQ,34290.0,13794626970.0,61.487314085739285,163.42373869932928,2021-08-25,55374.0
2020-12-03,189300,인텔리안테크,KOSDAQ,34290.0,13794626970.0,61.487314085739285,163.42373869932928,2021-08-25,55374.0
2020-12-08,036810,에프에스티,KOSDAQ,24773.0,35612401377.0,7.140838816453399,43.64832680741129,2021-08-30,26542.0
2020-12-10,095340,ISC,KOSDAQ,23300.0,51615511400.0,10.300429184549365,28.755364806866957,2021-09-01,25700.0
2020-12-10,095340,ISC,KOSDAQ,23300.0,51615511400.0,10.300429184549365,28.755364806866957,2021-09-01,25700.0
2020-12-16,094170,동운아나텍,KOSDAQ,9584.0,11475632416.0,-37.48956594323873,18.927378964941568,2021-09-07,5991.0
2020-12-24,094170,동운아나텍,KOSDAQ,10421.0,9867363533.0,-44.43911332885519,9.375299875251898,2021-09-15,5790.0
2020-12-24,052020,에스티큐브,KOSDAQ,7931.0,19782087094.0,-3.1647963686798675,26.301853486319505,2021-09-15,7680.0
2020-12-24,052020,에스티큐브,KOSDAQ,7931.0,19782087094.0,-3.1647963686798675,26.301853486319505,2021-09-15,7680.0
2020-12-30,067310,하나마이크론,KOSDAQ,7773.0,227562153675.0,62.12530554483469,88.9746558600283,2021-09-23,12602.0
2021-01-04,058610,에스피지,KOSDAQ,9400.0,17983008400.0,19.14893617021276,48.93617021276595,2021-09-24,11200.0
2021-01-04,058610,에스피지,KOSDAQ,9400.0,17983008400.0,19.14893617021276,48.93617021276595,2021-09-24,11200.0
2021-01-04,058610,에스피지,KOSDAQ,9400.0,17983008400.0,19.14893617021276,48.93617021276595,2021-09-24,11200.0
2021-01-13,009520,포스코엠텍,KOSDAQ,5110.0,34275253460.0,38.94324853228963,142.66144814090018,2021-10-06,7100.0
2021-01-18,189300,인텔리안테크,KOSDAQ,59324.0,121786595544.0,14.719169307531521,52.26215359719506,2021-10-12,68056.0
2021-01-18,189300,인텔리안테크,KOSDAQ,59324.0,121786595544.0,14.719169307531521,52.26215359719506,2021-10-12,68056.0
2021-01-18,189300,인텔리안테크,KOSDAQ,59324.0,121786595544.0,14.719169307531521,52.26215359719506,2021-10-12,68056.0
2021-01-25,108490,로보티즈,KOSDAQ,19281.0,114809871360.0,-35.1019138011514,4.548519267672835,2021-10-19,12513.0
2021-01-26,214150,클래시스,KOSDAQ,17500.0,28631610000.0,30.571428571428562,55.42857142857143,2021-10-20,22850.0
2021-01-26,214150,클래시스,KOSDAQ,17500.0,28631610000.0,30.571428571428562,55.42857142857143,2021-10-20,22850.0
2021-02-05,232140,와이씨,KOSDAQ,7370.0,296774224010.0,-27.00135685210312,7.327001356852114,2021-11-01,5380.0
2021-02-05,232140,와이씨,KOSDAQ,7370.0,296774224010.0,-27.00135685210312,7.327001356852114,2021-11-01,5380.0
2021-02-05,232140,와이씨,KOSDAQ,7370.0,296774224010.0,-27.00135685210312,7.327001356852114,2021-11-01,5380.0
2021-02-08,052400,코나아이,KOSDAQ,33400.0,20937959000.0,2.5449101796407136,48.80239520958083,2021-11-02,34250.0
