Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,StrongScore_v1,StrongScore_v2,SafeScore,SuperScore,ret_180d,peak_180d,sell_close
2026-05-21,2026,018880,한온시스템,KOSPI,4835.0,100922042875.0,0.7205311074901215,0.6303712537125428,0.6271137535529738,0.6428126891293848,0.5022732679719145,2.7297174206483232,3.9836919945129234,-0.5986272080478292,4.693944735041642,4.446742502585321,6.101344364012418,5050.0
2026-05-19,2026,032500,케이엠더블유,KOSDAQ,31950.0,41089904550.0,0.6623306293672667,0.6229822767020524,0.7075563923119402,0.7738828067679813,0.47511504810634697,2.678791599254125,3.8398289482333383,-0.12025323468383231,4.247731053140932,13.928012519561817,20.500782472613466,36400.0
2026-05-19,2026,088350,한화생명,KOSPI,5800.0,144208798800.0,0.719485723651709,0.722671014124511,0.6324528343120427,0.6999055847604364,0.5393925661742014,2.796131394105534,4.0570457822970045,-0.6646988270380914,4.4978944056460834,-3.4482758620689613,0.5172413793103514,5600.0
2026-05-18,2026,088350,한화생명,KOSPI,5670.0,110089360710.0,0.7145641478043195,0.7130258624650452,0.6344000948145524,0.6928795450031907,0.5340919940246387,2.7794473438758014,4.030996576692324,-0.6503007853022598,4.475181507920002,-1.2345679012345734,8.64197530864197,5600.0
2026-05-18,2026,001740,SK네트웍스,KOSPI,8250.0,369495060000.0,0.8459486577181351,0.7837342822007588,0.6915845251869704,0.6346552101150983,0.5076535098436007,3.3897249019553124,4.965835848648361,-0.5773726038008364,5.921219027963348,1.8181818181818077,6.545454545454543,8400.0
2026-05-15,2026,031330,에스에이엠티,KOSDAQ,14300.0,93563412800.0,0.8235194771155653,0.8163135340540073,0.7935369663387051,0.8220143950115676,0.49822215242501583,3.4921213939163795,5.049094962749499,-0.05354500576323895,5.7440840090305745,9.020979020979025,30.000000000000004,15590.0
2026-05-15,2026,001740,SK네트웍스,KOSPI,8720.0,617942573280.0,0.8065711844197818,0.7624579986538718,0.7399141831428862,0.6720561095192285,0.4657348760911498,3.3718449822007397,4.90048147427609,-0.24464797827440599,5.737037463742069,-3.669724770642202,18.807339449541296,8400.0
2026-05-14,2026,001740,SK네트웍스,KOSPI,7900.0,125884611900.0,0.847786714681682,0.7904249965729695,0.7388611508436039,0.6692608910331971,0.5335618680208759,3.4007350537063523,4.957959113335326,-0.5904264071943812,5.81005780671244,6.329113924050622,31.139240506329124,8400.0
2026-05-14,2026,031330,에스에이엠티,KOSDAQ,11000.0,37436080000.0,0.853767888888775,0.8458154560125573,0.8266885676824566,0.8433393400797816,0.43923215056658277,3.7782511172344515,5.469462472451698,0.31720649500910625,6.341518136054837,41.72727272727273,69.0,15590.0
2026-05-11,2026,031330,에스에이엠티,KOSDAQ,9090.0,16845033510.0,0.7780941049728226,0.8237813433734651,0.8034470901438884,0.8333728753376426,0.349312205457324,3.674777009207906,5.29354368538296,0.7236318135325535,6.034380022441606,71.5071507150715,104.51045104510453,15590.0
2026-05-08,2026,031330,에스에이엠티,KOSDAQ,8560.0,18951343520.0,0.7879009347211724,0.8011788261215316,0.7811557621288413,0.8277724818052822,0.3734135108403075,3.5997997837940403,5.202777555456843,0.569633171537868,6.011941793010187,82.12616822429905,117.17289719626169,15590.0
2026-05-08,2026,003530,한화투자증권,KOSPI,8550.0,61615746000.0,0.827703682176357,0.7769189144240843,0.7210010909541427,0.7333678465020813,0.3951108166602994,3.5792688757987423,5.228024880703199,0.21218270065680844,6.301482738462073,-19.1812865497076,3.5087719298245723,6910.0
2026-05-07,2026,003530,한화투자증권,KOSPI,8490.0,80769020700.0,0.8074950101657615,0.7819945173879171,0.720542789629697,0.7522640490895149,0.40656665503199574,3.5028862861448657,5.102306910138351,0.19223761264874817,6.042116826497637,-18.610129564193166,4.240282685512375,6910.0
2026-05-06,2026,031330,에스에이엠티,KOSDAQ,7900.0,16565028100.0,0.8262307557803564,0.8134565878721397,0.8036279700362523,0.8042550934039256,0.3602205947484336,3.7820639296886647,5.481033140437013,0.6110351831019356,6.461204584061397,97.34177215189874,135.31645569620255,15590.0
2026-05-06,2026,003530,한화투자증권,KOSPI,9370.0,356545618990.0,0.8315251259474227,0.7893970765057139,0.7681973880070577,0.7292136642711362,0.4351405359233888,3.576587308761119,5.199195562985432,0.050922036932386394,6.1395485798572835,-26.254002134471722,-1.1739594450373536,6910.0
2026-04-30,2026,032500,케이엠더블유,KOSDAQ,29750.0,11138905750.0,0.6407226790576144,0.6448959767571897,0.7457206043431067,0.799789685352127,0.4309214281849403,2.773389750281854,3.946361668590737,0.19069283412265925,4.252619649651442,22.352941176470598,29.41176470588236,36400.0
2026-04-29,2026,060370,LS마린솔루션,KOSDAQ,37800.0,45624675600.0,0.6793218080713647,0.7188065475717532,0.7109543392885604,0.7166400046533802,0.4819913392493108,2.8631469063616626,4.099202457040958,-0.26572234765123337,4.383261384467093,-2.5132275132275117,36.50793650793651,36850.0
2026-04-29,2026,417200,LS머트리얼즈,KOSDAQ,31250.0,613002718750.0,0.7365509665465113,0.7398412521082794,0.7804526772777362,0.7960010300927011,0.5096152906245834,3.0806368738305223,4.414044142353101,-0.17562171565977858,4.817433212342197,-24.319999999999997,3.3600000000000074,23650.0
2026-04-27,2026,060370,LS마린솔루션,KOSDAQ,39150.0,26844841800.0,0.6827745904659763,0.7563080797792837,0.7649536834426861,0.7673007910957809,0.4542638772510407,3.039211820007459,4.328651163578012,0.02823587937904426,4.55642651840456,-5.874840357598976,31.800766283524908,36850.0
