Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,past_240,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2025-08-22,213420,덕산네오룩스,KOSDAQ,41250.0,2026-05-21,44450.0,7.8,38.9,익절,일반,40.7,0,51.17,12336843750.0,mixed,11.126961483594865,22.291993720565138,25.848142164781905,-16.41630901287554,2.9495660509835173,-16.41630901287554,-354722.0,476250.0,21.45,2.5,주3건
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,332.0,469.6,익절,슈퍼위너,34.7,0,75.26,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18,주3건
2025-08-18,126340,비나텍,KOSDAQ,35903.0,2026-05-15,155100.0,332.0,469.6,익절,슈퍼위너,33.2,0,65.83,17201809457.0,sideways,7.757888658673284,17.447800977343398,-11.159339120694478,-21.191872019077906,0.09855543915007614,-17.069833965549407,144122.0,66681.0,,14.18,주3건
2025-08-13,064760,티씨케이,KOSDAQ,115200.0,2026-05-13,335000.0,190.8,194.3,익절,100%+,27.4,0,58.62,12334464000.0,mixed,16.538882803943046,22.158438576349027,1.623686723973261,-6.50263620386643,2.5245258210004056,-14.338919925512105,-48422.0,164355.0,50.78,6.56,주3건
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,익절,100%+,47.8,0,54.97,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,주3건
2025-08-12,023160,태광,KOSDAQ,25000.0,2026-05-12,37350.0,49.4,105.2,익절,100%+,47.9,0,58.94,69517775000.0,mixed,20.670995670995662,7.469879518072298,54.32525951557095,-11.683168316831683,2.078524990598067,-16.805251641137854,790510.0,198537.0,16.04,1.6,주3건
2025-08-08,222800,심텍,KOSDAQ,27850.0,2026-05-08,115800.0,315.8,330.2,익절,슈퍼위너,30.7,0,50.8,150352820250.0,persistent_uptrend,33.4841628959276,66.08022519352568,9.512761020881676,-23.62459546925566,4.982190365775353,-15.922330097087379,1030235.0,-9205.0,,8.25,주3건
2025-08-08,240810,원익IPS,KOSDAQ,35850.0,2026-05-08,132900.0,270.7,298.9,익절,슈퍼위너,37.5,0,52.57,87176946900.0,persistent_uptrend,38.730853391684896,23.58674463937622,-7.714701601164487,-16.248348745046236,6.5787087448816335,-10.085836909871249,251804.0,479485.0,71.09,6.1,주3건
2025-08-04,089890,코세스,KOSDAQ,11140.0,2026-04-30,47400.0,325.5,346.1,익절,슈퍼위너,40.0,0,48.72,6178945820.0,persistent_uptrend,42.46575342465753,45.45454545454546,-2.5304592314901564,-25.179856115107913,5.277342156777903,-17.002518891687657,71947.0,-175726.0,51.26,8.8,주3건
2025-07-28,074600,원익QnC,KOSDAQ,19500.0,2026-04-23,36650.0,87.9,94.6,익절,50%+,49.0,0,56.25,19132191000.0,mixed,0.16910935738443378,-11.592039800995025,-39.966216216216225,-51.04683195592287,1.50638192341333,-11.433260393873091,303003.0,-160091.0,42.74,1.96,주3건
2025-07-28,074600,원익QnC,KOSDAQ,19500.0,2026-04-23,36650.0,87.9,94.6,익절,50%+,49.0,0,62.01,19132191000.0,mixed,0.16910935738443378,-11.592039800995025,-39.966216216216225,-51.04683195592287,1.50638192341333,-11.433260393873091,303003.0,-160091.0,42.74,1.96,주3건
2025-07-28,074600,원익QnC,KOSDAQ,19500.0,2026-04-23,36650.0,87.9,94.6,익절,50%+,49.0,0,64.87,19132191000.0,mixed,0.16910935738443378,-11.592039800995025,-39.966216216216225,-51.04683195592287,1.50638192341333,-11.433260393873091,303003.0,-160091.0,42.74,1.96,주3건
2025-07-23,089890,코세스,KOSDAQ,9500.0,2026-04-20,34900.0,267.4,284.2,익절,슈퍼위너,41.8,0,62.02,14710161000.0,mixed,11.246612466124661,8.168642951251638,-36.50425367362722,-49.132589838909546,1.782040534909219,-17.002518891687657,102365.0,-176177.0,51.26,8.8,주3건
2025-07-23,089890,코세스,KOSDAQ,9500.0,2026-04-20,34900.0,267.4,284.2,익절,슈퍼위너,41.7,0,59.41,14710161000.0,mixed,11.246612466124661,8.168642951251638,-36.50425367362722,-49.132589838909546,1.782040534909219,-17.002518891687657,102365.0,-176177.0,51.26,8.8,주3건
2025-07-21,030530,원익홀딩스,KOSDAQ,6350.0,2026-04-16,30750.0,384.3,696.9,익절,슈퍼위너,41.0,0,53.68,30515159950.0,persistent_uptrend,43.55828220858895,112.34119782214158,74.62686567164178,-5.339805825242716,6.139552855825421,-15.334420880913536,,,79.01,2.14,주3건
