Date,Code,Name,Market,Close,sell_date,sell_close,ret_180d,peak_180d,결과,peak등급,RF손절확률,RF위험,Score,Amount,chart_pattern,past_60,past_120,pos_252_high,slope60,drawdown60,For_20d,Inst_20d,PER_num,PBR_num,매수모드
2026-05-22,053800,안랩,KOSDAQ,64400.0,,,,,미정,미정,41.9,0,46.45,6129785200.0,mixed,-1.8292682926829285,6.976744186046502,-14.133333333333331,0.03065695214240616,-14.133333333333331,90679.0,-110191.0,12.81,1.58,주3건_RF안전
2026-05-22,204270,제이앤티씨,KOSDAQ,21400.0,,,,,미정,미정,42.8,0,50.06,6563444200.0,mixed,-9.513742071881603,6.733167082294256,-28.903654485049834,0.19110833403794633,-14.741035856573703,75868.0,-381793.0,,4.93,주3건_RF안전
2026-05-21,204270,제이앤티씨,KOSDAQ,20450.0,2026-05-22,21400.0,4.6,8.1,익절,일반,44.8,0,40.75,6913040700.0,mixed,-16.188524590163933,13.674263479710946,-32.059800664451835,0.11743422939484599,-18.525896414342625,-14258.0,-410212.0,,4.93,주3건_RF안전
2026-05-14,204270,제이앤티씨,KOSDAQ,20100.0,2026-05-22,21400.0,6.5,10.0,익절,일반,47.2,0,41.51,4535946900.0,mixed,-9.865470852017932,-9.459459459459463,-33.22259136212624,-0.09408435136264419,-19.920318725099605,-115419.0,-236421.0,,4.93,주3건_RF안전
2026-05-14,052400,코나아이,KOSDAQ,61400.0,2026-05-22,59900.0,-2.4,18.1,중립,일반,52.2,0,49.23,8383556000.0,mixed,-0.1626016260162566,33.769063180827885,-28.604651162790695,-0.1809502989569238,-15.310344827586208,-2039.0,-21473.0,9.81,3.25,주3건_RF안전
2026-05-13,399720,가온칩스,KOSDAQ,69500.0,2026-05-22,61700.0,-11.2,-1.4,중립,일반,51.4,0,57.01,12237560000.0,mixed,3.268945022288272,47.2457627118644,-16.466346153846157,0.1263788496767963,-16.466346153846157,43743.0,160336.0,,13.09,주3건_RF안전
2026-05-08,052400,코나아이,KOSDAQ,59500.0,2026-05-22,59900.0,0.7,21.8,익절,일반,51.0,0,40.0,10146059000.0,mixed,7.594936708860756,31.34657836644592,-30.813953488372093,-0.1780647845077896,-17.931034482758623,25546.0,-60608.0,9.81,3.25,주3건_RF안전
2026-05-08,204270,제이앤티씨,KOSDAQ,20750.0,2026-05-22,21400.0,3.1,15.4,익절,일반,45.1,0,42.95,6481158750.0,mixed,-3.488372093023251,-15.82150101419878,-31.06312292358804,-0.28659639861890235,-17.33067729083665,-155763.0,-219326.0,,4.93,주3건_RF안전
2026-05-07,053800,안랩,KOSDAQ,64700.0,2026-05-22,64400.0,-0.5,2.6,중립,일반,38.2,0,43.23,5178652700.0,mixed,2.698412698412689,8.193979933110374,-16.40826873385013,0.00979730424446318,-13.73333333333333,22936.0,-80638.0,12.81,1.58,주3건_RF안전
2026-04-29,053800,안랩,KOSDAQ,65000.0,2026-05-22,64400.0,-0.9,2.2,중립,일반,38.6,0,45.64,2026115000.0,mixed,-2.4024024024024038,6.209150326797386,-21.02065613608749,-0.009731975746222728,-13.33333333333333,-10797.0,-61022.0,12.81,1.58,주3건_RF안전
2026-04-27,092190,서울바이오시스,KOSDAQ,5960.0,2026-05-22,14630.0,145.5,223.3,익절,슈퍼위너,34.8,0,49.66,8111780520.0,mixed,115.94202898550722,159.13043478260872,0.0,0.6280882685047346,0.0,,,,8.5,주3건_RF안전
2026-04-22,122640,예스티,KOSDAQ,26650.0,2026-05-22,30100.0,12.9,17.6,익절,일반,42.0,0,40.33,5233793500.0,mixed,45.469432314410476,41.83076104310803,-12.046204620462042,0.3036735357837735,-12.046204620462042,34724.0,863824.0,684.09,4.62,주3건_RF안전
2026-04-20,046890,서울반도체,KOSDAQ,10520.0,2026-05-22,15080.0,43.3,80.2,익절,50%+,43.3,0,47.18,4128079560.0,mixed,79.21635434412266,61.34969325153374,-29.443326626425215,0.7717694507571861,-29.443326626425215,-311363.0,-316063.0,,1.37,주3건_RF안전
2026-04-20,092190,서울바이오시스,KOSDAQ,4710.0,2026-05-22,14630.0,210.6,309.1,익절,슈퍼위너,43.1,0,43.17,2387560230.0,mixed,87.27634194831013,98.3157894736842,-11.13207547169811,0.5801984003075461,-11.13207547169811,,,,8.5,주3건_RF안전
2026-04-17,046890,서울반도체,KOSDAQ,10480.0,2026-05-22,15080.0,43.9,80.9,익절,50%+,42.7,0,40.33,5276638080.0,mixed,78.2312925170068,63.49453978159125,-29.711602951039573,0.8121628683638076,-29.711602951039573,-226050.0,-316575.0,,1.37,주3건_RF안전
2026-04-15,089010,켐트로닉스,KOSDAQ,31000.0,2026-05-22,39250.0,26.6,57.7,익절,50%+,49.7,0,42.56,4602074000.0,mixed,-1.4308426073131986,-2.0537124802527673,-31.718061674008812,-0.37868704844135587,-17.112299465240643,86131.0,-4290.0,64.24,2.8,주3건_RF안전
2026-04-15,092190,서울바이오시스,KOSDAQ,4200.0,2026-05-22,14630.0,248.3,358.8,익절,슈퍼위너,39.4,0,41.98,1869113400.0,mixed,67.33067729083666,76.47058823529412,-20.75471698113207,0.5708331483029208,-20.75471698113207,,,,8.5,주3건_RF안전
2026-04-10,046890,서울반도체,KOSDAQ,10880.0,2026-05-22,15080.0,38.6,74.3,익절,50%+,38.3,0,43.52,10927393280.0,mixed,79.83471074380166,63.1184407796102,-27.028839704896047,0.9556306468258021,-27.028839704896047,-1046690.0,-573314.0,,1.37,주3건_RF안전
2026-04-09,014620,성광벤드,KOSDAQ,38750.0,2026-05-22,36250.0,-6.5,37.5,중립,일반,39.5,0,40.98,7401133750.0,mixed,30.47138047138047,19.23076923076923,-7.738095238095233,0.3893789220288327,-7.738095238095233,-196486.0,529241.0,28.82,1.75,주3건_RF안전
2026-04-08,399720,가온칩스,KOSDAQ,64800.0,2026-05-22,61700.0,-4.8,28.4,중립,일반,47.6,0,48.85,5683932000.0,mixed,5.537459283387625,13.286713286713292,-16.92307692307692,-0.05877651357385334,-16.92307692307692,-81609.0,41380.0,,13.09,주3건_RF안전
2026-04-01,009520,포스코엠텍,KOSDAQ,18000.0,2026-05-22,17890.0,-0.6,28.3,중립,일반,46.5,0,44.94,4118634000.0,mixed,17.647058823529417,36.98630136986301,-16.083916083916083,0.05504660837325119,-16.083916083916083,-1735.0,-143565.0,168.77,6.52,주3건_RF안전
2026-04-01,092190,서울바이오시스,KOSDAQ,3450.0,2026-05-22,14630.0,324.1,458.6,익절,슈퍼위너,44.4,0,42.65,184067850.0,mixed,28.971962616822424,44.95798319327731,-34.905660377358494,0.7899665520436536,-34.905660377358494,,,,8.5,주3건_RF안전
2026-04-01,121600,나노신소재,KOSDAQ,66100.0,2026-05-22,72600.0,9.8,44.2,익절,일반,43.8,0,45.98,5863598800.0,mixed,38.42931937172776,45.91611479028697,-14.155844155844155,0.37378658057632086,-14.155844155844155,40169.0,-195821.0,541.79,3.5,주3건_RF안전
2026-03-25,014620,성광벤드,KOSDAQ,35350.0,2026-05-22,36250.0,2.5,50.8,익절,50%+,38.4,0,44.97,8458512650.0,mixed,29.96323529411764,10.989010989010994,-14.199029126213592,0.5330900586629467,-14.199029126213592,-332559.0,15003.0,28.82,1.75,주3건_RF안전
2026-03-25,083450,GST,KOSDAQ,29700.0,2026-05-22,59000.0,98.7,138.4,익절,100%+,47.8,0,40.27,7366223700.0,mixed,1.3651877133105783,29.694323144104807,-12.77533039647577,0.13756607383894798,-12.77533039647577,-144544.0,-212851.0,19.79,3.42,주3건_RF안전
2026-03-25,053800,안랩,KOSDAQ,62600.0,2026-05-22,64400.0,2.9,19.8,익절,일반,43.7,0,40.92,2103234800.0,mixed,-1.5723270440251569,1.2944983818770295,-46.35818337617823,0.05668036507660701,-8.879184861717615,7328.0,-20591.0,12.81,1.58,주3건_RF안전
2026-03-18,036830,솔브레인홀딩스,KOSDAQ,55000.0,2026-05-22,55500.0,0.9,46.9,익절,일반,47.6,0,42.58,3169980000.0,mixed,40.8450704225352,22.494432071269486,-17.78774289985052,0.8378567945742352,-17.78774289985052,254940.0,401367.0,2.39,0.64,주3건_RF안전
2026-03-18,086450,동국제약,KOSDAQ,18310.0,2026-05-22,22300.0,21.8,70.7,익절,50%+,48.5,0,41.87,4124565530.0,mixed,-0.05458515283842669,-7.525252525252524,-18.622222222222216,0.218976553254873,-18.622222222222216,-349668.0,127079.0,13.53,1.48,주3건_RF안전
2026-03-17,102940,코오롱생명과학,KOSDAQ,61000.0,2026-05-22,54400.0,-10.8,13.3,중립,일반,47.8,0,42.74,4484659000.0,mixed,12.962962962962955,74.28571428571429,-16.093535075653364,0.4677985409388378,-16.093535075653364,-99424.0,39917.0,27.19,1.2,주3건_RF안전
2026-03-13,086450,동국제약,KOSDAQ,18400.0,2026-05-22,22300.0,21.2,69.8,익절,50%+,49.2,0,40.46,3987059200.0,mixed,-2.748414376321351,-6.835443037974686,-18.222222222222218,0.21060162363084695,-18.222222222222218,-217594.0,146117.0,13.53,1.48,주3건_RF안전
2026-03-12,092190,서울바이오시스,KOSDAQ,4120.0,2026-05-22,14630.0,255.1,367.7,익절,슈퍼위너,45.8,0,41.1,672256280.0,mixed,57.8544061302682,43.55400696864111,-22.26415094339622,0.9107897671681362,-22.26415094339622,,,,8.5,주3건_RF안전
2026-03-10,122640,예스티,KOSDAQ,23400.0,2026-05-22,30100.0,28.6,34.0,익절,일반,39.0,0,47.59,4785885000.0,mixed,26.898047722342746,28.57142857142858,-8.055009823182713,0.5922019466330857,-8.055009823182713,7217.0,410600.0,684.09,4.62,주3건_RF안전
2026-03-06,092190,서울바이오시스,KOSDAQ,4045.0,2026-05-22,14630.0,261.7,376.4,익절,슈퍼위너,47.1,0,40.33,887816825.0,mixed,63.43434343434345,41.92982456140351,-23.67924528301887,0.7863392173396994,-23.67924528301887,,,,8.5,주3건_RF안전
2026-03-05,052020,에스티큐브,KOSDAQ,8770.0,2026-05-22,15790.0,80.0,156.6,익절,100%+,45.2,0,41.94,4808573460.0,mixed,19.972640218878258,12.29193341869399,-11.324570273003031,0.27064958883447593,-7.489451476793252,,,,14.87,주3건_RF안전
2026-03-03,033790,피노,KOSDAQ,5910.0,2026-05-22,12500.0,111.5,224.0,익절,슈퍼위너,34.3,0,45.02,4193942850.0,mixed,11.720226843100189,44.32234432234432,-34.840132304299885,0.006464170978514228,-18.257261410788384,,,,8.64,주3건_RF안전
2026-02-27,033790,피노,KOSDAQ,5990.0,2026-05-22,12500.0,108.7,219.7,익절,슈퍼위너,34.8,0,48.37,1684268200.0,mixed,34.00447427293065,47.53694581280787,-33.95810363836824,0.03457113588622813,-17.150760719225445,,,,8.64,주3건_RF안전
2026-02-23,092190,서울바이오시스,KOSDAQ,3145.0,2026-05-22,14630.0,365.2,512.7,익절,슈퍼위너,46.7,0,40.83,496004240.0,mixed,24.063116370808668,7.521367521367517,-23.665048543689316,0.3282031140646839,-15.570469798657715,,,,8.5,주3건_RF안전
