Date,Code,Name,Market,Score,Close,preset,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,valid,vol_ratio,candle_pct,cum_5d_gain,upper_wick_ratio,rs_ratio,longterm_ma_breakouts,ma3,ma5,ma10,is_first_pullback,pullback_quality,cup_and_handle_detected,inverse_hns_detected,gap_support_detected,peak_180d,ret_180d,sell_date,sell_close,Amount,past_60,past_120,past_240,slope60,slope120,pos_252_high,drawdown60,new_high_252,vol20,vol60,range60_pct,range120_pct,days_since_52w_low,days_since_52w_high,pos_60_high,pos_120_high,pos_240_high,past_5d,past_20,runup60,For_5d,For_20d,Inst_5d,Inst_20d,PER_num,PBR_num,외인소진율_num,pre_5d_max_high_ratio,pre_5d_min_low_ratio,pre_5d_vol_trend,pre_10d_max_high_ratio,pre_10d_drawdown,pre_20d_vol_ratio,gap_up_count_5d,long_red_count_5d,long_red_in_10d,consecutive_red_max,Year,is_loser,is_sw,is_100,is_50,RF확률,RF위험,bucket,year,필터,모드
2023-10-23,001080,만호제강,KOSPI,44.31,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,18,28.7,50,70,True,0.0,0.0,0.0,0.0,0.907,,4500.0,4500.0,4500.0,True,진짜 지지,False,False,True,0.0,0.0,2024-07-16,4500.0,0.0,31.540485238234428,-20.74674181049665,26.440011239112103,0.31782109841261397,0.31782109841261397,-30.651872399445214,-25.974666886000985,0,3.4464293586699024,5.8629170877109855,85.16600670118794,85.16600670118794,371,145,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.628373769852869,10.513495079411475,31.540485238234428,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4841668274321566,0,2023-10-23,2023,회피X,daily_1
2023-07-19,323350,다원넥스뷰,KOSDAQ,51.69,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,20.2,75,70,True,0.0,0.0,0.0,0.0,0.838,MA120,10080.0,10080.0,10032.0,True,진짜 지지,True,False,True,54.761904761904766,28.968253968253975,2024-04-15,13000.0,0.0,5.000000000000004,-10.63829787234043,-19.23076923076923,0.04031279935613686,0.04031279935613686,-27.586206896551722,-2.3255813953488413,0,3.2040310512408943,2.6326199052457846,16.847826086956523,16.847826086956523,14,365,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.416666666666667,1.666666666666668,5.000000000000004,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.4600093037018005,0,2023-07-19,2023,회피X,daily_1
2023-07-12,323350,다원넥스뷰,KOSDAQ,53.6,10080.0,pullback,40.0,0.0,0.0,100,0.0,43.5,80,0.0,30,22.7,50,100,True,0.0,0.0,14.13,0.0,0.859,MA120,10080.0,9984.0,9667.2,True,진짜 지지,True,False,True,54.761904761904766,24.007936507936513,2024-04-05,12500.0,0.0,2.4390243902439046,-16.000000000000004,-25.0,0.007208856029692387,0.007208856029692387,-27.586206896551722,-6.666666666666665,0,3.338250362300997,2.7104270307915352,22.282608695652172,22.282608695652172,7,366,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.2032520325203254,0.8130081300813016,2.4390243902439046,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.4849660290248538,0,2023-07-12,2023,회피X,daily_1
2023-06-20,003465,유화증권우,KOSPI,43.43,2540.0,pullback,40.0,0.0,0.0,100,51.0,100.0,0,0.0,33,21.8,50,85,True,0.0,0.0,0.0,0.0,0.851,,2535.0,2534.0,2521.5,False,진짜 지지,True,False,True,0.19685039370078705,-9.4488188976378,2024-03-14,2300.0,0.0,6.054279749478075,2.4193548387096753,5.833333333333335,0.10774425703592705,0.10774425703592705,-8.960573476702505,-1.3592233009708687,0,1.2202970851398596,1.451112777574351,11.956521739130435,11.956521739130435,88,302,-8.960573476702505,-8.960573476702505,-8.960573476702505,0.5045233124565063,2.018093249826025,6.054279749478075,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.21006704966857265,0,2023-06-20,2023,회피X,daily_1
2023-07-14,323350,다원넥스뷰,KOSDAQ,48.02,10080.0,pullback,40.0,0.0,0.0,75,0.0,90.2,80,0.0,30,20.2,50,70,True,0.0,0.0,2.44,0.0,0.838,MA120,10080.0,10080.0,9787.2,True,진짜 지지,True,False,True,54.761904761904766,23.809523809523814,2024-04-09,12480.0,0.0,2.4390243902439046,-2.3255813953488413,-22.22222222222222,0.021950673684042025,0.021950673684042025,-27.586206896551722,-6.666666666666665,0,3.2979151493387335,2.6715557408169524,22.282608695652172,22.282608695652172,9,368,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.2032520325203254,0.8130081300813016,2.4390243902439046,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.4686615769864384,0,2023-07-14,2023,회피X,daily_1
2023-01-04,323350,다원넥스뷰,KOSDAQ,46.3,12240.0,pullback,0.0,0.0,0.0,100,0.0,75.0,40,64.0,30,21.7,100,65,True,0.0,0.0,6.25,0.0,0.85,MA120,12240.0,12192.0,11799.6,False,보통 조정,False,False,True,27.450980392156854,2.941176470588225,2023-09-25,12600.0,0.0,2.822580645161299,-1.9230769230769273,-32.628797886393656,0.004052334273020433,0.004052334273020433,-37.80487804878049,-11.304347826086957,0,4.991749964238592,3.7236029299945814,36.904761904761905,36.904761904761905,78,372,-37.80487804878049,-37.80487804878049,-37.80487804878049,0.23521505376344157,0.9408602150537663,2.822580645161299,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.47648896798773577,0,2023-01-04,2023,회피X,daily_1
2023-07-26,323350,다원넥스뷰,KOSDAQ,56.69,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,23.9,100,100,True,0.0,0.0,0.0,0.0,0.868,MA120,10080.0,10080.0,10080.0,True,진짜 지지,True,False,True,62.698412698412696,48.71031746031746,2024-04-22,14990.0,0.0,7.416879795396425,-4.545454545454541,-19.23076923076923,0.05522239162374993,0.05522239162374993,-27.586206896551722,-2.3255813953488413,0,3.1288752192141347,2.572590069037445,16.847826086956523,16.847826086956523,21,370,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.6180733162830354,2.4722932651321416,7.416879795396425,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.456271698548112,0,2023-07-26,2023,회피X,daily_1
2023-07-18,323350,다원넥스뷰,KOSDAQ,48.39,10080.0,pullback,40.0,0.0,0.0,75,0.0,100.0,80,0.0,30,17.7,50,70,True,0.0,0.0,0.0,0.0,0.818,MA120,10080.0,10080.0,9907.2,True,진짜 지지,True,False,True,54.761904761904766,23.809523809523814,2024-04-12,12480.0,0.0,5.000000000000004,-10.63829787234043,-22.22222222222222,0.03583145363839546,0.03583145363839546,-27.586206896551722,-2.3255813953488413,0,3.254416708654847,2.6326199052457846,16.847826086956523,16.847826086956523,13,364,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.416666666666667,1.666666666666668,5.000000000000004,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.45698463860458993,0,2023-07-18,2023,회피X,daily_1
2023-10-12,001080,만호제강,KOSPI,41.58,4500.0,pullback,0.0,0.0,0.0,75,0.0,100.0,80,0.0,0,21.4,25,70,True,0.0,0.0,0.0,0.0,0.848,,4500.0,4500.0,4490.9,False,진짜 지지,False,False,False,0.0,0.0,2024-07-05,4500.0,0.0,29.0137614678899,-12.672229769066568,44.6480231436837,0.40357932185753115,0.40357932185753115,-30.651872399445214,-25.974666886000985,0,3.8308012271837963,5.952779440991555,85.16600670118794,85.16600670118794,366,134,-30.651872399445214,-30.651872399445214,-30.651872399445214,2.4178134556574915,9.671253822629966,29.0137614678899,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,0,0.4853390985477617,0,2023-10-12,2023,회피X,daily_1
2023-07-20,323350,다원넥스뷰,KOSDAQ,56.55,10080.0,pullback,40.0,0.0,0.0,75,37.4,100.0,80,0.0,30,20.2,100,100,True,0.0,0.0,0.0,0.0,0.838,MA120,10080.0,10080.0,10056.0,True,진짜 지지,True,False,True,54.761904761904766,28.869047619047628,2024-04-16,12990.0,0.0,2.4390243902439046,-4.977375565610864,-19.23076923076923,0.04451236111561193,0.04451236111561193,-27.586206896551722,-2.3255813953488413,0,3.2040310512408943,2.6326199052457846,16.847826086956523,16.847826086956523,15,366,-27.586206896551722,-27.586206896551722,-27.586206896551722,0.2032520325203254,0.8130081300813016,2.4390243902439046,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,2023,0,0,0,1,0.4479358605190096,0,2023-07-20,2023,회피X,daily_1
