Date,Code,Name,Market,Close,Amount,Score,chart_pattern,past_60,past_120,pos_252_high,slope60,drawdown60,peak_180d,ret_180d,sell_date,sell_close,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,시총_num,Year,YYYYMM
2024-12-03,138930,BNK금융지주,KOSPI,11880.0,43388943840.0,65.23,new_high_240,7.48031496062993,33.987730061349694,0.0,0.6172042696510226,-11.35241855873642,35.1010101010101,22.72727272727273,2025-09-01,14580.0,2460790.0,752728.0,3676398.0,1488629.0,6.8,0.5,5421400000000.0,2024,2024-12
2024-12-03,138930,BNK금융지주,KOSPI,11880.0,43388943840.0,52.1,new_high_240,7.48031496062993,33.987730061349694,0.0,0.6172042696510226,-11.35241855873642,35.1010101010101,22.72727272727273,2025-09-01,14580.0,2460790.0,752728.0,3676398.0,1488629.0,6.8,0.5,5421400000000.0,2024,2024-12
2023-12-15,028300,HLB,KOSDAQ,43550.0,283133661850.0,55.9,new_high_240,26.60406885758999,33.998078643124515,0.0,2.0457680194211254,-11.682242990654201,196.21125143513206,96.78530424799081,2024-09-10,85700.0,2239252.0,628025.0,3227129.0,490484.0,,16.11,6779800000000.0,2023,2023-12
2023-12-15,028300,HLB,KOSDAQ,43550.0,283133661850.0,54.02,new_high_240,26.60406885758999,33.998078643124515,0.0,2.0457680194211254,-11.682242990654201,196.21125143513206,96.78530424799081,2024-09-10,85700.0,2239252.0,628025.0,3227129.0,490484.0,,16.11,6779800000000.0,2023,2023-12
2023-02-08,007660,이수페타시스,KOSPI,8324.0,148239776956.0,57.22,new_high_120,40.21982116244411,9.787047841306883,-9.683225341972646,2.4051593565995573,-16.019648233243544,405.87457952907255,179.22873618452667,2023-11-02,23243.0,953094.0,313608.0,2643577.0,120667.0,53.16,12.25,9256900000000.0,2023,2023-02
2023-02-08,007660,이수페타시스,KOSPI,8324.0,148239776956.0,60.27,new_high_120,40.21982116244411,9.787047841306883,-9.683225341972646,2.4051593565995573,-16.019648233243544,405.87457952907255,179.22873618452667,2023-11-02,23243.0,953094.0,313608.0,2643577.0,120667.0,53.16,12.25,9256900000000.0,2023,2023-02
2023-02-08,007660,이수페타시스,KOSPI,8324.0,148239776956.0,58.09,new_high_120,40.21982116244411,9.787047841306883,-9.683225341972646,2.4051593565995573,-16.019648233243544,405.87457952907255,179.22873618452667,2023-11-02,23243.0,953094.0,313608.0,2643577.0,120667.0,53.16,12.25,9256900000000.0,2023,2023-02
2023-02-08,007660,이수페타시스,KOSPI,8324.0,148239776956.0,51.77,new_high_120,40.21982116244411,9.787047841306883,-9.683225341972646,2.4051593565995573,-16.019648233243544,405.87457952907255,179.22873618452667,2023-11-02,23243.0,953094.0,313608.0,2643577.0,120667.0,53.16,12.25,9256900000000.0,2023,2023-02
2025-08-18,077970,STX엔진,KOSPI,38600.0,246197632200.0,57.99,new_high_240,42.63261296660117,25.38860103626943,0.0,1.220166751593231,-22.28682170542635,75.38860103626943,18.78238341968912,2026-05-15,45850.0,2728623.0,-456979.0,2576483.0,389204.0,26.95,5.83,2001400000000.0,2025,2025-08
2024-11-11,030200,KT,KOSPI,44400.0,119306618400.0,53.42,mixed,8.73015873015872,14.804469273743015,-7.328072153325815,2.2735205760607493,-7.328072153325815,33.33333333333333,22.297297297297302,2025-08-07,54300.0,24961.0,280916.0,2562831.0,-273660.0,8.12,0.76,14062800000000.0,2024,2024-11
2024-11-11,030200,KT,KOSPI,44400.0,119306618400.0,55.03,mixed,8.73015873015872,14.804469273743015,-7.328072153325815,2.2735205760607493,-7.328072153325815,33.33333333333333,22.297297297297302,2025-08-07,54300.0,24961.0,280916.0,2562831.0,-273660.0,8.12,0.76,14062800000000.0,2024,2024-11
2021-11-26,137310,에스디바이오센서,KOSPI,58000.0,239075246000.0,45.08,V_recovery,3.515625,,-17.31669266770671,1.6101191004869018,-22.443181818181824,39.6551724137931,-36.89655172413793,2022-08-19,36600.0,253339.0,422623.0,2527842.0,425565.0,,0.42,1004600000000.0,2021,2021-11
2021-11-26,137310,에스디바이오센서,KOSPI,58000.0,239075246000.0,52.09,V_recovery,3.515625,,-17.31669266770671,1.6101191004869018,-22.443181818181824,39.6551724137931,-36.89655172413793,2022-08-19,36600.0,253339.0,422623.0,2527842.0,425565.0,,0.42,1004600000000.0,2021,2021-11
2021-11-26,137310,에스디바이오센서,KOSPI,58000.0,239075246000.0,52.89,V_recovery,3.515625,,-17.31669266770671,1.6101191004869018,-22.443181818181824,39.6551724137931,-36.89655172413793,2022-08-19,36600.0,253339.0,422623.0,2527842.0,425565.0,,0.42,1004600000000.0,2021,2021-11
2021-11-26,137310,에스디바이오센서,KOSPI,58000.0,239075246000.0,52.34,V_recovery,3.515625,,-17.31669266770671,1.6101191004869018,-22.443181818181824,39.6551724137931,-36.89655172413793,2022-08-19,36600.0,253339.0,422623.0,2527842.0,425565.0,,0.42,1004600000000.0,2021,2021-11
2022-10-26,033780,KT&G,KOSPI,92800.0,79026067200.0,45.73,new_high_240,8.75912408759123,8.75912408759123,0.0,1.6442605922607203,-1.8248175182481785,7.758620689655182,-11.637931034482762,2023-07-17,82000.0,754136.0,146126.0,2482745.0,-297747.0,18.51,2.1,19516400000000.0,2022,2022-10
2023-01-06,105560,KB금융,KOSPI,56700.0,166454530200.0,46.51,new_high_120,20.98765432098766,18.984547461368663,-18.085106382978722,2.1768554304555554,-11.028037383177569,7.054673721340388,-2.4691358024691357,2023-09-27,55300.0,1661668.0,560470.0,2466152.0,254343.0,10.58,0.97,59656100000000.0,2023,2023-01
