Date,Code,Name,Market,Close,sell_close,sell_date,return_pct,peak_180d,ret_180d,Score,Amount,chart_pattern
2020-04-06,237690,에스티팜,KOSDAQ,39200.0,93500.0,2020-12-28,138.5204081632653,202.55102040816325,138.5204081632653,42.31,55111044800.0,mixed
2020-04-07,196170,알테오젠,KOSDAQ,25366.0,98537.0,2020-12-29,288.4609319561618,399.8265394622723,288.4609319561618,45.27,98402780388.0,mixed
2020-04-10,253450,스튜디오드래곤,KOSDAQ,77500.0,100400.0,2021-01-05,29.548387096774185,30.838709677419352,29.548387096774185,47.42,90424520000.0,pullback_recovery
2020-04-14,032500,케이엠더블유,KOSDAQ,61100.0,80600.0,2021-01-07,31.914893617021267,46.48117839607202,31.914893617021267,54.55,117595198500.0,V_recovery
2020-04-16,253450,스튜디오드래곤,KOSDAQ,84800.0,99800.0,2021-01-08,17.688679245283012,20.99056603773586,17.688679245283012,54.04,124423732800.0,pullback_recovery
2020-04-16,101490,에스앤에스텍,KOSDAQ,18300.0,42550.0,2021-01-08,132.51366120218577,191.8032786885246,132.51366120218577,49.55,18674912100.0,V_recovery
2020-04-20,007390,네이처셀,KOSDAQ,12700.0,9550.0,2021-01-12,-24.803149606299215,4.330708661417315,-24.803149606299215,57.43,274972919700.0,new_high_240
2020-04-21,052020,에스티큐브,KOSDAQ,9433.0,7504.0,2021-01-13,-20.44948584755645,20.778119368175552,-20.44948584755645,50.34,31633801325.0,V_recovery
2020-04-27,225570,넥슨게임즈,KOSDAQ,8290.0,13550.0,2021-01-19,63.44993968636912,97.82870928829917,63.44993968636912,59.04,21659390770.0,V_recovery
2020-04-27,225570,넥슨게임즈,KOSDAQ,8290.0,13550.0,2021-01-19,63.44993968636912,97.82870928829917,63.44993968636912,52.7,21659390770.0,V_recovery
2020-04-27,225570,넥슨게임즈,KOSDAQ,8290.0,13550.0,2021-01-19,63.44993968636912,97.82870928829917,63.44993968636912,57.35,21659390770.0,V_recovery
2020-05-06,085660,차바이오텍,KOSDAQ,18232.0,18186.0,2021-01-25,-0.2523036419482261,34.9330846862659,-0.2523036419482261,51.29,118702225496.0,V_recovery
2020-05-08,032190,다우데이타,KOSDAQ,11700.0,14700.0,2021-01-27,25.64102564102564,51.7094017094017,25.64102564102564,47.22,129839849100.0,new_high_240
2020-05-08,032190,다우데이타,KOSDAQ,11700.0,14700.0,2021-01-27,25.64102564102564,51.7094017094017,25.64102564102564,50.42,129839849100.0,new_high_240
2020-05-15,131290,티에스이,KOSDAQ,15800.0,62600.0,2021-02-03,296.2025316455696,367.0886075949367,296.2025316455696,61.55,11279146000.0,V_recovery
2020-05-15,131290,티에스이,KOSDAQ,15800.0,62600.0,2021-02-03,296.2025316455696,367.0886075949367,296.2025316455696,59.54,11279146000.0,V_recovery
