Date,Code,Name,Market,Close,ChangeRatio,Amount,Score,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,valid,vol_ratio,candle_pct,cum_5d_gain,upper_wick_ratio,rs_ratio,longterm_ma_breakouts,ma3,ma5,ma10,is_first_pullback,pullback_quality,cup_and_handle_detected,inverse_hns_detected,gap_support_detected,Rank,sell_date,sell_price,return_pct,hold_days,YearMonth,ret_d1_open,ret_d1_high,ret_d1_low,ret_d1_close,ret_20d,ret_30d,ret_60d,ret_90d,ret_120d,ret_180d,ret_240d,ret_365d,TradeType,past_5d,reason,similar_stock,similar_pct,preset,pos_60_high,pos_120_high,pos_240_high,pos_252_high,pos_252_low,new_high_60,new_high_120,new_high_240,new_high_252,near_52w_low,past_20,past_60,past_120,past_240,slope60,slope120,range60_pct,range120_pct,drawdown60,runup60,vol20,vol60,vol_trend,chart_pattern,days_since_52w_low,days_since_52w_high,peak_180d,sell_close,For_5d,Inst_5d,For_20d,Inst_20d,PER_num,PBR_num,EPS_num,BPS_num,시총_num,외인소진율_num,52주 최고_num,52주 최저_num,is_sw,is_w100,is_w50,bucket,is_loser,pre_5d_max_high_ratio,pre_5d_min_low_ratio,pre_5d_vol_trend,pre_10d_max_high_ratio,pre_10d_drawdown,pre_20d_vol_ratio,gap_up_count_5d,long_red_count_5d,long_red_in_10d,consecutive_red_max,_leaf,loser_prob,prob_decile
2020-04-06,237690,에스티팜,KOSDAQ,39200.0,15.29,55111044800.0,42.31,30.0,46.9,81.8,75,74.3,0.0,0,54.5,0,34.5,0,65,True,2.81,11.36,28.95,0.05,0.955,,35166.67,33890.0,31115.0,False,보통 조정,False,False,False,3,2020-12-28,39200.0,0.0,1,2020-04,0.0,9.948979591836734,-5.229591836734694,4.081632653061225,-4.846938775510204,-9.438775510204081,8.035714285714286,50.76530612244898,81.88775510204081,138.5204081632653,113.5204081632653,153.0612244897959,돌파매매,28.95,대금551억 · 당일+15%,,0.0,default,-6.206896551724139,-6.206896551724139,-6.206896551724139,-6.206896551724139,48.47161572052401,0,0,0,0,0,-6.206896551724139,24.542124542124544,,,0.7096105768419465,0.6986723647653483,58.29694323144105,58.29694323144105,-36.827586206896555,48.47161572052401,7.68320106150227,5.854895501894738,1.1957154394164287,mixed,14,20,202.55102040816325,93500.0,-14762.0,92324.0,-91764.0,172178.0,51.55,4.87,2706.0,28666.0,2909800000000.0,12.56,172100.0,74100.0,1,True,1,2020-14,0,0.9502551020408163,0.7117346938775511,0.020742044431207262,0.9502551020408163,5.23489932885906,1.1243178004198982,1,2,1,3,12,0.3769946773856207,5
2020-04-07,196170,알테오젠,KOSDAQ,25366.0,9.49,98402780388.0,45.27,0.0,19.7,66.0,75,0.0,55.1,80,0.0,0,18.7,0,85,True,1.18,8.19,11.22,0.19,0.825,,23632.0,22907.0,22025.2,True,진짜 지지,False,False,False,3,2020-12-29,25364.0,-0.01,1,2020-04,-0.007884569896712134,1.0880706457462745,-2.4166206733422695,-1.0959552156429866,84.64480012615311,122.8021761412915,200.43365134431917,265.00827879839153,295.261373492076,288.4609319561618,197.9263581171647,140.70803437672475,눌림목매매,11.22,대금984억 · 첫눌림,,0.0,pullback,-18.494283201407214,-18.494283201407214,-18.494283201407214,-18.494283201407214,41.423513612501516,0,0,0,0,0,-7.138562667842397,29.952883105227723,,,2.3421648592342095,3.125028213810041,73.51361250152605,73.51361250152605,-42.36763412489006,67.54096428150417,7.716175406222547,6.262570261188573,0.48098268450825965,mixed,12,32,399.8265394622723,98537.0,5977.0,12072.0,152801.0,231185.0,138.44,44.14,2633.0,8257.0,19532200000000.0,14.07,569000.0,318500.0,1,True,1,2020-14,0,0.9352676811479934,0.8288654103918631,-0.16159849568806756,0.9352676811479934,6.921261170123081,1.1257936559337323,1,2,3,3,12,0.47496933684910303,7
2020-04-10,253450,스튜디오드래곤,KOSDAQ,77500.0,4.31,90424520000.0,47.42,0.0,44.4,38.9,50,0.0,100.0,80,100.0,0,30.3,0,70,True,2.66,3.89,-4.08,0.31,0.92,,75566.67,76640.0,77840.0,True,가짜 눌림,True,False,False,1,2021-01-05,78600.0,1.42,3,2020-04,1.4193548387096775,2.3225806451612905,-2.7096774193548385,-2.5806451612903225,-1.032258064516129,-0.7741935483870968,17.67741935483871,6.580645161290323,8.774193548387096,29.548387096774185,28.774193548387096,17.032258064516128,눌림목매매,-4.08,대금904억 · 첫눌림 · 컵앤핸들,,0.0,pullback,-14.499424626006906,-14.59770114942529,-14.59770114942529,-14.59770114942529,7.52532561505066,0,0,0,0,1,6.599713055954082,-13.805104408352664,,,-2.545036534310553,-1.9985785711957669,25.759768451519538,25.904486251808972,-20.483314154200226,18.37916063675833,4.301055268945569,3.203105972675097,4.55677880253442,pullback_recovery,15,61,30.838709677419352,100400.0,362194.0,425066.0,481284.0,615437.0,81.49,1.05,343.0,26623.0,840100000000.0,8.83,57000.0,26800.0,0,False,0,2020-14,0,1.064516129032258,0.952258064516129,0.09242874779244563,1.064516129032258,-6.0606060606060606,1.3619210764549705,0,4,1,3,11,0.5110292626557791,7
2020-04-14,032500,케이엠더블유,KOSDAQ,61100.0,4.44,117595198500.0,54.55,0.0,13.4,30.4,100,34.3,81.5,80,15.8,0,78.3,0,100,True,0.8,3.04,4.62,0.5,1.157,,60233.33,60500.0,58810.0,True,보통 조정,True,True,False,1,2021-01-07,60600.0,-0.82,2,2020-04,-0.8183306055646482,6.219312602291326,-1.309328968903437,5.237315875613748,-5.564648117839607,-2.127659574468085,4.909983633387888,16.53027823240589,26.02291325695581,31.914893617021267,0.4909983633387889,-37.39770867430442,눌림목매매,4.62,대금1176억 · 첫눌림 · 컵앤핸들,,0.0,pullback,-4.878048780487809,-4.878048780487809,-4.878048780487809,-4.878048780487809,40.794223826714806,0,0,0,0,0,40.794223826714806,3.9076376554174175,,,-0.9273714721946318,-1.216066493085439,48.014440433213,48.014440433213,-31.322314049586776,48.01444043321299,3.7848053541065485,3.9545062376595217,0.9532540220519992,V_recovery,20,2,46.48117839607202,80600.0,257774.0,240351.0,943321.0,152970.0,,10.84,-651.0,3358.0,1534400000000.0,6.69,39550.0,8270.0,0,False,0,2020-15,0,1.0261865793780687,0.9247135842880524,-0.1869517340617634,1.0261865793780687,-2.5518341307814993,1.229327733011088,1,3,1,2,12,0.5051829963466608,7
2020-04-16,253450,스튜디오드래곤,KOSDAQ,84800.0,9.0,124423732800.0,54.04,0.0,45.6,61.7,75,22.2,47.1,80,75.4,0,33.6,0,100,True,2.73,7.34,13.22,0.0,0.947,,79366.67,77980.0,78390.0,True,보통 조정,True,False,False,2,2021-01-08,85700.0,1.06,1,2020-04,1.0613207547169812,1.8867924528301887,-2.7122641509433962,0.2358490566037736,-9.90566037735849,-7.900943396226415,6.25,-4.481132075471698,2.8301886792452833,17.688679245283012,25.707547169811324,8.84433962264151,눌림목매매,13.22,대금1244억 · 첫눌림 · 컵앤핸들,,0.0,pullback,-10.057803468208093,-10.574712643678163,-10.574712643678163,-10.574712643678163,12.590448625180905,0,0,0,0,1,6.57534246575342,-8.25471698113207,,,-2.2649234374493834,-1.8768903331684819,25.180897250361795,25.904486251808972,-20.115606936416185,18.37916063675833,4.415171673482867,3.280454900207218,1.5033812160072888,pullback_recovery,18,64,20.99056603773586,99800.0,-313090.0,334195.0,561004.0,692722.0,81.49,1.05,343.0,26623.0,840100000000.0,8.83,57000.0,26800.0,0,False,0,2020-15,0,0.9351415094339622,0.8667452830188679,0.05399458805488064,0.972877358490566,2.7878787878787876,1.3472773683360677,1,4,1,3,11,0.4567192056123751,7
2020-04-16,101490,에스앤에스텍,KOSDAQ,18300.0,6.71,18674912100.0,49.55,0.0,11.4,66.4,75,0.0,86.4,80,0.0,0,67.2,0,100,True,0.68,8.28,3.39,0.11,1.116,,17300.0,17440.0,17160.0,True,보통 조정,True,False,False,3,2021-01-08,18800.0,2.73,1,2020-04,2.73224043715847,4.098360655737705,0.0,1.366120218579235,55.19125683060109,51.91256830601093,131.69398907103823,143.71584699453553,117.21311475409837,132.51366120218577,88.25136612021858,83.60655737704919,눌림목매매,3.39,대금187억 · 첫눌림 · 컵앤핸들,,0.0,pullback,-14.249999999999996,-14.249999999999996,-14.249999999999996,-14.249999999999996,34.50980392156864,0,0,0,0,0,26.568265682656822,11.003236245954696,,,-2.0707843857134076,0.43265008952947487,55.03875968992248,56.86274509803921,-35.5,38.759689922480625,4.796009330876692,5.125190431992112,0.4384603622181414,V_recovery,71,34,191.8032786885246,42550.0,94048.0,-60437.0,-141109.0,214645.0,29.18,5.45,2718.0,14549.0,1691900000000.0,11.07,109600.0,31800.0,0,True,1,2020-15,0,0.9890710382513661,0.8961748633879781,0.021669183492078244,0.9890710382513661,1.1049723756906076,0.9885598649661174,2,2,3,2,12,0.40983550034952543,6
2020-04-20,007390,네이처셀,KOSDAQ,12700.0,16.51,274972919700.0,57.43,30.0,79.2,67.7,100,77.2,0.0,0,90.9,0,100.0,0,100,True,5.92,8.55,48.19,1.45,1.448,,10980.0,10084.0,9536.0,False,보통 조정,True,False,False,2,2021-01-12,12350.0,-2.76,1,2020-04,-2.7559055118110236,1.574803149606299,-11.41732283464567,-1.968503937007874,-19.291338582677163,-20.866141732283463,-25.196850393700785,-14.960629921259844,-24.409448818897637,-24.803149606299215,-19.68503937007874,38.188976377952756,돌파매매,48.19,대금2750억 · 당일+17% · 막판매수,,0.0,default,0.0,0.0,0.0,0.0,84.4331641285956,1,1,1,1,0,62.68656716417911,70.5790297339593,,,4.1720273016892495,4.46166287994476,84.4331641285956,84.4331641285956,-34.8,84.4331641285956,5.294383627779617,6.593219717475724,1.8213065886624753,new_high_240,54,0,4.330708661417315,9550.0,-99425.0,-45935.0,621477.0,-238007.0,,23.01,-44.0,978.0,1449800000000.0,8.74,39350.0,13000.0,0,False,0,2020-16,1,0.9330708661417323,0.658267716535433,0.5971012974974279,0.9330708661417323,7.172995780590717,1.0749279304723394,2,2,3,3,8,0.46873141708567445,7
2020-04-21,052020,에스티큐브,KOSDAQ,9433.0,7.62,31633801325.0,50.34,0.0,56.4,55.6,75,0.0,71.6,80,0.0,0,100.0,0,70,True,3.64,6.12,7.11,0.77,1.254,,8945.67,8789.8,8739.9,False,진짜 지지,True,False,False,2,2021-01-13,9224.0,-2.22,1,2020-04,-2.215625993851373,2.215625993851373,-3.986006572670412,-2.6502703275734127,-5.3111417364571185,2.215625993851373,-7.96141206403053,-20.184458814799108,-28.06106222834729,-20.44948584755645,-11.50217322166861,-22.47429237782254,눌림목매매,7.11,대금316억 · 컵앤핸들,,0.0,pullback,-23.08029837648091,-23.08029837648091,-23.08029837648091,-23.08029837648091,45.236122618061316,0,0,0,0,0,28.199502705865154,-5.406863803151307,,,-1.152241899767955,-1.409103065062025,88.8152444076222,88.8152444076222,-47.03817463799912,50.07456503728251,5.9123213316474725,7.099638563770491,0.5367167677265541,V_recovery,21,32,20.778119368175552,7504.0,,,,,,14.87,-321.0,1062.0,1073500000000.0,4.44,22500.0,6130.0,0,False,0,2020-16,1,0.9998939891868971,0.884766246157108,-0.06424165231175022,0.9998939891868971,0.010602205258693808,0.9049249476262555,0,2,1,3,5,0.54778032268867,8
2020-04-27,225570,넥슨게임즈,KOSDAQ,8290.0,15.78,21659390770.0,59.04,30.0,100.0,100.0,75,48.4,33.6,0,100.0,0,78.0,0,100,True,16.89,15.78,16.6,0.49,1.156,,7556.67,7356.0,7088.0,True,보통 조정,True,False,False,1,2021-01-19,8160.0,-1.57,1,2020-04,-1.5681544028950543,8.202653799758746,-4.8250904704463204,-2.7744270205066344,-13.268998793727382,-7.961399276236429,4.8250904704463204,7.35826296743064,-5.910735826296743,63.44993968636912,70.68757539203861,77.3220747889023,돌파매매,16.6,대금217억 · 당일+16% · 막판매수,,0.0,default,-8.789808917197451,-8.789808917197451,-8.789808917197451,-8.789808917197451,33.33333333333333,0,0,0,0,0,10.153846153846157,-1.5130674002751032,,,-3.0516880806009787,-2.128483714851079,46.18249534450652,46.18249534450652,-31.592356687898093,34.45065176908753,3.8913042515814853,3.8411905923082648,1.2585380558063735,V_recovery,23,57,97.82870928829917,13550.0,-62887.0,14173.0,20854.0,15117.0,,3.04,-1265.0,3757.0,751500000000.0,2.95,18880.0,10260.0,0,False,1,2020-17,0,0.9083232810615199,0.7828709288299156,-0.21192150034778884,0.9083232810615199,10.092961487383798,1.0709821712918475,1,3,0,2,7,0.2605603430317603,1
2020-04-27,225570,넥슨게임즈,KOSDAQ,8290.0,15.78,21659390770.0,52.7,30.0,100.0,100.0,75,48.4,33.6,0,100.0,0,78.0,0,100,True,16.89,15.78,16.6,0.49,1.156,,7556.67,7356.0,7088.0,True,보통 조정,True,False,False,3,2021-01-19,8160.0,-1.57,1,2020-04,-1.5681544028950543,8.202653799758746,-4.8250904704463204,-2.7744270205066344,-13.268998793727382,-7.961399276236429,4.8250904704463204,7.35826296743064,-5.910735826296743,63.44993968636912,70.68757539203861,77.3220747889023,돌파매매,16.6,대금217억 · 당일+16% · 막판매수,,0.0,box_breakout,-8.789808917197451,-8.789808917197451,-8.789808917197451,-8.789808917197451,33.33333333333333,0,0,0,0,0,10.153846153846157,-1.5130674002751032,,,-3.0516880806009787,-2.128483714851079,46.18249534450652,46.18249534450652,-31.592356687898093,34.45065176908753,3.8913042515814853,3.8411905923082648,1.2585380558063735,V_recovery,23,57,97.82870928829917,13550.0,-62887.0,14173.0,20854.0,15117.0,,3.04,-1265.0,3757.0,751500000000.0,2.95,18880.0,10260.0,0,False,1,2020-17,0,0.9083232810615199,0.7828709288299156,-0.21192150034778884,0.9083232810615199,10.092961487383798,1.0709821712918475,1,3,0,2,7,0.26174637318621913,2
