rule,n,winner_rate,loser_rate,winner_lift,loser_lift,mean_ret,median_ret
is_first_pullback AND chart=box_breakout AND pos252_far,93,0.3763440860215054,0.24731182795698925,2.206923135535864,1.3916731182795699,45.193334547466094,18.0327868852459
KOSPI AND chart=V_recovery AND pos252_top10,134,0.3656716417910448,0.09701492537313433,2.1443387481102203,0.5459223880597015,38.45382208606594,18.966743414077612
is_first_pullback AND chart=persistent_uptrend AND rs<=0.95,96,0.3645833333333333,0.0625,2.1379567875503684,0.3517,42.64734259526144,20.235388053257168
is_first_pullback AND new_high_60 AND pos252_far,118,0.3644067796610169,0.2457627118644068,2.1369214573869058,1.38295593220339,42.76111465614856,14.482631384745137
KOSPI AND chart=V_recovery AND slope60>=1,125,0.36,0.232,2.111079616506878,1.3055104000000002,26.200460705848897,11.702127659574469
s3>=70 AND chart=box_breakout AND pos252_far,103,0.3592233009708738,0.27184466019417475,2.1065249679275753,1.5297242718446602,41.206084231833835,13.165680473372781
is_first_pullback AND past_60>=30 AND rs<=0.95,103,0.3592233009708738,0.05825242718446602,2.1065249679275753,0.3277980582524272,41.93245244715271,20.259879797199744
s5>=70 AND cup_and_handle_detected AND gap_support_detected,104,0.3557692307692308,0.028846153846153848,2.0862699201590407,0.16232307692307693,25.08776001088896,15.243353318675613
s3>=90 AND s10>=90 AND is_first_pullback,132,0.3484848484848485,0.20454545454545456,2.043553500827365,1.151018181818182,41.00943473197897,7.751937984496124
s4>=75 AND chart=V_recovery AND past_120>=50,101,0.3465346534653465,0.297029702970297,2.032117342622132,1.6714455445544554,31.52883600100361,18.037518037518037
chart=V_recovery AND past_120>=50,101,0.3465346534653465,0.297029702970297,2.032117342622132,1.6714455445544554,31.52883600100361,18.037518037518037
is_first_pullback AND gap_support_detected AND slope60>=1,81,0.345679012345679,0.13580246913580246,2.0270997689366452,0.7641876543209877,23.079069018246717,7.1724137931034475
s3>=90 AND KOSDAQ AND chart=box_breakout,82,0.34146341463414637,0.1951219512195122,2.0023790400471744,1.0979902439024392,63.12469483050796,-1.0889292196007259
inverse_hns_detected AND new_high_60 AND pos252_top10,88,0.3409090909090909,0.10227272727272728,1.9991284247224221,0.575509090909091,37.96882986132842,8.52988707165109
s3>=90 AND chart=V_recovery AND pos252_top10,94,0.3404255319148936,0.11702127659574468,1.9962927815667877,0.6585021276595745,46.22241959418583,16.17711042873733
s5>=70 AND s8>=70 AND gap_support_detected,107,0.3364485981308411,0.04672897196261682,1.9729716042120353,0.2629532710280374,21.957956344920646,9.060334970067936
s3>=90 AND KOSDAQ AND chart=new_high_120,106,0.330188679245283,0.24528301886792453,1.9362627509890127,1.3802566037735848,31.174302208853153,-6.924979389942291
chart=V_recovery AND slope60>=1 AND pos252_top10,91,0.32967032967032966,0.1978021978021978,1.9332230920392655,1.1130725274725275,35.38716452147555,13.627992633517497
s8>=90 AND chart=V_recovery AND pos252_top10,137,0.3284671532846715,0.12408759124087591,1.9261675333091952,0.6982656934306569,34.230554798982794,13.039796782387809
s3>=70 AND chart=V_recovery AND pos252_top10,171,0.32748538011695905,0.14035087719298245,1.920410307413664,0.7897824561403508,40.115608121439806,14.316702819956618
chart=V_recovery AND pos252_top10,252,0.3253968253968254,0.1388888888888889,1.9081627926980158,0.7815555555555556,37.130249319091725,14.037905557340185
s4>=75 AND chart=V_recovery AND pos252_top10,252,0.3253968253968254,0.1388888888888889,1.9081627926980158,0.7815555555555556,37.130249319091725,14.037905557340185
s10>=70 AND chart=V_recovery AND pos252_top10,166,0.3253012048192771,0.18072289156626506,1.9076020631086246,1.0169638554216867,39.55678093682596,13.627992633517497
cup_and_handle_detected AND chart=V_recovery AND slope60>=1,200,0.325,0.24,1.9058357649020428,1.350528,27.081857550485882,5.194914777521516
s2>=70 AND s5>=70 AND gap_support_detected,105,0.3238095238095238,0.02857142857142857,1.8988546815141232,0.16077714285714287,22.1033295319981,6.875104746652763
s3>=70 AND new_high_252 AND KOSDAQ,331,0.32326283987915405,0.20241691842900303,1.8956488667861358,1.1390404833836858,38.9182142819454,17.591125198098258
s10>=90 AND KOSDAQ AND chart=V_recovery,124,0.3225806451612903,0.1935483870967742,1.8916484018878834,1.0891354838709677,48.519948274210144,29.18809251551712
s2>=70 AND chart=V_recovery AND pos252_top10,186,0.3225806451612903,0.10752688172043011,1.8916484018878834,0.6050752688172043,37.797098296711745,14.177304188648401
s3>=70 AND new_high_240 AND KOSDAQ,332,0.32228915662650603,0.20180722891566266,1.8899390810428043,1.135609638554217,38.77738887478436,16.242371109687426
s3>=70 AND KOSDAQ AND chart=new_high_240,332,0.32228915662650603,0.20180722891566266,1.8899390810428043,1.135609638554217,38.77738887478436,16.242371109687426
