Date,Year,Code,Name,Market,Close,Amount,p_sw,p_100plus,p_50plus,p_10plus,p_loss,ret_180d,peak_180d,sell_close,sell_date
2026-05-21,2026,018880,한온시스템,KOSPI,4835.0,100922042875.0,0.7205311074901215,0.6303712537125428,0.6271137535529738,0.6428126891293848,0.5022732679719145,4.446742502585321,6.101344364012418,5050.0,2026-05-22
2026-05-20,2026,003230,삼양식품,KOSPI,1357000.0,66475359000.0,0.4862731035150096,0.526393838703675,0.49111910794173297,0.5018429968597583,0.6109972155455189,-3.095062638172441,2.8002947678702927,1315000.0,2026-05-22
2026-05-19,2026,088350,한화생명,KOSPI,5800.0,144208798800.0,0.719485723651709,0.722671014124511,0.6324528343120427,0.6999055847604364,0.5393925661742014,-3.4482758620689613,0.5172413793103514,5600.0,2026-05-22
2026-05-18,2026,001740,SK네트웍스,KOSPI,8250.0,369495060000.0,0.8459486577181351,0.7837342822007588,0.6915845251869704,0.6346552101150983,0.5076535098436007,1.8181818181818077,6.545454545454543,8400.0,2026-05-22
2026-05-15,2026,031330,에스에이엠티,KOSDAQ,14300.0,93563412800.0,0.8235194771155653,0.8163135340540073,0.7935369663387051,0.8220143950115676,0.49822215242501583,9.020979020979025,30.000000000000004,15590.0,2026-05-22
2026-05-14,2026,031330,에스에이엠티,KOSDAQ,11000.0,37436080000.0,0.853767888888775,0.8458154560125573,0.8266885676824566,0.8433393400797816,0.43923215056658277,41.72727272727273,69.0,15590.0,2026-05-22
2026-05-13,2026,031330,에스에이엠티,KOSDAQ,9450.0,9655613100.0,0.7128649696879049,0.7386640732167952,0.7862183936123298,0.8296449608550043,0.37779549565538395,64.97354497354497,96.71957671957672,15590.0,2026-05-22
2026-05-12,2026,00680K,미래에셋증권2우B,KOSPI,21000.0,18749724000.0,0.7065147156525284,0.6786785910803652,0.6987201356542234,0.7589151208370541,0.40090482870669836,-14.714285714285714,-0.952380952380949,17910.0,2026-05-22
2026-05-11,2026,018880,한온시스템,KOSPI,5730.0,878004811530.0,0.8046643698665331,0.7520273441673072,0.7280585073051647,0.6624804218261148,0.5680540226544533,-11.867364746945896,0.17452006980802626,5050.0,2026-05-22
2026-05-08,2026,003530,한화투자증권,KOSPI,8550.0,61615746000.0,0.827703682176357,0.7769189144240843,0.7210010909541427,0.7333678465020813,0.3951108166602994,-19.1812865497076,3.5087719298245723,6910.0,2026-05-22
2026-05-07,2026,003530,한화투자증권,KOSPI,8490.0,80769020700.0,0.8074950101657615,0.7819945173879171,0.720542789629697,0.7522640490895149,0.40656665503199574,-18.610129564193166,4.240282685512375,6910.0,2026-05-22
2026-05-06,2026,003530,한화투자증권,KOSPI,9370.0,356545618990.0,0.8315251259474227,0.7893970765057139,0.7681973880070577,0.7292136642711362,0.4351405359233888,-26.254002134471722,-1.1739594450373536,6910.0,2026-05-22
2026-05-04,2026,018880,한온시스템,KOSPI,4850.0,587848789600.0,0.8104232193753119,0.7043873177198017,0.6809490342510779,0.6224804323854446,0.5323153668486774,4.123711340206193,20.82474226804123,5050.0,2026-05-22
2026-04-30,2026,454910,두산로보틱스,KOSPI,110200.0,202762159400.0,0.6529602525495712,0.722288072359401,0.697429197777854,0.7167588949273055,0.5259627483267217,-3.2667876588021727,25.952813067150625,106600.0,2026-05-22
2026-04-29,2026,417200,LS머트리얼즈,KOSDAQ,31250.0,613002718750.0,0.7365509665465113,0.7398412521082794,0.7804526772777362,0.7960010300927011,0.5096152906245834,-24.319999999999997,3.3600000000000074,23650.0,2026-05-22
2026-04-28,2026,307950,현대오토에버,KOSPI,478000.0,201472698000.0,0.6601936742407278,0.7190651978335141,0.7115922813438126,0.713142843922702,0.5222782472630758,32.00836820083681,51.25523012552302,631000.0,2026-05-22
2026-04-27,2026,036540,SFA반도체,KOSDAQ,9960.0,232809492120.0,0.8239794668420913,0.808095562478073,0.7667500308835801,0.765454899375214,0.4990230858417513,2.9116465863453733,10.040160642570273,10250.0,2026-05-22
