Year,total,sw,w100,w50,loser,avg_peak,avg_ret,SW%,100%+%,50%+%
2020,708,69,222,475,31,94.77421430635054,52.4700040495987,9.745762711864407,31.35593220338983,67.09039548022598
2021,735,14,94,236,233,48.79038907206479,-0.4948911096412407,1.9047619047619049,12.789115646258503,32.10884353741497
2022,816,68,137,244,250,58.6271614026025,15.622686003549767,8.333333333333332,16.78921568627451,29.901960784313726
2023,1064,60,188,397,237,67.08071776287633,15.64739250590132,5.639097744360902,17.669172932330827,37.31203007518797
2024,1065,95,218,453,296,69.66430592008747,22.821525033633765,8.92018779342723,20.469483568075116,42.53521126760563
2025,621,87,260,374,37,120.19572526951302,82.63681227004781,14.009661835748794,41.86795491143317,60.22544283413849
