Date,Name,Code,Market,Close,ChangeRatio,Score,pos_252_high,past_120,slope60,chart_pattern,s10,s12,is_first_pullback,new_high_252,ret_180d,ret_365d
2025-08-19,웅진,016880,KOSPI,4560.0,10.68,56.25,0.0,352.25027442371027,8.245249872971756,new_high_240,100.0,100,False,True,-47.58771929824561,
2025-08-12,에이플러스에셋,244920,KOSPI,6990.0,3.4,53.74,0.0,67.74193548387098,2.19454430114953,new_high_240,25.7,100,False,True,53.934191702432045,
2025-07-25,HD현대마린엔진,071970,KOSPI,64400.0,11.42,45.89,0.0,115.67164179104479,6.2808447260274685,new_high_240,46.1,100,True,True,50.931677018633536,
2025-07-14,KCTC,009070,KOSPI,7340.0,17.44,60.49,-3.2507739938080538,56.25,7.171378645179619,new_high_120,100.0,100,False,False,-19.754768392370572,
2025-07-10,제주은행,006220,KOSPI,19190.0,21.38,60.59,-0.06321112515802474,90.71170084439085,7.575047479467778,new_high_240,100.0,100,False,True,-37.15476810838979,
2025-06-26,파미셀,005690,KOSPI,13950.0,8.56,54.96,0.0,55.757575757575765,4.1489971605016,new_high_240,32.6,100,True,True,13.978494623655912,
2025-06-19,풍산,103140,KOSPI,126500.0,17.02,58.86,0.0,110.72124756335282,5.417434277322293,new_high_240,100.0,100,False,True,-18.972332015810274,
2025-06-17,신세계 I&C,035510,KOSPI,17210.0,14.12,55.16,-9.754637941352485,73.73271889400921,2.7621029096537075,V_recovery,72.8,100,True,False,-3.89308541545613,
2025-06-02,상상인증권,001290,KOSPI,773.0,9.8,50.85,0.0,58.91647855530473,4.461967162384034,new_high_240,100.0,100,False,True,94.04915912031048,
2025-05-30,HS효성,487570,KOSPI,58500.0,11.01,54.86,-36.19854721549637,57.548579970104626,5.202950338110549,new_high_120,76.6,100,False,False,12.991452991452993,
2025-05-21,200670,200670,?,51200.0,12.53,54.84,-0.8714596949891074,57.986111111111114,1.3654595400916196,new_high_240,48.4,100,True,True,-18.65234375,
2025-05-21,엘앤씨바이오,290650,KOSDAQ,29150.0,17.3,65.31,-8.302583025830257,55.31250000000001,-0.3231092755118711,box_breakout,74.0,100,False,False,218.35334476843911,
2025-05-20,SK이터닉스,475150,KOSPI,22900.0,10.9,52.41,-19.02595874833346,61.07644305772231,3.412188223535397,new_high_120,100.0,80,False,False,4.366812227074235,
2025-05-13,토모큐브,475960,KOSDAQ,26700.0,27.14,62.2,-5.405405405405405,73.26732673267327,0.5194876208332646,box_breakout,100.0,80,False,False,91.38576779026218,
2025-05-09,두산우,000155,KOSPI,218500.0,8.71,65.22,0.0,91.2464319695528,1.4096679810430848,new_high_240,100.0,100,True,True,110.06864988558351,
2025-05-08,두산우,000155,KOSPI,201000.0,6.35,63.88,0.0,80.0,1.099276231992962,new_high_240,100.0,100,True,True,134.5771144278607,
2025-05-08,에이피알,278470,KOSPI,98400.0,28.8,65.99,-5.093167701863354,57.363542739443865,6.125375933052691,new_high_120,100.0,100,True,False,174.390243902439,
2025-05-07,두산우,000155,KOSPI,189000.0,3.9,64.94,0.0,81.89999999999999,0.836607812604461,new_high_240,92.3,100,True,True,159.25925925925927,
2025-05-02,웅진,016880,KOSPI,1702.0,20.97,64.68,-7.858546168958746,55.98669623059867,3.097457552412359,new_high_120,100.0,100,False,False,45.12338425381904,
2025-04-07,안랩,053800,KOSDAQ,112000.0,19.28,64.46,0.0,76.8361581920904,2.28719472867764,new_high_240,100.0,100,False,True,-46.07142857142857,
2025-03-17,한국항공우주,047810,KOSPI,95000.0,10.85,46.02,0.0,68.36935166994107,5.559281560178412,new_high_240,100.0,80,True,True,14.736842105263156,
2025-01-22,004870,004870,?,1204.0,18.39,55.82,0.0,90.09345794392523,0.23842470492649062,new_high_240,100.0,100,False,True,-57.392026578073086,
2025-01-21,로보티즈,108490,KOSDAQ,38904.0,13.82,55.04,-0.42532117575087014,61.38338054768651,9.864837510826797,new_high_240,100.0,100,False,True,379.3851531976146,
2024-12-24,072130,072130,?,6800.0,9.15,51.39,0.0,79.7979797979798,4.396387387867359,new_high_240,71.2,100,False,True,-16.323529411764707,
2024-10-28,YG PLUS,037270,KOSPI,6910.0,13.84,55.36,0.0,50.24752475247525,2.2839246995632694,new_high_240,100.0,100,False,True,26.19392185238784,-25.180897250361795
