Date,Name,Code,Market,Close,ChangeRatio,Score,pos_252_high,past_120,slope60,chart_pattern,s10,s12,is_first_pullback,new_high_252,ret_180d,ret_365d
2025-05-23,한신기계,011700,KOSPI,3500.0,19.45,65.31,-49.30795847750865,-18.723994452149796,-1.6744501933989693,pullback_recovery,39.6,100,True,False,42.285714285714285,
2025-04-29,티와이홀딩스,363280,KOSPI,2825.0,22.03,56.64,-41.16899618805591,-34.6045197740113,-4.789415919808439,pullback_recovery,55.6,70,False,False,-7.433628318584071,
2025-04-28,솔루스첨단소재,336370,KOSPI,9100.0,9.24,52.74,-63.86117136659436,-31.72131147540984,-5.422762854750703,pullback_recovery,36.8,70,True,False,-14.285714285714285,
2025-04-24,애경케미칼,161000,KOSPI,7970.0,12.1,45.18,-48.84892086330935,-31.634615384615383,-1.2471423045044723,pullback_recovery,33.5,70,True,False,8.155583437892096,
2025-04-23,진원생명과학,011000,KOSPI,2355.0,8.78,58.23,-48.63582443653618,-5.458515283842791,-1.2192554995726688,pullback_recovery,32.3,70,False,False,-25.35031847133758,
2025-02-26,KG모빌리티,003620,KOSPI,4817.0,13.21,62.38,-52.0509353166554,-31.821823425733054,-1.8559111925925724,pullback_recovery,39.5,70,True,False,-32.73821880838697,
2025-01-14,한국무브넥스,010100,KOSPI,3730.0,15.48,57.72,-64.03118040089086,-31.784582893347412,-2.7482023927596004,pullback_recovery,24.4,100,True,False,7.372654155495978,
2024-12-04,004540,004540,?,2210.0,4.49,58.73,-40.33850493653033,-14.372469635627528,-2.0714632499616132,pullback_recovery,25.8,70,True,False,-3.619909502262444,
2024-10-25,미래산업,025560,KOSPI,18997.0,9.99,50.52,-66.71228124277233,-40.588235294117645,-7.424522436439495,pullback_recovery,33.1,100,False,False,-43.254198031268096,-12.091382849923672
2024-10-18,HLB이노베이션,024850,KOSDAQ,18225.0,20.1,60.38,-54.015151515151516,-40.13806706114399,-1.5612688630181895,pullback_recovery,39.4,70,True,False,-49.519890260631,26.74897119341564
2024-10-14,078150,078150,?,2725.0,9.88,52.85,-45.494505494505496,-32.79132791327913,-6.182519419901444,pullback_recovery,36.0,100,True,False,-31.19266055045872,-10.091743119266056
2024-09-25,포스코DX,022100,KOSPI,31350.0,3.81,51.83,-59.299191374663074,-40.5511811023622,-5.922544700116818,pullback_recovery,30.7,70,True,False,-21.690590111642745,-6.0606060606060606
2024-09-13,원텍,336570,KOSDAQ,6940.0,9.12,51.96,-54.046242774566466,-26.388888888888886,-5.6467730460097645,pullback_recovery,32.1,70,True,False,59.51008645533141,0.5763688760806917
2024-09-02,에코프로머티,450080,KOSPI,95000.0,4.63,50.4,-62.16666666666666,-44.29447852760736,-6.654125544805882,pullback_recovery,32.1,100,False,False,-51.1578947368421,-27.473684210526315
2024-08-29,필에너지,378340,KOSDAQ,18630.0,9.91,42.53,-54.12719891745602,-15.671641791044777,-10.124085996206714,pullback_recovery,34.7,70,True,False,-28.931830381105744,-26.89210950080515
2024-08-27,롯데이노베이트,286940,KOSPI,31800.0,17.13,60.13,-48.67674858223062,-26.422764227642283,-1.6658213943998381,pullback_recovery,10.3,70,True,False,-40.503144654088054,-32.54716981132076
2024-07-30,진원생명과학,011000,KOSPI,2730.0,19.47,73.21,-53.69807497467072,-9.504950495049503,-2.5223523217705783,pullback_recovery,46.8,100,True,False,-15.567765567765568,-25.09157509157509
2024-07-29,헬릭스미스,084990,KOSDAQ,4150.0,11.26,43.17,-42.080745341614914,11.177347242921009,-4.463806237476568,pullback_recovery,33.8,65,False,False,-36.74698795180723,58.79518072289157
